ஆ|	A:A|
க:ி|ல|ா|ட|ி|	K:h:i|l|a|d|i|
ப:ி:ர|ே|ம:ீ|	p:r|e|m:e:e|
ர|ா|ஸ:்:த|ே|	R:a|a|s:t|e|
ஷ|ி:க:ா|ர:ி|	S:h|i:k|a:r:i|
ஏ|ஞ|்|ச:ல:்|	A|n|g|e:l|
ப|ோ|ர|்:ட:ெ|	P|o|r|t:e|
ர|ே|	R|a:y|
ப:ி:ர|ை|ட:்|	b:r|i:g:h|t|
ப:்|ர|ை|ஸ|்|	p|r|i|c|e|
ஷ|ா|	S:h:a|w|
ப:்|ர|ை|ஸ|்|	p|r|i|z|e|
ஜ|ி|	J|i|
ச:ா|ஹ|்:த:ா|	C:h:a|h|t:a|
ஹ:ை|	H:a:i|
ர|ி|ஷ|்:ட:ா|	R|i|s:h|t:a|
ந|ா|	n|a|
த:ூ|த|ெ|	T:o:o|t|e|
ப|ா|ஹ|ெ:ன:்|	B|a|h|e:n|
அ:வ:ு|ர:்|	a:u|r|
ப|ீ|வ|ி|	B|i|w|i|
ட|ி|	d|e|
ந:ி:ய|ா|ஸ:்|	N|I:O|S|
ஸ:்:ட|ோ|ர|ா|	S:t|o|r|a|
ப:்|ர|ி|ஸ:்|	p|r|i|s|
ஸ|ே|வ|ெ:ன:்|	Z|e|v|e:n|
ப:ு:ர|ோ|வ|ி|ஷ|ி|ய|ன:்|	P:r|o|v|i:n|c|i|e|n|
ஹ|ம:்|ப|ர:்|	H:u|m|b:e|r|
ஃ:ப:்|ப:ோ:ர|்:ட:்|ஸ:்|	f|o:r|t|s|
ட:்:ர|ோ|ப|்|	T:r|o|b|e|
ய:ூ:ன|ி:வ|ர:்|ச|ி|ட:்|ட:ி|	U:n|i:v:e|r|s|i|t|y|
ஆ:ங:்|க:ே|ன:்|	A:n|k:h:e|n|
ம|ஸ:்:த|ா|ன|ே|	M:a|s:t|a|n|e|
உ|ஸ:்|த|ா|த:்|	U|s|t:a|a|d|
ல|ீ|	L|e:e|
ஜ|ெ:ர:்|ம|ன:்|	G|e:r|m:o|n|
க|ா|ர:்|ப|ர:்|	C|a|r|p:e|r|
அ|வ|ா|ர:்|ட:்|	a|w|a|r|d|
ட:ி|ர|ம:்|ப:்|	T|r:u|m|p|
ப|ி|ல:்:ட|ி|ங|்|	b:u|i|l:d|i|n|g|
த|ி|ஷ:ா|ய|ெ:ன:்|	D|i|s:h:a|y|e:n|
ஹ|வ|ல:்|த|ா|ர:்|	H:a|w:a|l|d|a|r|
க:ி:ல|ோ|ய:்|ர|ெ|	g:l|o|i|r|e|
ம|ு|ம|்:க:ி|ன:்|	M|u|m|k:i|n|
ம|ெ|ர|ெ|ட|ி|த|்|	M|e|r|e|d|i|t|h|
க|ப:்|	c:u|p|
ப:ே|	B:A:E|
ஸ|ி|ஸ:்|ட:ம|்:ஸ:்|	s|y|s|t:e:m|s|
ம|ு|ச|ா|ஃ:ப|ி|ர:்|	M|u|s|a|f|i|r|
இ|ல:்|ல|ி|ங|்|வ|ர|்:த:்|	I|l|l|i|n|g|w|o:r|t:h|
இ:ண:்|ட|ர:்|ந|ே:ஷ|ந|ல:்|	i:n|t:e|r|n:a|t:i:o|n:a|l|
ஆ|ண:்:ட|ி|	A|n:d|y|
அ|வ|ா|ர:்|ட:்|ஸ:்|	a|w|a|r|d|s|
ட:ு|	t:w:o|
இ:ன:்|ட|ர:்|ந|ே:ஷ|ன|ல:்|	i:n|t:e|r|n:a|t:i:o|n:a|l|
ஃ:ப|ி|ன|ா|ன|்:ஸ:்|	f|i|n|a|n|c:e|
ச|ெ:ன:்|ட|ர|்|	c|e:n|t|r|e|
ல|ி|ட:்|ர|ர|ி|	l|i|t|e:r:a|r|y|
ம|ா|ர:்|ட:்:ட|ி|ன|ி|ய|ர|்|	M|a|r|t|i|n|i|e|r|e|
க:ா|ல|ே|ஜ|்|	c:o:l|l|e|g|e|
ப:ு:ர|ு|ட|ெ:ன:்|ஷ|ி|ய:ல:்|	P:r|u|d|e:n|t|i|a:l|
ப:ி:ள|ா|ஸ|ா|	P:l|a|z|a|
ம|ா|ண:்|ட:்|ஃ:ப|ோ|ர:்|ட:்|	M|o|n|t|f|o|r|t|
ஜ:ெ:.|	J:.|
ஃ:ப:்|ப:ி:ர|ா|ன:்|க:்|ல|ி|ன:்|	F|r|a|n|k|l|i|n|
ப|ெ|ல|்|	B|e|l|l|
ஆ|க:்|	A:A|G|
அ|ப:ா|	A|b:h:a|
அ|த:ா|	A|D:A:A|
ஆ|ட:ி|	A|d:i:e|
ஐ|ம:ீ|	A:i|m:e:e|
ஐ|ன|்|	A:i|n|e|
ஆ:ய|ே|	A:i:y|e|
அ:ல:்|	a:l|
அ|ல|ா|	A|L|A|
அ|ம|ா|	A|m:a|h|
அ|ம:ே|	a|m:a:y|
அ|ம:ே|	A|m:e:y|
அ|ம|ி|	A|M|I|
அ|ம|ி|	A|m|y|
அ|ன|ா|	A|n|a|
அ|ர|ா|	A|R|A|
அ|ர|ு|	A|R|U|
அ|ஷ:ா|	A|s:h:a|
ஆ|ஷ:ா|	A|s:h:a|
அ|ஷ|ு|	A|s:h|u|
ஔ|த:்|	A:U|D|
அ|வ|ி|	A|V|I|
ப|ட:ே|	b|a:d:e|
ப|ன|ி|	B:a|n|i|
ப|ட:்|	B:h:a|t|
ச|க:்|	C:h|u:c:k|
க|ர|ி|	c:u:r|r|y|
ட|ன:்|	D:u:n|n|
ஈ:ச|ா|	E:a:s|a:u|
ஐ:ஸ|ா|	E:I:S|A|
எ:ல|்|	E:l:l|e|
எ|ன|ா|	E|n|a|
ஈ|ர|ி|	E|r|i:e|
ஈ|வ|ா|	E|w|a|
ஐ|ர|ி|	E:y|r|e|
ஃ:ப|ே|	F:a:y|e|
க|ஸ:்|	G:u|s|
ஹ|த:ி|	H|a:d:i|
ஹ:ம|ி|	H:a:m|i|
ஹ|ன|ா|	H:a|n|a|
ஹ|ன|ி|	H:a|n|i|
ஹ|ர:ீ|	H:a|r:e:e|
ஹ|ன:ி|	h:o|n:e:y|
ஐ:க|ோ|	I:a:g|o|
ஐ|க|ி|	i|k|i|
இ|ன|ா|	I|n|a|
இ|ச|ா|	I|s|a|
ஐ|வ|ி|	I|v|i:e|
ஜ|ம:்|	J:a:h|m|
ஜ|ர|ா|	J:a|r:a|a:h|
க|ல|ே|	k:a|l|e|
க|ய|ோ|	K:a|y|o|
ல|ச|ி|	L:a|c|y|
ல:வ|்|	l:o:v|e|
ம|வ|ே|	M:a|v|e|
ந|ன:்|	N:a|n|
ந|ஷ:ா|	N:a|s:h:a|
ஓ|ம|ா|	O|M|A|
ஊ|ன|ா|	O:o|n|a|
ஔ|ட:்|	o:u|d|
ஓ|வ|ா|	o|v|a|
ப|ர|ி|	p:a|r|i|
ர|ப:ி|	R:a|b:i:'|
ர|க:ு|	R:a|g:h:u|
ச|ப|ா|	S:a|b|a|
ச|ட:ி|	S:a|d:i:e|
ச|க:ி|	S:a|k:h:i|
ச|ல:ா|	S:a|l:a:h|
ச|ன|ா|	S:a|n|a|
ச|ன|ா|	S:a|n:a|a|
ச|த:ி|	S|a:t:i|
ச|வ:ா|	S|a:w:a|
ஷ|ப:ா|	s:h:a|b:a:h|
ஷ|ப|்|	S:h:a|b|b|
ஷ|த:்|	s:h:a|d|
ஷ|ம|ா|	S:h:a|m|a|
ச|ன:்|	s:o|n|
த|ஷ:ா|	T:a|s:h:a|
உ|ம|ா|	U|m|a|
வ|ல|ா|	V:a|l|a|
வ|ன:்|	v:a|n|
வ|ஜ:ி|	W:a|j:i:h|
வ|ன:்|	w:o|n|
ய|த|ு|	Y:a|d|u|
ஜ|ர:ா|	Z:a:r|r:a:h|
ஹ|ம:்|	h:u|m|
ச|ே|	s|e|
ஜ|ீ:த|ா|	J|e:e:t|a|
க|ோ|ய:்|	k|o|i|
க|ர:்|	G:h:a|r|
ஹ|ோ|	H|o|
த|ோ|	t|o|
அ:ய:ி|ச|ா|	A:I|S|A|
ஸ|ம:ா|ன|ா|	z|a:m:a|n|a|
ஏ:க:்|	E:k|
ப|ல|ே|	B:h:a|l|e|
க|ோ|ல|ா|	G|o|l|a|
க|ே|	K|e|
ஷ|ோ|ல|ே|	S:h|o|l|a:y|
ஆ|க:ே|	A|a:g:e|
ச|ோ|ச|்|	s|o|c|h|
ஆ|ஜ:்|	A:A|J|
ப|ா|த:்|	b:a|a|t|
ஆ|ர:்|	A:A|R|
ய|ா|	y|a|
ப|ா|ர:்|	P:a|a|r|
த:ீ|ன:்|	t:e:e|n|
ஹ|ி|	H|i|
ச|ு|க|்|	S|u|k|h|
ப|ா|ஹ|ு|	B|a|h|u|
ல|ா|ஜ:்|	l:a|a|j|
ம|ன:்|	m:a|n|
ஜ|ீ|த:்|	J|e:e|t|
அ:ப:்|	A:B|
ஜ|ீ|ன|ே|	J|e:e|n|e|
ப|ா|த:்|	b:a|a|d|
ப:ி|	B:H:I|
க|ு|ச|்|	K|u|c|h|
க|ா|ம:்|	K|a|m|
ந|ஹ|ி|ன:்|	n:a|h|i|n|
இ|ச|ி|	I|S|I|
ந|ா|ம:்|	N:a|a|m|
த|ு|ன|ி|ய|ா|	D|u|n|i|y|a|
த|வ:ு|ர:்|	D:a|u|r|
ஆ|வ|ா|ஸ:்|	A|w:a|a|z|
த:ா|	t:h:a|
ல|ட|்:க:ா|	l:a|d|k:a|
த:ி|	t:h:i|
ல|ட|்:க:ி|	l:a|d|k:i|
வ|ஹ:்|	W:o|h|
ஹ|ச|ி|ன|ா|	H:a|s|i|n|a|
த:ூ|ஃ|ப|ன:்|	T:o:o|f|a|n|
ஆ|ப:்|	A:A|P|
த|ா|க:்:க|ு|	D|a|k|u|
ஜ|ப:்|	j:a|b|
த|ு|ம:்|ஹ|ே|	t|u|m|h|e|
த|ே|க:ா|	D|e|k:h:a|
க|ு|ண:்:ட|ா|ர|ா|ஜ:்|	G|u|n:d|a|r|a|j|
ர|ா|ப|ி|ன:்|ஹ:ூ|ட:்|	R|o|b|i|n|h:o:o|d|
ப|ர:ி|ச:்:ச|ா|ய:ி|ன:்|	p:a|r|c:h|h:a|i|y:a:n|
ப|ட:ோ|	B:a|d:h:o|
அ:ப|ி|	A:b:h|i|
ஆ|க|ே|	a|g|e|
ப|ெ|ட|ி|	B|e|t|i|
ல:க|ோ|	L:a:g|o|
ச|வ|ன:்|	S:a|w:a|n|
க|ோ|	K|O|
ச|ல:்|	c:h:a|l|
ந:ௌ|ஜ:வ|ா|ன:்|	N:a:u|j:a:w|a|n|
க|ல:்|	K:a|l|
ப|ஹ|ா|	B:a|h|a|
த|ி|ன:்|	d|i|n|
க|ூ|ன:்|	K|h:o:o|n|
க|ய:்|	G:a|i|
க:ௌ|ர|ி|	G:a:u|r|i|
ந|ய:்|	N:a|i|
ப|ஹ|ே|ல|ி|	P:a|h|e|l|i|
ஆ|ய|ே|	A|y|e|
ப|ஹ|ா|ர:்|	B:a|h:a|a|r|
ஆ|ய:ி|	a:a|y:e:e|
ச|ங:்|ர|ம:்|	S|a:n:g|r:a|m|
ஹ:ெ:ய|ி|ன:்|	H:a|i|n|
இ:ன:்|	i:n|
ச|ி|ம:்|ல|ா|	S|i|m|l|a|
ம:ெ:ய|ி|ன:்|	M:e|i|n|
த|ி|வ|ா|ள|ி|	D|i|w|a|l|i|
ம|ஹ|ா|	M:a|h|a|
ம|ே:ய:்|ன|ா|	M|a:i|n|a|
ச|ு|ந:்:த|ர:ி|	S|u|n:d|a:r:i|
ஹ|ல:்|	H:a|l|
ப|ன:்|த:ூ|க:்|	B:a|n|d:o:o|k|
த|ய:்|	T:a|i|
த|ம:்|	T:a|m|
ர|ி|ச|ர:்:வ|ா|ய|ர:்|ஸ:்|	r|e|s:e|r:v|o|i|r|s|
ட|ம:்|	D:u|m|
க:ண|்:ட:ோ|ன:்|ம|ெ:ண:்|ட:்|	c:a:n|t:o|n|m|e:n|t|
ஆ|ஸ:்|	A:A|S|
ப|ா|ஸ:்|	P:a|a|S|
க:ோ|ன:்|	K:a:u|n|
ப:ட|ா|	B:a:d|i|
த|ீ|த|ி|	D|i|d|i|
ப|ட|ு|	B:a|t|u|
ட|ே|ம:்|	d|a|m|
த|ன|ா|	D:a|n|a|
ப|ா|ண|ி|	P|a|n|i|
த|ோ|ன|ோ|	d|o|n|o|
ஷ|க|ல:்|	S:h:a|k:a|l|
க|ல|ா|	K:a|l|a|
க|ர:்|	K:a|r|
ப:ா|ல|ா|	B:h:a|l|a|
க|ய:ா|	K|a:y:a|
ப|ல|ட:்|	P:a|l:a|t|
ச:ோ|ர:்|	C:h:o|r|
ந|ய:ி|	N:a|i|
ர:ீ|த:்|	r:e:e|t|
ந|ர:ி|	N|A:R:I|
ர|ா|ஜ:்|	R:a|a|j|
ந|ய:ா|	N|a:y:a|
ப|ை|ச|ா|	p|a:i|s|a|
ப|த:ி|	P|a:t:i|
ச|ே|வ|ா|	S|e|v|a|
ச|ன:்|	S:a|n|
ட:ீ|க|ோ|	D:i:e|g|o|
ம|ே:ட|ோ|	M|a:t:e|o|
த|த:்|	D:h:a|t|
த|ே|ர|ே|	T|e|r|e|
உ|ம|ர:்|	U|m:a|r|
ந:ை|	N:a:i|
ஃ:ப:்|ப:ை|ச|ல:்|	F|a|s:a|l|
ஜ|ா|ன:்|	J:a|a|n|
இ:ஸ:்|	i:s|
உ:ஸ:்|	u:s|
க|ி|ச|ி|	k|i|s|i|
க|ம:்|	K:u|m|
த|ு|ஜ|ே|	D|u|j|e|
ல|ி|ய|ே|	l|i|y|e|
ர|ா|த:்|	R:a|a|t|
க|ோ|ன:்|	G:a|o|n|
க|ஹ|ா|ன|ி|	K:a|h|a|n|i|
த|ி|ல:்|	D|i|l|
ச:ௌ|	S:A:U|
அ|ஃ:ப:்|ச|ன|ே|	A|f|s:a|n|e|
ப|ா|ர:்|	B:a|a|r|
க|ஹ|ோ|	K:a|h|o|
த|ு|ம:்|	t|u|m|
ஹ:ூ|	w:h:o|
ஆ|த:ி|	A:a|d:h:i|
ப|ூ|ல:்|	P|h:o:o|l|
ந:ா|ர:ி|	N|A:R:I|
ப:ி|ர|ம:்|ம|ச:்:ச|ா|ர|ி|	B|r:a|h|m:a|c:h|a|r|i|
ஆ|ஜ:ா|	A|A:J:A|
ம|ே|ர|ி|	M|e|r|i|
ஆ:ய|ி|	a:a:y|i|
ய:ா|த:்|	y:a:a|d|
த|ே|ர|ி|	T|e|r|i|
ச|ல|ு|	C:h:a|l|u|
ம|ே|ர|ா|	M|e|r|a|
ப:ி|ர:்|	P:h:i|r|
ஸ|ா|ல:்|	S:a|a|l|
ஆ|த:ி|	a|a:t:i|
ச:ா|ல|ே|	C:h:a|l|e|
அ:ப|ூ|	a:b:o|u|
ப|ெ:ன:்|	B|e:n|
அ:த|ெ:ம:்|	A:d:h|e:m|
ச|த|ர:்|	c:h:a|d:a|r|
ம|ய:ி|ல|ி|	M:a|i|l|i|
ச|ி|	S|i|
ஆ|ஷ:ி|க:்|	A|s:h:i|q|
ஆ|ன:்|	a:a|n|
ம|ி|ல|ோ|	M|i|l|o|
ச|ா|ஜ:்|ன|ா|	S|a|j|n|a|
ந|ி|ஷ:ா|ன|ி|	N|i|s:h:a|n|i|
ந|ா:வ:்|	N:A|A:V|
க|ி|ன|ா|ர|ே|	k|i|n|a|r|e|
ப|ி|ன:்|	b|i|n|
ம|ச:்:ச|ா|ல|ி|	M:a|c:h|a|l|i|
ச|ர:்|	S:i|r|
க:ே|ர|ி|	G:a:r|r|y|
ச|ோ|ப:ர|்:ஸ:்|	S|o|b:e:r|s|
ஆ:ய|ே:ங:்|க|ா|	a:a:y|e|g|a|
ம|ு|ஸ:்:க|ு|ர|ா|	m|u|s:k|u|r|a|
ஒ|ன|்|	o|n|e|
ச|ே:ஸ:்|	c:h:a|s:e|
ம|ா|ன:்|ஹ|ா:ட:்|ட:ன:்|	M|a|n|h:a|t:t|a:n|
ப:ட|ா|	B:a:d|a|
ஆ|த:்|ம|ி|	a:a|d|m|i|
ப:ா|ல|	B:h:a|l:a|
ம|ன|ு|ஸ:்|	M:a|n|u|s|
ஜ|ா|ல|க:்|	J:h|a|l:a|k|
ப|ஞ|்:ச:்|	P:a|n|c:h|
இ|ட|ி|	I|d|i|
அ|ம|ி|ன:்|	A|m|i|n|
ப|ா|வ|ன:்|	P|a|w:a|n|
ஹ:ம|ா|ர|ா|	H:a:m|a|r|a|
க|ஹ|ா|ன:்|	K:a|h|a|n|
ர|ா|ஹ|ே|	R|a|h|e|
ஹ|ர|ே|	H:a|r|e|
க|ன|்:ச:்|	K:a|n|c:h|
ச:ு|ர|ி|ய:ா|ன:்|	C:h:u|r:i|y|a|n|
க|ி:ர:ா|ன|்|த:ி|	K|r:a|n|t|i|
ஷ|ோ|ல|ா|	S:h|o|l|a|
ஷ|ா|ன:்|	S:h:a|a|n|
ப|ச|வ|	B:a|s:a|v:a|
ச|ா|க|ர:்|	S|a|g:a|r|
அ|ய|ா|	A|y|a|
ச|ா|வ|ன:்|	S|a|w:a|n|
ஜ|ூ|ம:்|	J|h:o:o|m|
ஆ:ய|ே|	a:a:y|e:e|
ஃ:ப|ி|ர:்|	P|h:i|r|
ப|ஹ|ா|ர:்|	B:a|h|a|r|
அ:த|ு|ர|ி|	a:d:h|u|r|i|
ஜ|ங|்:ல|ீ|	J:u|n:g|l|e:e|
ம|ர:்|ட|ர:்|	m:u|r|d:e|r|
ப|ா|ல|	B|a|l|
ப:ா|ர|த:ி|	B:h:a|r|a:t:i|
ப|ப:்:ள|ி|க:்|	p:u|b:l|i|c|
எ|ர|ி|	E|r|i:e|
ஆ|ர:்|ட:்|	a|r|t|
ச|ு|த|்|ர|ே|ங:்:க|ே|	S|u|d|h|r|e|n:g|e|
ச|ன:்|	s:u|n|
ல|ை|ஃ:ப|்|	l|i|f|e|
ஃ:ப|ி|ன|ா|ன:்|ஷ|ி|ய:ல:்|	f|i|n|a|n|c|i|a:l|
ச|ர:்:வ|ீ|ச|ஸ:்|	s:e|r:v|i|c:e|s|
ர|ோ|ட:்:ட|ி|	r|o|t|i|
ப|ே|ட:்:ட|ி|	b|e|e:t|i|
அ|ம|ு|	A|M|U|
த|ா|ர|்:ய:ா|	D|a|r|y:a|
ப|ை|ய:்|ய:ா|	B:h|a:i|y|a|
ப|ஜ|ே|	B:a|j|e|
க:ு|ங:்|ர|ு|	g:h:u|n:g:h|r|u|
த|ன|ா|	D:h:a|n|a|
க:ே|ர:்|ல|ி|	K:h:e|r|l|i|
எ:ட:்|	E:d|
ஜ|ா|ய|்:ஸ:்|	J|o|y|c:e|
எ:ல:்|	E:l|
ஹ|ோ:ர|ி:ய:ா|	H|o:r:r|i:a|
ப|ொ|ட|ோ|ஸ|ி|	P|o|t|o|s|i|
க|ய:ா|	G|a:y:a|
ஜ|ங:்|ஷ|ன:்|	j|u:n:c|t:i:o|n|
ஹ|ர|ி|	H:a|r|i|
த|ர:்|ஷ|ன:்|	D:a|r|s:h:a|n|
த|ி|வ|ா|ன|ே|	D|i|w|a|n|e|
ஐ|ட|ோ|	I|t|o|
ய|ோ|க|ா|ட|ா|	Y|o|k|a|d|o|
ஜ|ட:ா|	J:a|t:a:a|
ஷ|ங:்:க|ர|ி|	S:h:a|n:k|a:r|e:e|
ஜ|ன:்|	J:o|n|
ல|ீ|வ|ி|ஸ:்|	L|e|w|i|s|
ச:ா|ஷ|்:ம|ா|	C:h:a|s:h|m|a|
ம|ே:ர|ே|ஜ|்|	m:a|r:r:i|a|g|e|
த|ர:்|ப|ன:்|	D:a|r|p:a|n|
க|ா|ன:ூ|ன:்|	K|a|n:o:o|n|
ர|ா|ஸ:்:த|ா|	R|a|s:t|a|
ர|ா|ப|ி|ன:்|	R|o|b|i|n|
ம:ட|ல|்:ஸ:ா|	M:a:d|a:l:a|s:a|
ர|ே|ன|ு|க|ா|	R|e|n|u|k|a|
க|ப:ி|	K:a|b:h:i|
அ|ஜ:்|ன|ப|ி|	a|j|n:a|b|i|
த:ே|	t:h:e|
ப|ா|ப:்|ல|ோ|	P|a|b|l|o|
ப|ே|	B|a:y|
ந|ம:்|ப|ர:்|	n:u|m|b:e|r|
ம:ெ:ய|ி|ன:்|	m:a|i|n|
ந|ய:ீ|	N:a|y:e:e|
ந|ய|ே|	n:a|y|e|
ல|ா:க:்|	l|o:g|
ப:ி|ல|ா|ர|ி|	K:h:i|l|a|r|i|
ப|வ|ன:்|	B:a|w:a|n|
ப|ட:்:ட|ே|	P:a|t:t|e:y|
க|ர|ே|ன:்|	K:a|r|e|n|
ம|த|வ:்|ல|ே|	M:a|t:a|w|l|e|
ஷ|ன:்|	S:h:a|n|
க:ி:ர|ீ|க:்|	C:r|e:e|k|
க|ம:்|ய:ூ:ன|ி|ட:்|ட:ி|	c:o:m|m|u:n|i|t|y|
ப|ை|ப|ி:ள:்|	B|i|b|l:e|
ஓ|க|்|	o|a|k|
ஹ|ி|ல|்|ஸ:்|	h|i|l|l|s|
ப:ி|ர|ஸ:்|ப:ட|ே|ர|ி|ய:ன:்|	P|r:e|s|b:y:t|e|r|i|a:n|
ப|ே|ச:்:ச|ர:ா|	B|e|c:h|a:r:a|
ச|ா|ப|ி|ன|ல:்|	S|a|b|i|n:a|l|
க|ய:்|	g:u|y|
வ:ி|ட:்:ட|ல:்|	W:h:i|t:t|a:l:l|
ஈ|த:்|	I:D|D|
ம|ு|ப|ா|ர|க:்|	M|u|b|a|r:a|k|
ப|ர|ி|க:்|ஷ:ா|	P:a|r|i|k|s:h:a|
ஃ:ப|ா|ர:்|ம|ா|	P|h:a|r|m|a|
ஸ:்|ர:ீ|ம|ன:்|	S|h:r:i|m:a|n|
ஸ:்|ர:ீ|ம|த:ி|	S|h:r:i|m|a:t:i|
அ:ந:்|த:ே|ர|ா|	a:n|d:h:e|r|a|
ஹ|ோ|த|ா|	H|o|t|a|
ஹ|ு|ஜ|்:வ:ி|ர|ி|	H|u|j|w:i|r|i|
க:ு|ர|ா|ஸ|ி|ய|ா|	K:h:u|r|a|s|i|y|a|
