ஆ|	A:a|
க|ு|ண:்:ட|ா|ர|ா|ஜ:்|	G|u|n:d|a|r|a|j|
ஆ|ஜ:்|	A:a|j|
க|ா|	K|a|
ர|ா|ப|ி|ன|்:ஹ|ூ|ட:்|	R|o|b|i|n|h|o:o|d|
ஆ|ஜ:்|	A:a|j|
க|ி|	K|i|
ஆ:வ|ா:ஸ:்|	A:w:a|a:z|
ஆ|ஜ:்|	A:a|j|
க|ி|	K|i|
ப:ா|த:்|	B:a:a|t|
ஆ|ஜ:்|	A:a|j|
க|ி|	K|i|
த|ு|ன|ி|ய|ா|	D|u|n|i|y|a|
ஆ:ஜ|ா|	A:a:j|a|
ம|ே|ர|ி|	M|e|r|i|
ஜ|ா|ன:்|	J:a|a|n|
ஆ:ஜ|ா|த:்|	A:a:j|a:a|d|
ஆ:ஜ|ி|ங|்:க:ி|	A:a:j|i|n|k:y|
ஆ:ஜ|ி|ங|்:க:ி|ய:ா|	A:a:j|i|n|k:y|a|
ஆ:க|ா|ஷ:்|	A:a:k|a|a:s:h|
ஆ:க|ா:ர:்|	A:a:k|a:r|
ஆ:க|ர|்:ஷ|ன:்|	A:a:k|a:r|s:h:a|n|
ஆ:க|ா|ர|்:ஷ|ன:்|	A:a:k|a|r|s:h:a|n|
ஆ:க|ா:ஷ|ா|	A:a:k|a:s:h|a|
ஆ|க|ி:ர:்|	A|a:k:h|i:r|
க:ி:ய|ோ:ன:்|	K:y|o:n|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
அ|த|ா|ல|த:்|	A|d|a|l:a|t|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
ப|ா|ஸ:ி|	B|a|a:z:i|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
ச|ீ:க|்|	C:h|e:e:k|h|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
க|ோ|ல|ி|	G|o|l|i|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
க|ா|த:்|	K:h|a|t|
ஆ:க|்|ர|ி|	A:a:k|h|r|i|
ர:ா|ஸ|்:த:ா|	R:a:a|s|t:a|
ஆ:க|்|வ|ே|	A:a:k|h|w|e|
ஆ:க|்:ர|ோ|ஷ|்|	A:a:k|r|o|s|h|
ஆ|ல:்:ஹ|ா|	A:a|l:h|a|
உ:த|ல:்|	U:d:a|l|
ஆ|ல|ி|ம:ா|	A:a|l|i|m:a:h|
ஆ|ல|ி|ங|்|க:ன:்|	A:a|l|i|n|g|a:n|
ஆ|ல|ோ|க:்|	A:a|l|o|k|
ஆ:ம|ீ|ர:்|	A:a:m|e|r|
ம|ா|ல|ி|க:்|	M|a|l|i|k|
ஆ:ம|ி|ன:ா|	A:a:m|i|n:a:h|
ஆ:ம|ி|ர:ா|	A:a:m|i|r:a:h|
ஆ|ன:்|	A:a|n|
அ:வ:ு|ர:்|	A:u|r|
ஷ|ா|ன:்|	S:h:a|a|n|
ஆ|ன:்|	A:a|n|
ம|ி|ல|ோ|	M|i|l|o|
ச|ா|ஜ:்|ன|ா|	S|a|j|n|a|
ஆ|ன:ந|்:த|ம:ா|ய|ீ|	A:a|n:a:n|d|a:m:a|y|e:e|
ஆ|ன:ந|்:த|ி:ன:ீ|	A:a|n:a:n|d|e:e|
ஆ|ன:ந|்:த|ி|ன|ி|	A:a|n:a:n|d|i|n|i|
ஆ|ன:ந|்:த|ி:த:்|	A:a|n:a:n|d|i:t|
ஆ|ன:ந|்:த|ம|ா|ய|ீ|	A:a|n:a:n|d|m|a|y|e:e|
ஆ|ன:ந|்:த|ம|ா|ய|ி|	A:a|n:a:n|d|m|a|y|i|
ஆ|ன|்:ச|ல:்|	A:a|n|c:h:a|l|
ஆ|ன:்|ச:ா|ல:்|	A:a|n|c:h:a|l|
ஆ|ந:்|த:ி|	A:a|n|d:h:i|
அ:வ:ு|ர:்|	A:u|r|
த|ூ|ஃ|ப:ன:்|	T|o:o|f|a:n|
ஆ|ந:்|த:ி|	A:a|n|d:h:i|
த|ூ|ஃ|ப:ன:்|	T|o:o|f|a:n|
ஆ|ன|்|க:ன:்|	A:a|n|g|a:n|
க|ி|	K|i|
க|ா|ள|ி|	K|a|l|i|
ஆ|ன|்:க|ோ|ன:்|	A:a|n|k|h:o|n|
ஆ|ன|்|க:ோ|ன:்|	A|n|n|k:h:o|n|
ம:ெ:ய|ி:ன:்|	M:e|i:n|
ஆ|ன|்:க|ோ|ன:்|	A:a|n|k|h:o|n|
த|ே|க:்:க|ி|	D|e|k:h|i|
ஆ|ன:்|ச:ூ|	A:a|n|s:o:o|
ப|ன:்|	B:a|n|
க:ய|ே|	G:a:y|e|
ப|ூ|ல:்|	P|h:o:o|l|
ஆ|வ:ோ|	A:a|o|
ப:ி|ய|ா:ர:்|	P|y|a:r|
க:ர|ே|ன:்|	K:a:r|e|n|
ஆ|ப:்|	A:a|p|
ஆ|ய|ே|	A|y|e|
ப|ஹ|ா:ர:்|	B|a:h:a|a:r|
ஆ|ய:ி|	A:a|y:e:e|
ஆ|ப:்|	A:a|p|
ப:ே:ட|்|ட|ி|	B:e|e|t|i|
ஆ|ப:்|	A:a|p|
க|ா|	K|a|
ப:ி|ய|ா:ர:்|	P|y|a:r|
ஆ|ப:்|	A:a|p|
க|ி|	K|i|
ப:ர|ி:ச|்|ச|ா|ய|ி|ன|்|	P:a:r|c|h|h|a|i|y|a|n|
ஆ:ப|ா|ஸ:்|	A:a:p|a|s|
க|ி|	K|i|
ப:ா|த:்|	B:a:a|t|
ஆ|க:ு|ப:்|	A|a:q:i|b|
அ:க|ி:ப:்|	A:a:q|i:b|
ஜ|ா|வ|ெ:த:்|	J|a|v|e:d|
ஆ|க:ு|ல:்|	A|a:q:i|l|
ஆ|ர:்|	A:a|r|
ப|ா:ர:்|	P:a|a:r|
ஆ|ர:்|	A:a|r|
ய|ா|	Y|a|
ப|ா:ர:்|	P:a|a:r|
ஆ|ர|ா|த|ண|ா|	A:a|r|a|d:h:a|n|a|
ஆ|ர:ம|்:ப|்|	A:a|r:a:m|b|h|
ஆ|ர|ி:ஃ|ப:்|	A:a|r|i|f|
ஆ|ர|ோ:ப:்|	A:a|r|o:p|
ஆ|ர:்|த:்:த|ி|	A:a|r|t|i|
இ:ண:்|ட:ஸ|்:ட:்|ர:ி|	I:n|d:u:s|t|r:i:e|
ஆ|ஸ:்|	A:a|s|
ப|ா|ஸ:்|	P:a|a|s|
ஆ|ஷ:ி|க:்|	A:a|s:h:i|k|
ஆ|ஷ:ி|ர:்|	A:a|s:h:i|r|
ஆ|ஸ|ி|ம:ா|	A:a|s|i|m:a:h|
ஆ|ஸ|ி|ய:ா|	A:a|s|i|y:a:h|
ஆ|ஸ:்|ம|ன:்|	A:a|s|m:a|n|
ஆ|ஸ|்:ம|ா|ன:்|	A:a|s|m|a|n|
ஆ|த|ி|க:்|	A:a|t|i|k|
ஆ|த|ி|க:ா|	A:a|t|i|k:a:h|
ஆ|த|ி|ர:ா|	A:a|t|i|r:a:h|
ஆ|ய:ே|	A:a|y:e:e|
ஃ|ப:ி|ர:்|	P:h|i|r|
ப:ஹ|ா:ர:்|	B:a:h|a:r|
ஆ|ய|ே|க|ே|	A:a|y|e|g|a|
ஆ|ன|ீ|வ|ா|ல|ா|	A:a|n|e|w|a|l|a|
ஆ|ய|ி|	A:a|y|i|
ய|ா|த:்|	Y:a|a|d|
த|ே|ர|ி|	T|e|r|i|
அ:ய|்|ஷ|ா|	A:a:y|u|s|h|
ஆ|ய|ு:ஷ|்:ம|ா|ன:்|	A:a|y|u:s:h|m|a|n|
ஆ:ச|ி:ம:்|	A:a:z|i:m|
அ:ப:்|	A:b|
இ|ன|்:ச|ா:ஃ|ப:்|	I|n|s|a|f|
ஹ|ோ|க|ா|	H|o|g|a|
அ:ப:்|	A:b|
த|ோ|	T|o|
ஜ|ீ|ன|ே|	J|e:e|n|e|
த|ோ|	D|o|
அ:ப:்|ப|ா|ஸ|ீ|	A:b|b|a:a|s|e:e|
அ:ப:்|ப|ா|ஸ|ி|	A:b|b|a:a|s|i|
அ:ப:்|ப|ா|ஸ:ீ|	A:b|b|a|a:s:i|
அ:ப:்|ப|ா|ஸ|ி|	A:b|b|a|s|i|
அ|ப:்:த|்:ன|ன|்|	A|b:d|n|a|n|
அ:ப:்|த:ு:ஸ|்|	A:b|d:u|h|
ஷ|ா|ஹ:ி|த:்|	S:h|a|a:h:i|d|
அ:ப:்|த:ு:ஸ|்|	A:b|d:u|h|
ஷ|ா|ஹ|ி|த:்|	S:h|a|h|i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
அ|த|்:ல:்|	A|d|l|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
அ|ல|ீ|ம:்|	A|l|e:e|m|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
அ|ல|ி|	A|l|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ப:ா|க:ீ|	B:a:a|q:e:e|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ப:ா|க|ி|	B:a:a|q|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ப|ா|ச:ி|த:்|	B|a|a:s:i|t|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ப|ா|ர|்|	B|a|r|r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|ஃ|ப|ா:ர:்|	G|a|f|f|a:r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|ன:ீ|	G|a|n:e:e|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஹ|ா|த|ி|	H|a|d|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஹ|ா:ஃ:ப|ீ|த:்|	H|a:f|e:e|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஹ|ா:ஃ:ப|ி|த:்|	H|a:f|i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஹ:க|ி:ம:்|	H:a:k|i:m|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ய:ே|ய:்|	H:a:y|y|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஜ:ப|்:ப|ா|ர:்|	J:a:b|b|a:a|r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|ல|ி:க:்|	K:h:a|a|l|i:q|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|ப:ீ|ர:்|	K:h|a|b:e:e|r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|ப|ி:ர:்|	K:h|a|b|i:r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ா:ஜ|ி|த:்|	M|a:a:j|i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ா|ல|ி|க:்|	M|a|l|i|k|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம:ன|ி|	M:a:n|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம:ன|்:ன|ா|ன:்|	M:a:n|n|a:a|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம:ன|்:ன|ன|்|	M:a:n|n|a|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு:வ|ே|த:்|	M|u|a:i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ய|ூ|த:்|	M|u|e|e|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|க|ா|ன:ீ|	M|u|g:h:a|a|n:e:e|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஹ|ா|ச:ி|ன:்|	M|u|h|a|a:s:i|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு:ஹ|ா|ய|்:ம|ி|ன:்|	M|u:h:a|a|y|m|e:e|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஹ:ச|ி:ன:்|	M|u|h:a:s|i:n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு:ஹ|ய:ம|ீ|ன:்|	M|u:h:a|y:a:m|e:e|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஹ|ா|ய|்:ம|ீ|ன:்|	M|u|h|a|y|m|e:e|n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஹ|ா|ய|்:ம|ி:ன:்|	M|u|h|a|y|m|i:n|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஜ|ி:ப:்|	M|u|j|i:b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ன:ீ|ம:்|	M|u|n:e:e|m|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|க:்:க|ி:த:்|	M|u|q|i:t|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|க:்:ச|ி:த:்|	M|u|q:s|i:t|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ம|ு|ஸ:ா|ன|ி|	M|u|z:a:n|n|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ந|ா:ஃ:ப|ீ|	N|a:f|e:e|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ந|ா:ஃ:ப|ி|	N|a:f|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ந|ா|ஸ|ி:ர:்|	N|a|s|i:r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ந|ு:ர:்|	N|u:r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|த|ி:ர:்|	Q|a|d|i:r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ா|த|ி:ர:்|	Q|a|d|i:r|
ஜ|ி|ல|ா|ன|ி|	J|i|l|a|n|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
க|ஹ|்|ஹ|ர:்|	Q|a:h|h|a|r|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ா|ப|்|	R|a|b|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ா:ஃ:ப|ி|	R|a:f|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ா|ஹ|ி:ம:்|	R|a|h|i:m|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ா|க:ீ|ப:்|	R|a|q:e:e|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ா|க|ி:ப:்|	R|a|q|i:b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ர|ச|ா|க:்|	R|a|z|z:a:q|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
த|ா|வ|்:வ|ா|ப:்|	T|a|w|w|a:a|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
த|ா|வ|்:வ|ா:ப:்|	T|a|w|w|a:b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா:ஜ|ி|த:்|	W|a:a:j|i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|த|ூ|த:்|	W|a|d|o:o|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஹ|ா|ப:்|	W|a|h|a:a|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஹ|ப:்|	W|a|h:a|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஹ:்:ஹ|ா:ப:்|	W|a:h|h:a|a:b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஹ:்:ஹ|ப:்|	W|a:h|h:a|b|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஜ|ீ|த:்|	W|a|j|e:e|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ஜ|ி|த:்|	W|a|j|i|d|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
வ|ா|ல|ி|	W|a|l|i|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஸ|ா|ல|ீ|ல:்|	Z|a|l|e:e|l|
அ|ப:்:த|ு:ல:்|	A|b:d|u:l|
ஸ|ா|ல|ி|ல:்|	Z|a|l|i|l|
அ|ப:்:த|ு:ல:்|ல:ா|	A|b:d|u:l|l:a:h|
அ|ப:்:த|ு:ல:்|ல:ா|	A|b:d|u:l|l:a:h|
ஃ:ப:்|ப|ை|ஸ|ி|	F|a|i|z|i|
அ|த:்:-|ட|ா:க|ெ|ஸ|்:த:ா|ன|ி|	A|d:-|d|a:g:h|e|s|t:a|n|i|
அ|ப:்:த|ு:ர:்|	A|b:d|u:r|
ர:ஹ|ீ|ம:்|	R:a:h|e:e|m|
அ|ப:்:த|ு:ர:்|	A|b:d|u:r|
ர:ஹ|்:ம|ா|ன:்|	R:a:h|m|a|n|
அ|ப:்:த|ு:ர:்|	A|b:d|u:r|
ர|ௌ|ஃ:ப:்|	R|a:u|f|
அ|ப:்:த|ு:ர:்|	A|b:d|u:r|
ர|ா|ஸ:்:ஸ|ா|க:்|	R|a|z:z|a|k|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச|ா|ப|ூ|ர:்|	S|a|b|o:o|r|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச|ா|ப|ு:ர:்|	S|a|b|u:r|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச:ம|ி|	S:a:m|i|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச|த:்|த:ா|ர:்|	S:a|t|t:a:a|r|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச|த:்|த|ர:்|	S:a|t|t:a|r|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ஷ|ா:ஃ:ப|ீ|	S:h|a:f|e:e|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ஷ|ா|க:ூ|ர:்|	S:h|a|k:o:o|r|
அ|ப:்:த|ு|ஸ:்|	A|b:d|u|s|
ச|ு|ப|்:ப|ூ|	S|u|b|b|o:o:h|
அ|ப:ீ|த:ா|	A|b:e:e|d:a:h|
அ|ப|ெ|ர:்:ட|ீ|ன:்|	A|b|e|r:d|e:e|n|
அ|ப:ே|	A|b:e:y|
க|ு|ர|ு|வ|ி|ல:்:ல|ா|	K|u|r|u|v|i|l:l|a|
அ:ப|ா|	A:b:h|a|
அ|ப|ய|ா|ன:ந|்:த|ா|	A|b:h:a|y|a|n:a:n|d|a|
அ|ப|ய|ா:ப:ி|ர|ா|த:்|	A|b:h:a|y|a:p|r|a|d|
அ:ப|ி|	A:b:h|i|
அ:ப|ி|	A:b:h|i|
அ:ப|ி|ச|ந:்:த|ர:்|	A:b:h|i|c:h:a|n:d|r|
அ:ப|ி|ஹ|ி:த:்|	A:b:h|i|h|i:t|
அ:ப|ி:ஜ|ா|த|ி|	A:b:h|i:j:a|a|t|y|
அ:ப|ி:ஜ|ய:்|	A:b:h|i:j:a|y|
அ:ப|ி|ஜ|ீ|த:்|	A:b:h|i|j|e:e|t|
அ:ப|ி|ஜ|ி:த:்|	A:b:h|i|j|i:t|
க|ே|ல|்|	K|a|l|e|
அ:ப|ி|ஜ:்|வ|ா|ல|ா|	A:b:h|i|j|v|a|a:l:a|a|
அ:ப|ி|ஜ:்:வ|ல|ா|	A:b:h|i|j:w|a:l:a|a|
அ|ப:ி:ஹ|ி|க:்|	A|b:h|i|k|
அ:ப|ி|ல|ா|ஷ:்|	A:b:h|i|l|a|a:s:h|
அ:ப|ி|ல|ா|ஷ|ா|	A:b:h|i|l|a|s:h:a|a|
அ:ப|ி:ம:்|	A:b:h|i:m|
அ:ப|ி:ம|ன|்:ய|ூ|ச|ு|த:்|	A:b:h|i:m:a|n|y|u|s|u|t|
அ:ப|ி|ம|ோ|த:்|	A:b:h|i|m|o|d|
அ:ப|ி|ம|ோ|த|ா|	A:b:h|i|m|o|d|a|
அ:ப|ி|ன|ா:த|்|	A:b:h|i|n|a:a:t|h|
அ:ப|ி|ன|ா|ப|ா|ஸ:்|	A:b:h|i|n|a|b:h:a|a|s|
அ:ப|ி|ன|ா|ன|்:த|ா|	A:b:h|i|n|a|n|d|a|
அ:ப|ி|ன|ா|ன:்|த:ா|	A:b:h|i|n|a|n|d:a:a|
அ:ப|ி|ன|ா|த|்|	A:b:h|i|n|a|t|h|
அ|ப:ி:ஹ|ி:ர:்|	A|b:h|i:r|
அ:ப|ி|ர|ா:ம:்|	A:b:h|i|r|a:m|
அ:ப|ி|ர|ு:ப:்|	A:b:h|i|r|u:p|
அ:ப|ி|வ|ீ|ர:்|	A:b:h|i|v|e:e|r|
அ:ப|ி|வ|ி:ர:்|	A:b:h|i|v|i:r|
அ:ப:்|ஹ:்|ர:்|	A:b|h|r|
அ:ப|ி:ய:ு|த|ி|த|ா|	A:b:h|y:u|d|i|t|a|
அ|ப|ி|த:்|	A|b|i|d|
அ|ப|ி|த:ா|	A|b|i|d:a:h|
அ|ப|ி|க:ெ:ய|ி|ல:்|	A|b|i|g:a|i|l|
வ|ா|ன:்|	V|a|n|
ட|ை|க|்|	D|i|k|e|
அ|ப|ி:ங|்:ட:ன|்|	A|b|i:n:g|t:o|n|
அ|ப|ி|ஸ:ோ|	A|b|i|s:s:o|
அ:ப:்|ர|ி|	A:b|r|i|
அ:ப:்|ர:ய|ோ|ன|ி|	A:b|j:a:y|o|n|i|
அ|ப:்:ஜ|ி|ன|்|ப|ட:்:ட|ி|	A|b:j|i|n|i|p:a|t|i|
அ|ப|ோ|த|்|	A|b|o|d|h|
அ|ப:ூ|	A|b:o:u|
ப|ெ:ன:்|	B|e:n|
அ:த|ெ|ம:்|	A:d:h|e|m|
அ|ப:்:க|ு|ர:ா|	A|b:q|u|r:a:h|
அ|ப|்:ர:ர|்|	A|b|r:a|r|
எ:ப:்|ர|ி|ல:்|	A:b|r|i|l|
அ:ப:்|ர|ோ|ல:்:ஹ|ோ|ஸ:்|	A:b|r|o|l:h|o|s|
ம|ெ|ர|ை|ன|்|	M|a|r|i|n|e|
