a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
a|b|s:h:i|r|e|	แ:อ:็|บ|ไ:ช|ร|์|
a|b|s|o|r|b|	แ:อ|บ|ซ|อ|ร:์|บ|
a|b|s|o|r|b|a|n|c|e|	แ:อ|บ|ซ|อ|ร:์|แ|บ|น|ซ|์|
a|b|s|t|r|a|c:t|i|o|n|-|c|r:e|a|t|i|o|n|	อ:ั|บ|ส|ต|ร|ั|ก|ซ:ี|ย|ง|เ|ก|ร|อ:า|ซ|ี|ย|ง|
a|b|s:u|r|d|	แ:อ|บ|เ:ซ:ิ|ร:์|ด|
a|b|t|	แ:อ:็|บ|ท:์|
a|b:u|◊:d:h|a|b|i|	อ:า|บ|ู:ด|า|บ|ี|
a|b|u|j|a|	อ:า|บ|ู|จ|า|
a|b:u|s|e|	อ|บ:ิ:ว|ส|์|
a|b:y|	อ:า|บ:ี:้|
a|b:y:s|s|i|n:i|a|	อ:ะ|บ:ิ|ส:ซ|ิ|เ:น:ี|ย|
a|b|z|u|g|	แ:อ:็|บ|ซ|ั|ก|
a|c|	เ:อ|ซ:ี|
a|c:a|c|i|a|	อ:ะ|เ:ค:เ|ช|ี|ย|
a|c:a|c|i|a|	อ:ะ|เ:ค:เ|ซ|ี|ย|
a|c:a|d:e|m|y|	อ:ะ|ค:า:เ|ด|ม|ี|
a|c:a|d:e|m|y:◊:a|w|a|r|d|	อ:ะ|ค:า:เ|ด|ม|ี:อ|ว|อ|ร:์|ด|
a|c|a:n|t:h:u|s|	อ:ะ|แ:ค|น|ท:ั|ส|
a|c|a|p|u|l|c:o|	อ:า|ก|า|ป|ุ|ล:โ|ก|
a|c|c|e:l:e|r:a|t|o|r|	แ:อ|ค|เ:ซ|เ:ล|อ:เ:ร|เ:ต|อ|ร:์|
a|c|c:e:s|s|	แ:อ|ก|เ:ซ|ส|
a|c|c|e:s|s|o|r|y|	แ:อ|ก|เ:ซ|ส|ซ|อ|ร|ี|
a|c|c:i|d:e|n|t|	แ:อ|ก|ซ:ิ:เ|ด|น|ต:์|
a|c|c|o|r|d|i|o:n|	แ:อ|ก|ค|อ|ร:์|เ:ด|ี:ย|น|
a|c|c|o|r|d|i|o:n|	แ:อ|ค|ค|อ|ร:์|เ:ด|ี:ย|น|
a|c|c:o|u:n|t|◊|e|x|e|c:u|t|i:v:e|	แ:อ|ก|เ:ค:า|น|ต|์|เ:อ|เ:ซ|ก|ค:ิ:ว|ท|ี:ฟ|
a|c|c|r|a|	อ:ั|ก|ก|ร|า|
a|c:e|b:o|	เ:อ:เ|ซ|อ:โ:บ|
a|c:e|l|	เ:อ|เ:ซ:ิ|ล|
a|c:e|r|	เ:อ|เ:ซ:อ|ร:์|
a|c:e|t|a:t:e|	แ:อ|ซ:ี:เ|ท|ต|
a|c|e:t|i|c|	อ:ะ|ซ:ี|ต|ิ|ก|
a|c|e:t|i|c|	อ:า|เ:ซ|ต|ิ|ก|
a|c:e|t|i|c|	แ:อ|ซ|ิ:ต|ิ|ก|
a|c|e:t|i|c|	แ:อ|ซ:ี|ต|ิ|ก|
a|c:e|t:o|n:e|	แ:อ|ซ|ิ:โ:ต|น|
a|c:e|t:o|n:e|	แ:อ|ซ|ิ:โ:ท|น|
a|c:e|t|y|l|c:h:o|l|i:n:e|	อ:ะ:เ|ซ|ท|ิ|ล|โ:ค|ล|ี:น|
a|c:e|t|y|l|c:h:o|l|i:n:e|◊|e|s|t:e|r|a:s:e|	อ:ะ:เ|ซ|ท|ิ|ล|โ:ค|ล|ี:น|◊|เ:อ|ส|เ:ท:อ|เ:ร|ส|
a|c:e|t|y|l|e:n:e|	อ:ะ:เ|ซ|ท|ิ|ล|ี:น|
a|c:e|t|y|l|e:n:e|	อ:ะ:เ|ซ|ท|ี|ล|ี:น|
a|c|e:t|y|l|e:n:e|	แ:อ|ซ:ี|ท|ิ|ล|ี:น|
a|c|h|	เ:อ|ซ:ี|เ:อ:ช|
a|c:h:a|t|z|	แ:อ|เ:ค|ิ:ต|ส:์|
a|c:h:e|a:m:e|n|i|d|	อ:ะ|ค:ี|เ:ม|น|ิ|ด|
a|c:h:e|r|	แ:อ|เ:ค|อ:ร:์|
a|c:h|e|r:o|n|	แ:อ:็|ก|เ:ค|ร|ิ:น|
a|c:h:e|s|o|n|	แ:อ|ช:ิ|ส|ั|น|
a|c:h:e|s|o|n|	แ:อ:เ|ช:อ|ส|ั|น|
a|c:h|i:e|v:e|m|e:n|t|	อ:ะ|ช|ี|ฟ|เ:ม|น|ต:์|
a|c:h|i|l|l:e|s|	อ|ค|ิ|ล|ล|ิ:ส|
a|c|h|r:o|m|a|t|i|c|◊:l:e|n|s|	อ:ะ|โ|ค|ร|ม|า|ต|ิ|ก|เ:ล|น|ส:์|
a|c|h|r|o:m:o|b|a|c|t:e|r|	อ:ะ|โ|ค|ร|โ:ม|แ|บ|ค|เ:ท:อ|ร:์|
a|c:h|t:e|r|	แ:อ:็|ก|เ:ต:อ|ร:์|
a|c|i|d|	แ:อ|ซ|ิ|ด|
a|c|i|d:◊|t|a|r|	แ:อ|ซ|ิ|ด|ท|า|ร:์|
a|c:k:e|r|l:y|	แ:อ|เ:ค|อ:ร:์|ล:ี:่|
a|c|k:e|r|m:a|n|	แ:อ:็|ก|เ:ค:อ|ร:์|เ:ม:ิ|น|
a|c|k:e|r|m:a:n|n|	แ:อ:็|ก|เ:ค:อ|ร:์|เ:ม|ิ:น|
a|c:k|l|a|n:d|	แ:อ|็:ก:เ|ล|ิ:่|น:ด:์|
a|c|k|l:e|n|	แ:อ:็|ก|เ:ค|อ:เ:ล|ิ:่:น|
a|c:k|l|e:y|	แ:อ:็|ก|ล|ี:ย:์|
a|c:k|l|i|n|	แ:อ:็|ก|ล|ิ|น|
a|c|k|r|o|y:d|	แ:อ:็|ก|ค|ร|อ|ย:ด:์|
a|c|l:a|n:d|	อ:ั|ก|เ:ล:ิ|น:ด:์|
a|c|l|i|n|i|c|	อ:ะ|ค|ล|ิ|น|ิ|ก|
a|c|m:e|	แ:อ|ก:เ|ม|
a|c|m|i:t|e|	แ:อ|ก|ไ:ม|ต|์|
a|c|o|s|t:a|	อ|ค|อ|ส|ต:้:า|
a|c:o:u|s|t|i|c|	อ:ะ|ค:ู|ส|ต|ิ|ก|
a|c|r:e|	เ:อ|เ:ค|อ:ร:์|
a|c|r|e:-|f:o:o|t|	เ:อ|เ:ค|อ:ร:์|-|ฟ:ุ|ต|
a|c|r:e:e|	เ:อ:อ|ค|ร:ี|
a|c|r|i|t|a|r|c:h|	อ:า|ค|ร|ิ|ท|า|ร:์|ช|
a|c|r|o:p:o|l|i|s|	อ:ะ|โ:ค|ร|โ:พ|ล|ิ|ส|
a|c|r|o|s|o:m:e|	อ:ะ|โ:ค|ร|โ|ซ|ม|
a|c|r|y|l|i|c|	อ:ะ|ค|ร|ิ|ล|ิ|ก|
a|c|r|y|l|i|c|◊:r:e|s|i|n|	อ:ะ|ค|ร|ิ|ล|ิ|ก|เ:ร|ซ|ิ|น|
a|c:t|	แ:อ:็|ก|
a|c:t|	แ:อ:๊|ค|
a|c|t|i|n|	แ:อ|ก|ท|ิ|น|
a|c|t|i:n:g|	แ:อ|ก|ต|ิ:ง|
a|c|t:i|n:g|	แ:อ|ก|ต:ิ:้|ง|
a|c|t|i|n|i:d|e|	แ:อ|ก|ท|ิ|ไ:น|ด|์|
a|c|t|i|n:i|u|m|	แ:อ|ก|ต|ิ|เ:น:ี|ย|ม|
a|c|t|i|n:i|u|m|	แ:อ|ก|ท|ิ|เ:น:ี|ย|ม|
a|c|t|i:n|o|l|i:t|e|	แ:อ|ก|ท|ิ|โ:น|ไ:ล|ต|์|
a|c|t:i:n|o|m|y|c:e|t:e:s|	แ:อ|ก|ต:ิ|โ:น|ไ:ม|ซ:ี|ส|ต:์|
a|c|t:i:o|n|	แ:อ|ก|ช:ั|น|
a|c|t:i:o|n|	แ:อ|ก|ช:ั|่:น|
a|c|t|i|v|a|t|e|d:◊|s|l:u|d:g:e|	แ:อ|ก|ท|ิ|เ:ว|เ|ต|็|ด|ส|ล:ั:ด|จ:์|
a|c|t|i|v:e|	แ:อ|ก|ท|ิ|ฟ|
a|c|t|i:v:e|	แ:อ|ก|ท|ี:ฟ|
a|c|t|i:v:e|	แ:อ|ค|ท|ี:ฟ|
a|c|t|i|v|i|s|t|	แ:อ|ก|ต|ิ|ว|ิ|ส|ต:์|
a|c|t|i|v|i|t|y|	แ:อ|ก|ท|ิ|ว|ิ|ต|ี|
a|c|t|o|n|	แ:อ|ก|ต|ั|น|
a|c|t|o:n|	แ:อ:็|ก|เ:ต|ิ:่:น|
a|c|u|	เ:อ|ซ:ี|ย:ู|
a|c|w:o|r|t:h|	เ:อ:ิ|ก|เ:ว:ิ|ร:์|ท|
a|d|	แ:อ|ด|
a|d|◊:c:a|r|d|	เ:อ|ด:ี|ก:า|ร:์|ด|
a|d|a|	อ:า|ด|า|
a|d|a|	เ:อ|ด|า|
a|d:a|h|	แ:อ|ด|้:า|
a|d:a:i|r|	อ|แ:ด|ร:์|
a|d|a|l|b:e|r|t|	อ:อ|ด|อ|ล|เ:บ:ิ|ร:์|ต|
a|d|a|m|	แ:อ|ด|ั|ม|
a|d|a|m|e|c|	เ:อ:อ|ด|า|ม|ิ|ก|
a|d|a|m:e|l|l|i:t|e|	อ:ะ|ด|า|เ:ม:ล|ไ|ล|ต|์|
a|d|a|m|i|	อ:า|ด|า|ม|ี:่|
a|d:a|m|i|c|	แ:อ|ด:แ:ด|ม|ิ|ก|
a|d|a:m|k|u|s|	แ:อ|็:ด:เ|ด:ิ:ม|ค|ั|ส|
a|d|a|m|s|	แ:อ|ด|ั|ม|ส:์|
a|d|a|m|s|,|◊:b:r|y|a:n|	แ:อ|ด|ั|ม|ส:์|,:◊|ไ:บ|ร|อ:ั:น|
a|d|a|m|s|,:◊|j|o|h|n|	แ:อ|ด|ั|ม|ส|์:,:◊|จ|อ|ห:์|น|
a|d|a|m|s|,:◊|j|o|h|n|◊|q|u|i|n|c|y|	แ:อ|ด|ั|ม|ส|์:,:◊|จ|อ|ห:์|น|◊|ค|ว|ิ|น|ซ|ี|
a|d|a|m|s|,:◊|s|c|o|t|t|	แ:อ|ด|ั|ม|ส|์:,:◊|ส|ก|อ|ต|ต:์|
a|d:a|m|s|o|n|	แ:อ|เ:ด:ิ|ม|ส|ั|น|
a|d:a|n:k|	อ|อ:ด:ั|ง:ก:์|
a|d|a:p|t|	อ:ะ|แ:ด|ป|ต:์|
a|d|a:p|t:e|r|	อ:ะ|แ:ด|ป|เ:ต:อ|ร:์|
a|d|a:p|t|o|r|	อ:ะ|แ:ด|ป|เ:ต|อ|ร:์|
a|d:a:r|e|	เ:อ:อ|แ:ด|ร:์|
a|d|a|t|	อ:า|ด|ั|ต|
a|d|b|	เ:อ|ด:ี|บ:ี|
a|d|c|	เ:อ|ด:ี|ซ:ี|
a|d|c:o|c:k|	เ:อ:ิ|ด|ค:็:อ|ก|
a|d|d|a|m|s|	แ:อ|ด|ด|ั|ม|ส:์|
a|d|d|a|m|s|,:◊|c:h:a|r:l:e|s|	แ:อ|ด|ด|ั|ม|ส|์:,:◊|ช:า|ล|ส:์|
a|d:d:e|	แ:อ|็:ด|
a|d|d:e|n|	แ:อ|็:ด:เ|ด|ิ:่:น|
a|d|d:e|r|l:e|y|	เ:อ:ิ|ด|เ:ด:อ|ร:์|ล:ี:่|ย:์|
a|d|d|i|s|	แ:อ|ด|ด|ิ|ส|
a|d|d|i|s:◊|a|b|a|b|a|	แ:อ|ด|ด|ิ|ส|อ:า|บ|า|บ|า|
a|d|d|i|s|o|n|	แ:อ|ด|ด|ิ|ส|ั|น|
a|d|d:i|s|o|n|	แ:อ:็|ด|เ:ด:อ|ส|ั|น|
a|d|d|i|t|i|v:e|	แ:อ|ด|ด|ิ|ท|ิ|ฟ|
a|d|d|i:t|o:n|	เ:อ:ิ|ด|ด:ี:เ|ต|ิ:้:น|
a|d:e|	เ:อ|ด|
a|d|e:l|	อ|เ:ด|ล|
a|d|e:l|a|	อ|เ:ด|ล|ล:่:า|
a|d|e:l|b:e|r|t|	เ:อ:อ|เ:ด|ล|เ:บ:ิ|ร:์|ต|
a|d|e:l|e|	อ|เ:ด|ล|เ:ล:่|
a|d:e|l:i|n:a|	แ:อ:็|ด:เ:ด|ล:ล:ี|น:่:า|
a|d:e|l:i|n|e|	แ:อ:็|ด:เ:ด|อ:ไ:ล|น|์|
a|d|e:l|l|e|	อ|เ:ด|ล|ล|์|
a|d:e|l|m|a|n|	แ:อ:็|ด:เ:ด|ิ:ล|เ:ม|ิ:่|น|
a|d:e|l|m:a:n|n|	แ:อ|เ:ด:ิ|ล|เ:ม|ิ:่:น|
a|d|e:n|	เ:อ|เ:ด|น|
a|d:e|n|	เ:อ:เ|ด|ิ:้:น|
a|d:e|r|	เ:อ|เ:ด:อ|ร:์|
a|d|e|s|	เ:อ|ด|ึ|ส|
a|d|g:e|r|	แ:อ|ด|เ:จ:อ|ร:์|
a|d|i|a|b|a:t|i|c|	อ:ะ|เ:ด|ี:ย|แ|บ|ต|ิ|ก|
a|d|i|a|b|a:t|i|c|	แ:อ|เ:ด|ี:ย|แ|บ|ต|ิ|ก|
a|d|i|e|	แ:อ|ด|ี|้|
a|d|i|n|	เ:อ:อ|ด|ิ|น|
a|d|j|u|s|t|	แ:อ|ด|จ|ั|ส|ต:์|
a|d|k|i|n|s|	แ:อ:็|ด|ค|ิ|น|ส:์|
a|d|k|i|n|s|o|n|	แ:อ|ด|ค|ิ|น|ส|ั|น|
a|d|k|i|s:s|o|n|	แ:อ|ด|ค|ิ|ส|ั|น|
a|d|l:e|r|	แ:อ:็|ด|เ:ล:อ|ร:์|
a|d|l|e:y|	แ:อ:็|ด|ล|ี:ย:์|
a|d|m|i|r|a|l|t|y|	แ:อ|ด|ม|ิ|ร|ั|ล|ต|ี|
a|d|m|i|s|s:i:o|n|	แ:อ|ด|ม|ิ|ช|ช:ั|่:น|
a|d|m|i|s|s:i:o|n|	แ:อ|ด|ม|ิ|ส|ช:ั|น|
a|d|n:a|	แ:อ:็|ด|น:่:า|
a|d:o|b:e|	อ:ะ|โ:ด:เ|บ|
a|d|o|l|f|	อ|ด|อ|ล:์|ฟ|
a|d|o|l|p:h|	เ:อ|ด|อ|ล:์|ฟ|
a|d|o|l|p:h:u|s|	แ:อ|ด|อ|ล|เ:ฟ|ิ:ส|
a|d|p|	เ:อ|ด:ี|พ:ี|
a|d|r|e|n|a|l|c|o|r|t|e:x|	อ:ะ|ด|ร|ี|น|ั|ล|ค|อ|ร:์|เ:ท|ก:ซ:์|
a|d|r|e|n|a|l|i|n|	อ:ะ|ด|ร|ี|น|า|ล|ิ|น|
a|d|r:e|t:t|o|	อ:า|เ:ด|ร|ต|โ:ต|
a|d|r|i|a:n|	อ:า|ด|ร|ี|อ:ั:น|
a|d|r:i|a|n|	อ:า|เ:ด|ร|ี:ย|ง|
a|d|r|i|a:n|	เ:อ|เ:ด|ร|ี:ย|น|
a|d|r|i|a|n:a|	เ:อ|ด|ร|ี|แ:อ|น:่:า|
a|d|r|i|a|n:n|a|	อ:อ|ด|ร|ี|แ:อ|น|่:า|
a|d|r|i|a|n:o|p|l:e|	เ:อ|เ:ด|ร|ี:ย|โ|น|เ:ป:ิ|ล|
a|d|r|i|a:t|i|c|	เ:อ|เ:ด|ร|ี:ย|ต|ิ|ก|
a|d|r:i|e|n|	อ:า|เ:ด|ร|ี:ย|ง|
a|d|r|i|e:n|	เ:อ|เ:ด|ร|ี:ย|น|
a|d|r:i:e|n:n:e|	อ:า|เ:ด|ร:ี|ย:น|
a|d|r:i:e|n:n:e|	เ:อ|เ:ด|ร:ี|ย:น|
a|d|t|	เ:อ|ด:ี|ท:ี|
a|d|u|l:a|r:i|a|	อ:ะ|ด|ู|ล:า:เ|ร|ี:ย|
a|d|v|a|n|c|e|	แ:อ|ด|ว|า|น|ซ|์|
a|d|v:e|c|t:i:o|n|	แ:อ|ด:เ|ว|ก|ช:ั|น|
a|d|v|i:s|o|r|y|	แ:อ|ด|ไ:ว|ซ|อ|ร|ี|
a|e|b:e|r|s|o:l|d|	แ:อ|เ:อ|เ:บ:อ|ร:์:โ|ซ|ล|ด:์|
a|e|g|e|a:n|	อ|ี|เ:จ|ี:ย|น|
a|e|g|i|r|i:n:e|	อ|ี|จ|ิ|ร|ี:น|
a|e|g|i|r|i:t|e|	อ|ี|จ|ิ|ไ:ร|ต|์|
a|e|r:o:◊|g:r:a|m:m|e|	แ|อ|โ:ร|แ:ก|ร|ม|
a|e:r:o|b:e|s|	แ:อ|โ:ร|บ|ส:์|
a|e:r:o|b|i|c|◊:b:a|c|t:e|r:i|a|	แ:อ|โ:ร|บ|ิ|ก|แ:บ|ค|ท:ี:เ|ร|ี:ย|
a|e:r:o|g|r|a:m|	แ:อ|โ:ร|แ:ก|ร|ม|
a|e:r:o|p|l|a:n:e|	แ:อ|โ:ร|แ:พ|ล|น|
a|e:r:o|s|o|l|	แ:อ|โ:ร|ซ|อ|ล|
a|e:r:o|s|p:h:e|r:e|	แ:อ|โ:ร|ส:เ|ฟ:ี|ย:ร:์|
a|e|s:o:p|	อ|ี|ส:ป|
a|f:e|e|	เ:อ|ฟ|ี:่|
a|f|f|i|n|i|t|y|	แ:อ|ฟ|ฟ|ิ|น|ิ|ท|ี|
a|f|f|l|e|c:k|	แ:อ|ฟ|ฟ|ล|ิ|ก|
a|f|g:h|a|n|i|	อ:ั|ฟ|ก|า|น|ี|
a|f|l|a|t|o|x:i|n|	อ:ะ|ฟ|ล|า|ท|อ|ก:ซ:ิ|น|
a|f|r|a|	เ:อ|ฟ|ร|า|
a|f|r|i|c|a|	แ:อ|ฟ|ร|ิ|ก|า|
a|f|r|i|c|a|n|	อ:ั|ฟ|ร|ิ|ก|ั|น|
a|f|r|i|c|a|n:u|s|	แ:อ|ฟ|ร|ิ|ก|า|เ:น:ิ|ส|
a|f|t|	แ:อ|ฟ|ต:์|
a|f|t|a|	อ:า|ฟ|ต|า|
a|f|t:e|r|s:h:a|v:e|	อ:า|ฟ|เ:ต:อ|ร:์|เ:ช|ฟ|
a|f|t:e|r|s:h|o|c:k|	อ:า|ฟ|เ:ต:อ|ร:์|ช|็:อ|ก|
a|g:a:i|n|	อ|เ:ก|น|
a|g|a|r|	อ:ะ|ก|า|ร:์|
a|g|a|r|-:a|g|a|r|	อ:ะ|ก|า|ร:์|-:อ:ะ|ก|า|ร:์|
a|g:a|r|d|	แ:อ|เ:ก:ิ|ร:์|ด|
a|g|a|s|s|i|z|	อ:ะ|ก|ั|ส|ซ|ิ|ส|
a|g:a:s|s:i:z|	แ:อ|ก:า|ซ:ี|
a|g|a:t:e|	อ:ะ|เ:ก|ต|
a|g|a|t:h|a|	แ:อ|ก|า|ท|า|
a|g|a|v:e|	อ:ะ|ก|า:เ|ว|
a|g:e|e|	เ:อ|จ|ี:่|
a|g:e|n|t|	เ:อ:เ|จ|น|ต:์|
a|g|e:n|t|	เ:อ:เ|ย|น|ต:์|
a|g:e|n|t|	เ:อ|เ:ย:่|น|ต:์|
a|g|e:y|	เ:อ|จ|ี:ย:์|
a|g|g|a|r|	แ:อ|็:ก|เ:ก|อ|ร:์|
a|g|i|n|s|	เ:อ|ก|ิ|น|ส:์|
a|g:i|s|	แ:อ|เ:ก:ิ|ส|
a|g|n|a|t:h|a|	แ:อ|ก|น|า|ท|า|
a|g|n|e:s|	อ:ั|ก|เ:น|ส|
a|g|n|e:s|	แ:อ|ก|เ:น|ส|
a|g|n|e|w|	แ:อ|ก|น|ิ|ว|
a|g|n|e:w|	แ:อ|็:ก|น|ู|
a|g|n:u|s|	แ:อ|็:ก|เ:น:ิ|ส|
a:g|o|	อ|โ:ก|
a|g|o|n|i|c|	อ:ะ|ก|อ|น|ิ|ก|
a|g:o|s|t:i|n:e|l:l|i|	อ|า:โ:ก|ส|ต:ิ:เ|น|ล|ี:่|
a|g|o|s|t|i:n|o|	อ:า|ก|อ|ส|ต|ี|โ:น|
a|g|r:e|	อ|เ:ก|อ:ร:์|
a|g|r|e:s|t|	เ:อ:อ|เ:ก|ร|ส|ต:์|
a|g|r|i|c:o:l|a|	แ:อ|ก|ร|ี|โ:ค|ล:่:า|
a|g|r|i|h|a|n|	อ:า|ก|ร|ี|ฮ|ั|น|
a|g|r|i|p|p:a|	อ|ก|ร|ี|ป|ป:้:า|
a|g|r|o|n|	แ:อ|็:ก|ร|อ|น|
a|g:u:e|	แ:อ:็|ก|
a|g|u|l|h|a:s|	อ:ะ|ก|ั|ล|แ:ฮ|ส|
a|g:y|	อ|จ:ี:้|
a|h|a|l|t|	อ:อ|ฮ|อ|ล:์|ต|
a|h:e:a|r|n:e|	เ:อ:อ|เ:ฮ|ิ:ร:์|น|
a|h:e|r|n|	เ:อ:อ|เ:ฮ:ิ|ร:์|น|
a|h:e:r|n:e|	เ:อ:อ|เ:ฮ|น|
a|h:l|	อ:อ|ล|
a|h:l|b:e|r|g|	แ:อ|ล|เ:บ:ิ|ร:์|ก|
a|h:l:e|m|	อ:อ|เ:ล|ิ:ม|
a|h:l:e|r|s|	อ|เ:ล|ิ:ร:์|ส|
a|h:l|g|r|e:n|	อ:ั|ล|เ:ก|ร|น|
a|h:l|q|u|i|s|t|	อ:ั|ล|ค|ว|ิ|ส|ต:์|
a:h|r|	อ|า:ร:์|
a|h:r:e|n|s|	อ:า|ร:ิ|น|ส:์|
a|h:t|i|	อ:า|ต|ี:้|
a|h|u|	เ:อ|เ:อ:ช|ย:ู|
