a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
a:a|d|i|t|y:a|k|e:s|h:a|v|	ಆ|ದ|ಿ|ತ:್|ಯ|ಕ|ೇ|ಶ|ವ:್|
a:a|d|i|t|y:a|v:a|r|d|h:a|n|	ಆ|ದ|ಿ|ತ:್|ಯ|ವ|ರ:್|ಧ|ನ|್|
a:a|d|i|t|y|n:a|n|d:a|n|	ಆ|ದ|ಿ|ತ:್|ಯ|ನ|ಂ|ದ|ನ:್|
a:a|d|m|i|	ಆ|ದ|ಮ|ಿ|
a:u|r|	ಔ|ರ:್|
i|n|s:a|a|n|	ಇ|ನ:್|ಸ|ಾ|ನ:್|
a:a|f:a|t|	ಆ|ಫ|ತ:್|
a:a|f|i|y|a|	ಆ|ಫ|ಿ|ಯ|ಾ|
a:a|g|	ಆ|ಗ:್|
a:a|n|d:h|i|	ಆ|ಂ|ಧ|ಿ|
t|o:o|f|a|n|	ತ|ೂ|ಫ|ಾ|ನ:್|
h|i|	ಹ|ಿ|
k|a|	ಕ|ಾ|
d:a|r|i|y|a|	ದ|ರ|ಿ|ಯ|ಾ|
s:h|o|l:a|y|	ಶ|ೋ|ಲ|ೋ|
a:a|g:a|l|e|	ಆ|ಗ|ಲ|ೇ|
a:a|g|e|	ಆ|ಗ|್|
k|i|	ಕ|ೀ|
s|o|c|h|	ಸ|ೋ|ಚ|್|
a:a|h|i|	ಆ|ಹ|ಿ|
a:a|h|l:a|a|d|i|t|	ಆ|ಹ:್|ಲ|ಾ|ದ|ಿ|ತ:್|
a:a|h|l|a|d|	ಆ|ಹ:್|ಲ|ಾ|ದ:್|
a:a|h|l|a|d|i|t|	ಆ|ಹ:್|ಲ|ಾ|ದ|ಿ|ತ:್|
a:a|h|w|a|n|i|t|	ಆ|ಹ:್|ವ|ಾ|ನ|ಿ|ತ:್|
a|a|i|n|a|	ಆ|ಯ|ಿ|ನ|ಾ|
a:a|j|	ಆ|ಜ:್|
a|r|j|u|n|	ಅ|ರ:್|ಜ|ು|ನ:್|
d:a|u|r|	ದ|ೌ|ರ:್|
g|u|n|d|a|	ಗ|ು|ಂ|ಡ|ಾ|
g|u|n|d:a|r|a|j|	ಗ|ು|ಂ|ಡ|ರ|ಾ|ಜ:್|
k:a|l|	ಕ|ಲ:್|
a|n|g:a|a|r|e:y|	ಅ|ಂ|ಗ|ಾ|ರ|ೆ|
s:h|a:h|a:n|s:h|a|h|	ಶ|ಹ|ಂ|ಶ|ಾ|ಹ:್|
a:a|j|a|	ಆ|ಜ|್|
r|e|	ರ|ೆ|
o|	ಒ|
s:a|j|n|a|	ಸ|ಜ|ನ|ಾ|
a:a|j:a|a|d|	ಆ|ಜ|ಾ|ದ:್|
a:a|k:a|a|n:k|s:h|a|a|	ಆ|ಕ|ರ|್|ಷ|ಣ|ಾ|
a:a|k|a|n|k|s:h|a|	ಆ|ಕ|ಾ|ಂ|ಕ:್|ಷ|ಾ|
a:a|k:a|r|s|h:a|n|	ಆ|ಕ|ರ|್|ಷ|ಣ:್|
a:a|k:h|r|i|	ಆ|ಖ|ಿ|ರ:್|
c:h|e:e|k|h|	ಚ|ೀ|ಖ|್|
c:h|e|t|a|w:a|n|i|	ಚ|ೆ|ತ|ಾ|ವ|ನ|ೀ|
g:h|u|l|a|m|	ಗ|ು|ಲ|ಾ|ಮ:್|
m|u|j|r|a|	ಮ|ು|ಜ|ರ|ಾ|
m|u|q|a|b|l|a|	ಮ|ು|ಕ|ಾ|ಬ|ಲ|ಾ|
n|i|s|h|c:h|a|y|	ನ|ಿ|ಶ|್|ಚ|ಯ|್|
a:a|k|i|f:a|h|	ಆ|ಕ|ಿ|ಫ|ಾ|
a:a|k|r|a|n|t|	ಆ|ಕ:್|ರ|ಾ|ಂ|ತ:್|
a:a|l|h|a|	ಆ|ಲ:್|ಹ|ಾ|
u|d:a|l|	ಉ|ದ|ಲ:್|
a:a|l|h|a|d|	ಆ|ಲ:್|ಹ|ಾ|ದ:್|
a:a|l|i|m|	ಆ|ಲ|ಿ|ಮ:್|
a:a|l|i|n|g:a|n|	ಆ|ಲ|ಿ|ಂ|ಗ|ನ:್|
a:a|m|e|r|	ಆ|ಮ|ಿ|ರ:್|
s|o|h:a|i|l|	ಸ|ೊ|ಹ|ೈ|ಲ:್|
a:a|m|i|l:a|h|	ಆ|ಮ|ಿ|ಲ|ಾ|
a:a|m|i|n:a|h|	ಆ|ಮ|ಿ|ನ|ಾ|
a:a|m|i|r|	ಆ|ಮ|ಿ|ರ:್|
a:a|m|i|r:a|h|	ಆ|ಮ|ೀ|ರ|ಾ|
a|a|m|n:e|	ಆ:ಮ|್|ಮ|ೆ|
s|a|m|n|e|	ಸ|ಾ|ಮ:್|ನ|ೆ|
a:a|n|	ಆ|ನ:್|
b:a|a|n|	ಬ|ಾ|ನ:್|
m|i|l|o|	ಮ|ಿ|ಲ|ೋ|
a:a|n:a|n|d|	ಆ|ನ|ಂ|ದ:್|
a:a|n:a|n|d:a|m:a|y|e:e|	ಆ|ನ|ಂ|ದ|ಮ|ಯ|ೀ|
a:a|n:a|n|d|i|n|e:e|	ಆ|ನ|ಂ|ದ|ಿ|ನ|ೀ|
a:a|n:a|n|d|i|n|i|	ಆ|ನ|ಂ|ದ|ಿ|ನ|ಿ|
a:a|n|c:h|a|l|	ಆ|ಂ|ಚ|ಲ|್|
ph|o:o|l|	ಪ|ೂ|ಲ:್|
a:a|n|d:h|i|y|a|n|	ಆ|ಂ|ಧ|ಿ|ಯ|ಾ|ಂ|
a:a|n|g:a|n|	ಆ|ಂ|ಗ|ನ:್|
k:a|l|i|	ಕ|ಲ|ೀ|
a:a|n|i|s:a|h|	ಆ|ನ|ಿ|ಸ|ಾ|
a:a|n|k|h|	ಆ|ಂ|ಖ|್|
t|a|r|a|	ತ|ಾ|ರ|ಾ|
a:a|n|k:h|e:n|	ಆ|ಂ|ಖ|ೆ|
a:a|n|k:h|o:n|	ಆ|ಂ|ಖ|ೋ|
a:n|n|k:h|o:n|	ಆ|ಂ|ಖ|ೋ|
m:e|i:n|	ಮ|ೆ|
a:a|n|s|o:o|	ಆ|ಂ|ಸ|ೂ|
a:a|p|	ಆ|ಪ:್|
b|e:e|t|i|	ಬ|ೀ|ತ|ಿ|
p|y|a|r|	ಪ:್|ಯ|ಾ|ರ:್|
s|a|t|h|	ಸ|ಾ|ಥ|್|
k:a|s:a|m|	ಕ|ಸ|ಮ:್|
k:h|a|t|i|r|	ಖ|ಾ|ತ|ಿ|ರ:್|
m:a|a|r|z|i|	ಮ|ರ|್|ಝ|ೀ|
t|o|	ತ|ೊ|
a:i|s|e|	ಐ|ಸ|ೆ|
n|a|	ನ|ಾ|
t:h|e|	ಥ|ೆ|
a:a|q|i|b|	ಆ|ಕ|ಿ|ಬ:್|
a:a|r|a|d:h|a:n|a|	ಆ|ರ|ಾ|ಧ|ನ|ಾ|
a:a|r|a|m|	ಆ|ರ|ಾ|ಮ:್|
a:a|r:a|v|	ಆ|ರ|ವ:್|
a:a|r|o|h:a|n|	ಆ|ರ|ೋ|ಹ|ಣ:್|
a:a|r|y:a|a|v|a|r|t|	ಆ|ರ:್|ಯ|ಾ|ವ|ಾ|ರ:್|ತ|
a:a|s|	ಆ|ಸ:್|
p:a|n|c:h|h:i|	ಪ|ಂ|ಛ|ೀ|
a|a|s|a|m|i|	ಅ|ಸ:್|ಸ|ಾ|ಮ|ಿ|
a:a|s:h|a|	ಆ|ಶ|ಾ|
a:a|s:h|a:a|	ಆ|ಶ|ಾ|
a:a|s:h|e:e|s|h|	ಆ|ಶ|ಿ|ಷ|್|
a:a|s:h|i|r|	ಆ|ಶ|ಿ|ರ:್|
a:a|s:h|i|s|h|	ಆ|ಶ|ಿ|ಷ|್|
a:a|s|i|f|	ಆ|ಸ|ಿ|ಫ:್|
a:a|s|i|m|	ಆ|ಸ|ಿ|ಂ|
a:a|s|i|m:a|h|	ಆ|ಸ|ಿ|ಮ|ಾ|
a:a|s|m|a|n|	ಆ|ಸ|ಮ|ಾ|ನ:್|
g|i|r|a|	ಗ|ಿ|ರ|ಾ|
a:a|t|i|f|	ಆ|ತ|ಿ|ಫ:್|
a:a|t|i|k|	ಆ|ತ|ಿ|ಕ:್|
a:a|t|i|k:a|h|	ಆ|ತ|ಿ|ಕ|ಾ|
a:a|t|i|r:a|h|	ಆ|ತ|ಿ|ರ|ಾ|
a:a|t|m:a|j:a|	ಆ|ತ:್|ಮ|ಜ|
a:a|v|i|s|h|k:a|a|r|	ಆ|ವ|ಿ|ಷ|್|ಕ|ಾ|ರ:್|
a:a|y|e|	ಆ|ಯ|ೆ|
d|i|n|	ದ|ಿ|ನ:್|
b:a|h|a|r|	ಬ|ಹ|ಾ|ರ:್|
a:a|y|i|	ಆ|ಯ|ಿ|
y:a|a|d|	ಯ|ಾ|ದ:್|
t|e|r|i|	ತ|ೆ|ರ|ಿ|
a:a|y|u|s:h|m|a:a|n|	ಆ|ಯ|ು|ಷ|್:ಮ|ಾ|ನ:್|
a:a|y|u|s:h|m|a|n|	ಆ|ಯ|ು|ಷ|್:ಮ|ಾ|ನ:್|
a|b|	ಅ|ಬ:್|
a:a|y|e|g|a|	ಆ|ಯ|ೆ|ಗ|ಾ|
m:a|z:a|a|	ಮ|ಝ|ಾ|
d|i|l|l|i|	ದ|ಿ|ಲ:್|ಲ|ಿ|
d|o:o|r|	ದ|ೂ|ರ:್|
n:a|h|i:n|	ನ|ಹ|ೀ|
k|y|a|	ಕ:್|ಯ|ಾ|
h|o|g|a|	ಹ|ೋ|ಗ|ಾ|
a|b|a|d|i|y:a|h|	ಅ|ಬ|ಾ|ದ|ಿ|ಯ|ಾ|
a|b:a|h:h|	ಅ|ಬ|ಾ|
a|b|a|n|	ಅ|ಬ|ಾ|ನ:್|
l|o|y|d|c|h|i|l|e|s|	ಲ|ಾ|ಯ:್|ಡ|್:‌|ಚ|ಿ|ಲ|ೀ|ಸ:್|
a|b:a|n|o:o|r|	ಅ|ಬ|ನ|ೂ|ರ:್|
a|b|b:a|a|s|e:e|	ಅ|ಬ:್|ಬ|ಾ|ಸ|ೀ|
a|b|d|u:h|	ಅ|ಬ:್|ದ|ು|
s:h|a:a|h:i|d|	ಶ|ಹ|ೀ|ದ:್|
s:h|a:h|i|d|	ಶ|ಹ|ೀ|ದ:್|
a|b|d|u|l|	ಅ|ಬ:್|ದ|ು|ಲ:್|
a|d:h|e:e|m|	ಅ|ಧ|ೀ|ಮ:್|
a|d|l|	ಅ|ದ|ಲ:್|
a|f|u|w|	ಅ|ಫ|ೂ|ವ:್|
a|l|e:e|m|	ಅ|ಲ|ೀ|ಂ|
a|l|i|m|	ಅ|ಲ|ೀ|ಂ|
a|w|w:a|l|	ಅ|ವ:್|ವ|ಲ:್|
a|z|e:e|z|	ಅ|ಜ|ೀ|ಜ:್|
a|z|i|m|	ಅ|ಜ|ೀ|ಮ:್|
b|a|r|r|	ಬ|ಾ|ರ|್|
b:a|s|i|r|	ಬ|ಸ|ೀ|ರ:್|
f:a|t:a|h|	ಫ|ತ|ಾ|
g:a|f|o:o|r|	ಗ|ಫ|ೂ|ರ:್|
g:a|f|u|r|	ಗ|ಫ|ೂ|ರ:್|
h:a|a|k|i|m|	ಹ|ಾ|ಕ|ಿ|ಂ|
h:a|d|i|	ಹ|ದ|ೀ|
h:a|f|e:e|d|	ಹ|ಫ|ೀ|ದ:್|
h:a|q|	ಹ|ಕ:್|
h:a|s|i|b|	ಹ|ಸ|ೀ|ಬ:್|
j:a|b|b|a|r|	ಜ|ಬ:್|ಬ|ಾ|ರ:್|
k:a|b|e:e|r|	ಕ|ಬ|ೀ|ರ:್|
k:a|r|e:e|m|	ಕ|ರ|ೀ|ಂ|
k:h|a|a:l|i|q|	ಖ|ಾ|ಲ|ಿ|ಕ:್|
k:h|a:b|e:e|r|	ಖ|ಬ|ೀ|ರ:್|
m:a|a|l|i|k|	ಮ|ಾ|ಲ|ಿ|ಕ:್|
m:a|j|i|d|	ಮ|ಜ|ೀ|ದ:್|
m:a|n|n:a|a|n|	ಮ|ನ:್|ನ|ಾ|ನ:್|
m:a|t|e:e|n|	ಮ|ತ|ೀ|ನ:್|
m:a|t|i|n|	ಮ|ತ|ೀ|ನ:್|
m|u|a|i|d|	ಮ|ು|ಯ|ೆ|ದ:್|
m|u|g:h|a|n|e:e|	ಮ|ು|ಗ|ಾ|ನ|ಿ|
m|u|h:a|a|s|i|n|	ಮ|ು|ಹ|ಾ|ಸ|ಿ|ನ:್|
m|u|h:a|a|y:a|m|e:e|n|	ಮ|ು|ಹ|ಾ|ಯ|ಮ|ೀ|ನ:್|
m|u|h:a|a|y:a|m|i|n|	ಮ|ು|ಹ|ಾ|ಯ|ಮ|ೀ|ನ:್|
m|u|h:a|a|y|i|	ಮ|ು|ಹ|ಾ|ಯ|ಿ|
m|u|h:a|a|y|m|i|n|	ಮ|ು|ಹ|ಾ|ಯ|ಮ|ೀ|ನ:್|
m|u|h|a|y|i|	ಮ|ು|ಹ|ಾ|ಯ|ಿ|
m|u|i|d|	ಮ|ು|ಯ:ೀ|ದ:್|
m|u|j|e:e|b|	ಮ|ು|ಜ|ೀ|ಬ:್|
m|u|n|i|m|	ಮ|ು|ನ|ೀ|ಂ|
m|u|q|s|i|t|	ಮ|ು|ಕ:್|ಸ|ೆ|ತ:್|
m|u|s:a|w|w|i|r|	ಮ|ು|ಸ|ವ:್|ವ|ಿ|ರ:್|
m|u|t|i|	ಮ|ು|ತ|ಿ|
m|u|z|a|n|n|i|	ಮ|ು|ಜ|ಾ|ನ:್|ನ|ಿ|
q|a|d|e:e|r|	ಖ|ಾ|ದ|ಿ|ರ:್|
q:a|h|h:a|r|	ಕ|ಹ|ಾ|ರ:್|
q|a|y|y|o:o|m|	ಕ|ಯ|್|ಯ|ೂ|ಮ:್|
r:a|h|e:e|m|	ರ|ಹ|ೀ|ಂ|
r:a|h|i|m|	ರ|ಹ|ೀ|ಂ|
t:a|w|w|a|b|	ತ|ವ:್|ವ|ಾ|ಬ:್|
w:a|a|j|i|d|	ವ|ಾ|ಜ|ಿ|ದ:್|
w:a|d|u|d|	ವ|ದ|ೂ|ದ:್|
w:a|h:a|a|b|	ವ|ಹ|ಾ|ಬ:್|
w:a|h|h:a|b|	ವ|ಹ|ಾ|ಬ:್|
w:a|h|i|d|	ವ|ಹ|ೀ|ದ:್|
w:a|j|e:e|d|	ವ|ಜ|ೀ|ದ:್|
w:a|l|e:e|	ವ|ಲ|ೀ|
w:a|l|i:y|	ವ|ಲ|ೀ|
w:a|r|i|t|h|	ವ|ರ|ೀ|ತ|್|
a|b|d|u|l|l:a|h|	ಅ|ಬ:್|ದ|ು|ಲ:್|ಲ|ಾ|
a|b|d|u|r|	ಅ|ಬ:್|ದ|ು|ರ:್|
r:a|h:a|m|a|n|	ರ|ಹ|ಮ|ಾ|ನ:್|
r|a|u|f|	ರ|ವ|ೂ|ಫ:್|
a|b|d|u|s|	ಅ|ಬ:್|ದ|ು|ಸ:್|
s:a|b|o:o|r|	ಸ|ಬ|ೂ|ರ:್|
s:a|b|u|r|	ಸ|ಬ|ೂ|ರ:್|
s:a|l:a|a|m|	ಸ|ಲ|ಾ|ಂ|
s:a|m:e|e:i|	ಸ|ಮ|ೀ|
s:h|a:h|e:e|d|	ಶ|ಹ|ೀ|ದ:್|
s:h|a:k|u|r|	ಶ|ಕ|ೂ|ರ:್|
a|b|e:e|r:a|a|	ಅ|ಬ|ೀ|ರ|ಾ|
a|b|e|l|	ಏ|ಬ|ೆ|ಲ:್|
p|r|i|z|e|	ಪ:್|ರ|ೈ|ಜ|್|
a|b|e:r|d|a|r|e|	ಅ|ಬ|ೆ|ದ|ಾ|ರ|ೆ|
a|b:e|r|d|e:e|n|	ಅ|ಬ|ರ:್|ಡ|ೀ|ನ:್|
a|b:h|a|i|p|u|r|	ಅ|ಭ|ಯ|್|‌:ಪ|ು|ರ:್|
a|b:h|a|y|	ಅ|ಭ|ಯ|್|
a:b|h:a|y:a|	ಅ|ಭ|ಯ|
a|b:h|a:y|a|n:a|n|d:a|	ಅ|ಭ|ಯ|ಾ|ನ|ಂ|ದ|
a|b:h|a|y|n|a:n|d:a|	ಅ|ಭ|ಯ|್|‌:ನ|ಂ|ದ|
a|b:h|e:e|k|	ಅ|ಭ|ೀ|ಕ:್|
a|b:h|e:e|r|	ಅ|ಭ|ೀ|ರ:್|
a|b:h|i|b:h|a|v|	ಅ|ಭ|ಿ|ಭ|ಾ|ವ:್|
a|b:h|i|h|i|t|	ಅ|ಭ|ಿ|ಹ|ಿ|ತ:್|
a|b:h|i|j|a|t|y|	ಅ|ಭ|ಿ|ಜ|ಾ|ತ:್|ಯ|
a|b:h|i|j|i|t|	ಅ|ಭ|ಿ|ಜ|ಿ|ತ:್|
k|a|l|e|	ಕ|ಾ|ಳ|ೆ|
a|b:h|i|j|v:a|l:a|	ಅ|ಭ|ಿ|ಜ:್|ವ|ಲ|
a|b:h|i|j|w:a|a|l:a|	ಅ|ಭ|ಿ|ಜ:್|ವ|ಾ|ಲ|
a|b:h|i|j|w:a|a|l:a|a|	ಅ|ಭ|ಿ|ಜ:್|ವ|ಾ|ಲ|ಾ|
a|b:h|i|j|w|a|l:a|	ಅ|ಭ|ಿ|ಜ:್|ವ|ಾ|ಲ|
a|b:h|i|l:a|s:a|h:a|a|	ಅ|ಭ|ಿ|ಲ|ಾ|ಷ|ಾ|
a|b:h|i|m:a|a|n|	ಅ|ಭ|ಿ|ಮ|ಾ|ನ:್|
a|b:h|i|m:a|n|y|u|	ಅ|ಭ|ಿ|ಮ|ನ:್|ಯ|ು|
a|b:h|i|n:a|b:h|a|s|	ಅ|ಭ|ಿ|ನ|ಭ|ಾ|ಸ:್|
a|b:h|i|n:a|n|d|a|	ಅ|ಭ|ಿ|ನ|ಂ|ದ|ಾ|
a|b:h|i|n:a|n|d:a|a|	ಅ|ಭ|ಿ|ನ|ಂ|ದ|ಾ|
a|b:h|i|n:a|n|d:a|n|	ಅ|ಭ|ಿ|ನ|ಂ|ದ|ನ:್|
a|b:h|i|n:a|v|	ಅ|ಭ|ಿ|ನ|ವ:್|
a|b:h|i|r|o:o|p|	ಅ|ಭ|ಿ|ರ|ೂ|ಪ:್|
a|b:h|i|r|u|	ಅ|ಭ|ೀ|ರ|ು|
a|b:h|i|r|u|p|	ಅ|ಭ|ಿ|ರ|ೂ|ಪ|
a|b:h|i|s:h|e|k|	ಅ|ಭ|ಿ|ಷ|ೇ|ಕ:್|
a|b:h|i|s:h|o|k|	ಅ|ಭ|ಿ|ಶ|ೋ|ಕ:್|
a|b:h|i|s:h|o|k:a|	ಅ|ಭ|ಿ|ಶ|ೋ|ಕ|
a|b:h|i|s|o|k|	ಅ|ಭ|ಿ|ಶ|ೋ|ಕ:್|
a|b:h|i|s|o|k:a|	ಅ|ಭ|ಿ|ಶ|ೋ|ಕ|
a|b:h|i|s|u|m:a|t|	ಅ|ಭ|ಿ|ಸ|ು|ಮ|ತ:್|
a|b:h|i|s|y:a|n|t|	ಅ|ಭ|ಿ|ಷ:್|ಯ|ಂ|ತ:್|
a|b:h|i|s|y:a|n|t:a|	ಅ|ಭ|ಿ|ಷ:್|ಯ|ಂ|ತ|
a|b:h|r|	ಅ|ಭ|್:ರ|
a|b:h|r|a|	ಅ|ಭ|್|ರ|
a|b:h|r|a|k|a|s|i|n|	ಅ|ಭ|್|ರ|ಕ|ಾ|ಸ|ಿ|ನ:್|
a|b:h|u|r|	ಅ|ಭ|ು|ರ:್|
a|b:h|y|u|d|a|y|	ಅ|ಭ|್|ಯ:ು|ದ|ಯ|್|
a|b:h|y|u|d|i|t|a|	ಅ|ಭ|್|ಯ:ು|ದ|ಿ|ತ|ಾ|
a|b|i|n|g|t:o|n|	ಅ|ಬ|ಿ|ಂ|ಗ:್|ಟ|ನ:್|
a|b|n|u|r|	ಅ|ಬ:್|ನ|ೂ|ರ:್|
a|b|o|d|h|	ಅ|ಬ|ೋ|ಧ|್|
a|b|o|h:a|r|	ಅ|ಬ|ೋ|ಹ|ರ:್|
a|b:o|u|	ಅ|ಬ|ು|
b|e|n|	ಬ|ೆ|ನ:್|
a|d:h|e|m|	ಅ|ಧ|ೇ|ಮ:್|
a|b|r|a|d|	ಅ|ಬ:್|ರ|ಾ|ದ:್|
a|b|r|a:s|h|	ಅ|ಬ:್|ರ:ಾ|ಶ|್|
a|b|u|l|	ಅ|ಬ|ು|ಲ:್|
f:a|z:a|l|	ಫ|ಜ|ಲ:್|
a|b:u|n|d:a|n|t|	ಅ|ಬ|ಂ|ಡ|ಂ|ಟ:್|
l|i|f|e|	ಲ|ೈ|ಫ|್|
c|h|r|i|s|t|i|a|n|	ಕ|್|ರ|ಿ|ಶ:್|ಚ|ಿ|ಯ|ನ:್|
f|e|l:l|o:w|s:h|i|p|	ಫ|ೆ|ಲ|ೊ|ಶ|ಿ|ಪ:್|
a|b|y|a|d|	ಅ|ಬ:್|ಯ|ಾ|ದ:್|
a|c:c|a|l|i|a|	ಎ|ಕ|ಾ|ಲ|ಿ|ಯ:ಾ|
a|c:h|a:a|r|y:a|n:a|n|d:a|n:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|
a|c:h|a:a|r|y|n:a|n|d:a|n|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ:್|
a|c:h|a:a|r|y|n:a|n|d:a|n:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|
a|c:h|a:l|a:a|	ಅ|ಚ|ಲ|ಾ|
a|c:h|a|l|d|a|	ಅ|ಚ|ಲ|್|ಡ|ಾ|
a|c:h|a:l|e|s|h|v:a|r|	ಅ|ಚ|ಲ|ೇ|ಶ|್|ವ|ರ:್|
a|c:h|a:l|e|s|v:a|r|	ಅ|ಚ|ಲ|ೇ|ಶ:್|ವ|ರ:್|
a|c:h|a:l|e|s|v:a|r:a|	ಅ|ಚ|ಲ|ೇ|ಶ:್|ವ|ರ|
a|c:h|a:l|e|s|w:a|r:a|	ಅ|ಚ|ಲ|ೇ|ಶ:್|ವ|ರ|
a|c:h|a:l|g|a|n|j|	ಅ|ಚ|ಲ|್:‌|ಗ|ಂ|ಜ:್|
a|c:h|a:n|d|	ಅ|ಚ|ಂ|ದ:್|
a|c:h|a|r|y:a|n:a|n|d:a|n:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|ಾ|
a|c:h|a|r|y:a|s|u|t|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a|c:h|a|r|y:a|s|u|t:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a|c:h|a|r|y|n:a|n|d:a|n:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|
a|c:h|a|r|y|n:a|n|d:a|n:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|ಾ|
a|c:h|a|r|y|s|u|t|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a|c:h|a|r|y|s|u|t:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a|c|h|c:h|a|	ಅ|ಚ|್|ಛ|ಾ|
b|u|r|a|	ಬ|ು|ರ|ಾ|
a|c:h|h|n|e|r|a|	ಅ|ಚ|್|ನ|ೆ|ರ|ಾ|
j:u|n|c|t|i:o|n|	ಜ|ಂ|ಕ|್|ಷ|ನ:್|
a|c:h|i|n|d|r:a|	ಅ|ಚ|ಿ|ಂ|ದ:್|ರ|
a|c:h|i|n|t|y|	ಅ|ಚ|ಿ|ಂ|ತ:್|ಯ|
a|c:h|i|n|t|y:a|	ಅ|ಚ|ಿ|ಂ|ತ:್|ಯ|
a|c:h|y|u|t|r:a|a|y|	ಅ|ಚ|್|ಯ:ು|ತ|ರ|ಾ|ಯ|
