a:a|	ஆ|
g|u|n|d|a|r|a|j|	க|ு|ண:்|ட|ா|ர|ா|ஜ:்|
r|o|b|i|n|h|o:o|d|	ர|ா|ப|ி|ன:்|ஹ|ூ|ட:்|
a|w:a|a|z|	ஆ|வ|ா|ஸ:்|
b:a|a|t|	ப|ா|த:்|
d|u|n|i|y|a|	த|ு|ன|ி|ய|ா|
a:a|j|a|	ஆ|ஜ|ா|
m|e|r|i|	ம|ே|ர|ி|
j:a|a|n|	ஜ|ா|ன:்|
a:a|j:a|a|d|	ஆ|ஜ|ா|த:்|
a:a|j|i|n|k|y|	ஆ|ஜ|ி|ங:்|க|ி|
a:a|j|i|n|k|y|a|	ஆ|ஜ|ி|ங:்|க|ி|ய:ா|
a:a|k|a|a:s|h|	ஆ|க|ா|ஷ|்|
a:a|k|a|r|	ஆ|க|ா|ர:்|
a:a|k:a|r|s|h:a|n|	ஆ|க|ர|்|ஷ|ன:்|
a:a|k|a|s:h|a|	ஆ|க|ா|ஷ|ா|
a:a|k:h|i|r|	ஆ|க|ி|ர:்|
k|y|o|n|	க|ி|ய:ோ|ன:்|
a:a|k|h|r|i|	ஆ|க|்|ர|ி|
a|d|a|l:a|t|	அ|த|ா|ல|த:்|
b:a|a|z|i|	ப|ா|ஸ|ி|
c:h|e:e|k|h|	ச|ீ|க|்|
g|o|l|i|	க|ோ|ல|ி|
k:h|a|t|	க|ா|த:்|
r:a|a|s|t|a|	ர|ா|ஸ:்|த|ா|
a:a|k|h|w|e|	ஆ|க|்|வ|ே|
a:a|k|r|o|s|h|	ஆ|க:்|ர|ோ|ஷ|்|
a:a|l|h|a|	ஆ|ல:்|ஹ|ா|
u|d:a|l|	உ|த|ல:்|
a:a|l|i|m:a|h|	ஆ|ல|ி|ம|ா|
a:a|l|i|n|g:a|n|	ஆ|ல|ி|ங:்|க|ன:்|
a:a|l|o|k|	ஆ|ல|ோ|க:்|
a:a|m|e|r|	ஆ|ம|ீ|ர:்|
m|a|l|i|k|	ம|ா|ல|ி|க:்|
a:a|m|i|n:a|h|	ஆ|ம|ி|ன|ா|
a:a|m|i|r:a|h|	ஆ|ம|ி|ர|ா|
a:a|n|	ஆ|ன:்|
s:h|a:a|n|	ஷ|ா|ன:்|
m|i|l|o|	ம|ி|ல|ோ|
s|a|j|n|a|	ச|ா|ஜ:்|ன|ா|
a:a|n:a|n|d:a|m|a|y|e:e|	ஆ|ன|ந:்|த|ம|ா|ய|ீ|
a:a|n:a|n|d|e|e|	ஆ|ன|ந:்|த|ி|ன:ீ|
a:a|n:a|n|d|i|n|i|	ஆ|ன|ந:்|த|ி|ன|ி|
a:a|n:a|n|d|i|t|	ஆ|ன|ந:்|த|ி|த:்|
a:a|n:a|n|d|m|a|y|e:e|	ஆ|ன|ந:்|த|ம|ா|ய|ீ|
a:a|n:a|n|d|m|a|y|i|	ஆ|ன|ந:்|த|ம|ா|ய|ி|
a:a|n|c:h|a|l|	ஆ|ன|்|ச|ல:்|
a:a|n|d:h|i|	ஆ|ந:்|த|ி|
a:a|n|g:a|n|	ஆ|ன:்|க|ன:்|
k|a|l|i|	க|ா|ள|ி|
a:a|n|k:h|o|n|	ஆ|ன:்|க|ோ|ன:்|
a:n|n|k:h|o|n|	ஆ|ன:்|க|ோ|ன:்|
m|e|i|n|	ம|ெ|ய:ி|ன:்|
d|e|k|h|i|	த|ே|க|்|க:ி|
a:a|n|s|o:o|	ஆ|ன:்|ச|ூ|
b:a|n|	ப|ன:்|
g:a|y|e|	க|ய|ே|
ph|o:o|l|	ப|ூ|ல:்|
a|a|o|	ஆ|வ|ோ|
p|y|a|r|	ப:ி|ய|ா|ர:்|
k:a|r|e|n|	க|ர|ே|ன:்|
a:a|p|	ஆ|ப:்|
a|y|e|	ஆ|ய|ே|
b:a|h:a|a|r|	ப|ஹ|ா|ர:்|
a:a|y|e:e|	ஆ|ய|ி|
b|e|e|t|i|	ப|ே|ட|்:ட|ி|
p:a|r|c:h|h|a|i|y|a|n|	ப|ர:ி|ச|்|ச:ா|ய|ி|ன|்|
a:a|p|a|s|	ஆ|ப|ா|ஸ:்|
a:a|q|i|b|	ஆ|க|ு|ப:்|
j|a|v|e|d|	ஜ|ா|வ|ெ|த:்|
a:a|q|i|l|	ஆ|க|ு|ல:்|
a:a|r|	ஆ|ர:்|
p:a|a|r|	ப|ா|ர:்|
y|a|	ய|ா|
a:a|r|a|d:h|a:n|a|	ஆ|ர|ா|த|ண|ா|
a:a|r:a|m|b|h|	ஆ|ர|ம:்|ப|்|
a:a|r|i|f|	ஆ|ர|ி:ஃ|ப:்|
a:a|r|o|p|	ஆ|ர|ோ|ப:்|
a:a|r|t|i|	ஆ|ர:்|த:்|த:ி|
i|n|d:u|s|t|r|i:e|	இ|ண:்|ட|ஸ:்|ட:்|ர|ி|
a:a|s|	ஆ|ஸ:்|
p:a|a|s|	ப|ா|ஸ:்|
a:a|s:h|i|k|	ஆ|ஷ|ி|க:்|
a:a|s:h|i|r|	ஆ|ஷ|ி|ர:்|
a:a|s|i|m:a|h|	ஆ|ஸ|ி|ம|ா|
a:a|s|i|y:a|h|	ஆ|ஸ|ி|ய|ா|
a:a|s|m:a|n|	ஆ|ஸ:்|ம|ன:்|
a:a|t|i|k|	ஆ|த|ி|க:்|
a:a|t|i|k:a|h|	ஆ|த|ி|க|ா|
a:a|t|i|r:a|h|	ஆ|த|ி|ர|ா|
ph|i|r|	ஃ:ப|ி|ர:்|
b:a|h|a|r|	ப|ஹ|ா|ர:்|
a:a|y|e|g|a|	ஆ|ய|ே|க|ே|
a:a|n|e|w|a|l|a|	ஆ|ன|ீ|வ|ா|ல|ா|
a:a|y|i|	ஆ|ய|ி|
y:a|a|d|	ய|ா|த:்|
t|e|r|i|	த|ே|ர|ி|
a|a:y|u|s|h|	அ|ய|்|ஷ|ா|
a:a|y|u|s:h|m|a|n|	ஆ|ய|ு|ஷ|்:ம|ா|ன:்|
a:a|z|i|m|	ஆ|ச|ி|ம:்|
a|b|	அ|ப:்|
i|n|s|a|f|	இ|ன:்|ச|ா:ஃ|ப:்|
h|o|g|a|	ஹ|ோ|க|ா|
t|o|	த|ோ|
j|e:e|n|e|	ஜ|ீ|ன|ே|
a|b|b:a|a|s|e:e|	அ|ப:்|ப|ா|ஸ|ீ|
a|b|b:a|a|s|i|	அ|ப:்|ப|ா|ஸ|ி|
a|b|b|a|s|i|	அ|ப:்|ப|ா|ஸ|ி|
a|b|d|n:a|n|	அ|ப:்|த:்|ன|ன:்|
a|b|d|u|h|	அ|ப:்|த|ு|ஸ:்|
s:h|a:a|h|i|d|	ஷ|ா|ஹ|ி|த:்|
s:h|a|h|i|d|	ஷ|ா|ஹ|ி|த:்|
a|b|d|u|l|	அ|ப:்|த|ு|ல:்|
a|d|l|	அ|த:்|ல:்|
a|l|e:e|m|	அ|ல|ீ|ம:்|
a|l|i|	அ|ல|ி|
b:a|a|q|e:e|	ப|ா|க|ீ|
b:a|a|q|i|	ப|ா|க|ி|
b:a|a|s|i|t|	ப|ா|ச|ி|த:்|
b:a|r|r|	ப|ா|ர:்|
g|a|f|f|a|r|	க|ா|ஃ|ப:ா|ர|்|
g|a|n|e:e|	க|ா|ன|ீ|
h|a|d|i|	ஹ|ா|த|ி|
h|a|f|e:e|d|	ஹ|ா|ஃ:ப|ீ|த:்|
h|a|f|i|d|	ஹ|ா|ஃ:ப|ி|த:்|
h:a|k|i|m|	ஹ|க|ி|ம:்|
h:a|y|y|	ய|ே|ய:்|
j:a|b|b:a|a|r|	ஜ|ப:்|ப|ா|ர:்|
k:h|a:a|l|i|q|	க|ா|ல|ி|க:்|
k:h|a|b|e:e|r|	க|ா|ப|ீ|ர:்|
k:h|a|b|i|r|	க|ா|ப|ி|ர:்|
m:a|a|j|i|d|	ம|ா|ஜ|ி|த:்|
m:a|n|i|	ம|ன|ி|
m:a|n|n:a|a|n|	ம|ன:்|ன|ா|ன:்|
m:a|n|n:a|n|	ம|ன:்|ன|ன:்|
m|u|a|i|d|	ம|ு|வ|ே|த:்|
m|u:e|e|d|	ம|ு|ய:ூ|த:்|
m|u|g:h|a|a:n|e:e|	ம|ு|க|ா|ன|ீ|
m|u|h:a|a|s|i|n|	ம|ு|ஹ|ா|ச|ி|ன:்|
m|u|h:a|a|y|m|e:e|n|	ம|ு|ஹ|ா|ய:்|ம|ி|ன:்|
m|u|h:a|s|i|n|	ம|ு|ஹ|ச|ி|ன:்|
m|u|h:a|y:a|m|e:e|n|	ம|ு|ஹ|ய|ம|ீ|ன:்|
m|u|h|a|y|m|e:e|n|	ம|ு|ஹ|ா|ய:்|ம|ீ|ன:்|
m|u|h|a|y|m|i|n|	ம|ு|ஹ|ா|ய:்|ம|ி|ன:்|
m|u|j|i|b|	ம|ு|ஜ|ி|ப:்|
m|u|n|e:e|m|	ம|ு|ன|ீ|ம:்|
m|u|q|i|t|	ம|ு|க:்|க:ி|த:்|
m|u|q|s|i|t|	ம|ு|க:்|ச|ி|த:்|
m|u|z|a|n:n|i|	ம|ு|ஸ|ா|ன|ி|
n|a|f|e:e|	ந|ா|ஃ:ப|ீ|
n|a|f|i|	ந|ா|ஃ:ப|ி|
n|a|s|i|r|	ந|ா|ஸ|ி|ர:்|
n|u|r|	ந|ு|ர:்|
q|a|d|i|r|	க|ா|த|ி|ர:்|
j|i|l|a|n|i|	ஜ|ி|ல|ா|ன|ி|
q:a|h|h:a|r|	க|ஹ:்|ஹ|ர:்|
r|a|b|b|	ர|ா|ப|்|
r|a|f|i|	ர|ா|ஃ:ப|ி|
r|a|h|i|m|	ர|ா|ஹ|ி|ம:்|
r|a|q|e:e|b|	ர|ா|க|ீ|ப:்|
r|a|q|i|b|	ர|ா|க|ி|ப:்|
r:a|z:z|a|q|	ர|ச|ா|க:்|
t|a|w|w:a|a|b|	த|ா|வ:்|வ|ா|ப:்|
t|a|w|w|a|b|	த|ா|வ:்|வ|ா|ப:்|
w:a|a|j|i|d|	வ|ா|ஜ|ி|த:்|
w|a|d|o:o|d|	வ|ா|த|ூ|த:்|
w|a|h:a|a|b|	வ|ா|ஹ|ா|ப:்|
w|a|h:a|b|	வ|ா|ஹ|ப:்|
w|a|h|h:a|a|b|	வ|ா|ஹ:்|ஹ|ா|ப:்|
w|a|h|h:a|b|	வ|ா|ஹ:்|ஹ|ப:்|
w|a|j|e:e|d|	வ|ா|ஜ|ீ|த:்|
w|a|j|i|d|	வ|ா|ஜ|ி|த:்|
w|a|l|i|	வ|ா|ல|ி|
z|a|l|e:e|l|	ஸ|ா|ல|ீ|ல:்|
z|a|l|i|l|	ஸ|ா|ல|ி|ல:்|
a|b|d|u|l|l:a|h|	அ|ப:்|த|ு|ல:்|ல|ா|
f|a|i|z|i|	ஃ:ப|்:ப|ை|ஸ|ி|
a|d|	அ|த:்|
d|a|g:h|e|s|t|a|n|i|	ட|ா|க|ெ|ஸ:்|த|ா|ன|ி|
a|b|d|u|r|	அ|ப:்|த|ு|ர:்|
r:a|h|e:e|m|	ர|ஹ|ீ|ம:்|
r:a|h|m|a|n|	ர|ஹ:்|ம|ா|ன:்|
r:a|u|f|	ர|ௌ:ஃ|ப:்|
r|a|z|z|a|k|	ர|ா|ஸ:்|ஸ|ா|க:்|
a|b|d|u|s|	அ|ப:்|த|ு|ஸ:்|
s|a|b|o:o|r|	ச|ா|ப|ூ|ர:்|
s|a|b|u|r|	ச|ா|ப|ு|ர:்|
s:a|m|i|	ச|ம|ி|
s:a|t|t:a|a|r|	ச|த:்|த|ா|ர:்|
s:a|t|t:a|r|	ச|த:்|த|ர:்|
s:h|a|f|e:e|	ஷ|ா|ஃ:ப|ீ|
s:h|a|k|o:o|r|	ஷ|ா|க|ூ|ர:்|
s|u|b|b:o|o:h|	ச|ு|ப:்|ப|ூ|
a|b|e:e|d:a|h|	அ|ப|ீ|த|ா|
a|b|e|r|d|e:e|n|	அ|ப|ெ|ர:்|ட|ீ|ன:்|
a|b|e:y|	அ|ப|ே|
k|u|r|u|v|i|l|l|a|	க|ு|ர|ு|வ|ி|ல:்|ல|ா|
a|b:h|a|	அ|ப|ா|
a|b:h|a:y|a|n:a|n|d|a|	அ|ப|ய|ா|ன|ந:்|த|ா|
a|b:h|a:y|a|p|r|a|d|	அ|ப|ய|ா|ப:ி|ர|ா|த:்|
a|b:h|i|	அ|ப|ி|
a|b:h|i|c:h|a:n|d|r|	அ|ப|ி|ச|ந|்:த|ர:்|
a|b:h|i|h|i|t|	அ|ப|ி|ஹ|ி|த:்|
a|b:h|i|j:a|a|t|y|	அ|ப|ி|ஜ|ா|த|ி|
a|b:h|i|j:a|y|	அ|ப|ி|ஜ|ய:்|
a|b:h|i|j|e:e|t|	அ|ப|ி|ஜ|ீ|த:்|
a|b:h|i|j|i|t|	அ|ப|ி|ஜ|ி|த:்|
k|a|l|e|	க|ே|ல|்|
a|b:h|i|j|v:a|a|l:a|a|	அ|ப|ி|ஜ:்|வ|ா|ல|ா|
a|b:h|i|j|w:a|l:a|a|	அ|ப|ி|ஜ:்|வ|ல|ா|
a|b|h|i|k|	அ|ப:ி|ஹ|ி|க:்|
a|b:h|i|l|a|a:s|h|	அ|ப|ி|ல|ா|ஷ|்|
a|b:h|i|l|a|s:h|a:a|	அ|ப|ி|ல|ா|ஷ|ா|
a|b:h|i|m|	அ|ப|ி|ம:்|
a|b:h|i|m:a|n|y|u|s|u|t|	அ|ப|ி|ம|ன:்|ய|ூ|ச|ு|த:்|
a|b:h|i|m|o|d|	அ|ப|ி|ம|ோ|த:்|
a|b:h|i|m|o|d|a|	அ|ப|ி|ம|ோ|த|ா|
a|b:h|i|n:a|a|t|h|	அ|ப|ி|ன|ா|த|்|
a|b:h|i|n|a|b:h|a:a|s|	அ|ப|ி|ன|ா|ப|ா|ஸ:்|
a|b:h|i|n|a|n|d|a|	அ|ப|ி|ன|ா|ன:்|த|ா|
a|b:h|i|n|a|n|d:a|a|	அ|ப|ி|ன|ா|ன:்|த|ா|
a|b:h|i|n|a|t|h|	அ|ப|ி|ன|ா|த|்|
a|b|h|i|r|	அ|ப:ி|ஹ|ி|ர:்|
a|b:h|i|r|a|m|	அ|ப|ி|ர|ா|ம:்|
a|b:h|i|r|u|p|	அ|ப|ி|ர|ு|ப:்|
a|b:h|i|v|e:e|r|	அ|ப|ி|வ|ீ|ர:்|
a|b:h|i|v|i|r|	அ|ப|ி|வ|ி|ர:்|
a|b|h|r|	அ|ப:்|ஹ:்|ர:்|
a|b:h|y|u|d|i|t|a|	அ|ப|ி|ய:ு|த|ி|த|ா|
a|b|i|d|	அ|ப|ி|த:்|
a|b|i|d:a|h|	அ|ப|ி|த|ா|
a|b|i|g|a|i|l|	அ|ப|ி|க|ெ:ய|ி|ல:்|
v|a|n|	வ|ா|ன:்|
d|i|k|e|	ட|ை|க|்|
a|b|i|n:g|t|o|n|	அ|ப|ி|ங|்|ட|ன:்|
a|b|i|s:s|o|	அ|ப|ி|ஸ|ோ|
a|b|r|i|	அ|ப:்|ர|ி|
a|b|j:a|y|o|n|i|	அ|ப:்|ர|ய|ோ|ன|ி|
a|b|j|i|n:i|p|a|t|i|	அ|ப:்|ஜ|ி|ன|்:ப|ட:்|ட|ி|
a|b|o|d|h|	அ|ப|ோ|த|்|
a|b:o|u|	அ|ப|ூ|
b|e|n|	ப|ெ|ன:்|
a|d:h|e|m|	அ|த|ெ|ம:்|
a|b|q|u|r:a|h|	அ|ப:்|க|ு|ர|ா|
a|b|r:a|r|	அ|ப:்|ர|ர:்|
a|b|r|i|l|	எ|ப:்|ர|ி|ல:்|
a|b|r|o|l|h|o|s|	அ|ப:்|ர|ோ|ல:்|ஹ|ோ|ஸ:்|
m|a:r|i|n|e|	ம:ெ|ர|ை|ன|்|
a|b|s:a|r|o|k|a|	அ|ப:்|ச|ர|ோ|க|ோ|
a|b|s|i|	அ|ப:்|ஸ|ி|
a|b:u|n|d:a|n|t|	அ|ப|ண:்|ட|ண:்|ட:்|
l|i|f|e|	ல|ை|ப|்|
c|h:r|i|s|t|i|a|n|	க:ி|ற|ி|ஸ:்|ட|ி|ய|ன:்|
f|e|l:l|o:w|s:h|i|p|	ப:ெ|ல:்|ல|ோ|ஷ|ி|ப:்|
a|b|z|a|r|i|	அ|ப:்|ஸ|ா|ர|ி|
a|c|a|r|y|a|t:a|n|a|y|a|	அ|க:ா|ர|்|ய|ா|த|ன|ா|ய|ா|
a|c|c|i|d|e|n|t|	ஆ|க:்|ச|ி|ட|ெ|ண:்|ட:்|
a|c:h|a:a|r|y|n|a|n|d:a|n|	ஆ|ச|ா|ர:்|ய|ன|ா|ன:்|த|ன:்|
a|c:h|a:a|r|y|n|a|n|d:a|n:a|a|	ஆ|ச|ா|ர:்|ய:ா|ன|ா|ன:்|த|ன|ா|
a|c:h|a|l|	அ|ச|்:ச|ல:்|
a|c:h|a|l|a|p:a|t|i|	அ|ச|்:ச|ல|ா|ப|த|ி|
a|c:h|a|l|d|a|	அ|ச|ா|ல:்|ட|ா|
a|c:h|a|l|e|n|d|r|a|	அ|ச|்:ச|ல|ே|ந:்|த:ி|ர|ா|
a|c:h|a:l|g|a|n|j|	அ|ச|ல|்|க|ஞ:்|ச:்|
a|c|h|a|n:a|k|	அ|ச|்|ச:ா|ன|க:்|
a|c|h|a:n|d|	அ|ச|ந|்|த:்|
a|c:h|a|r|y|a|	அ|ச|ா|ர:்|ய|ா|
a|c:h|a|r|y|a|n|a|n|d:a|n|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன:்|
a|c:h|a|r|y|a|n|a|n|d:a|n|a|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன|ா|
a|c:h|a|r|y|a|s|u|t|a|	ஆ|ச|ா|ர:்|ய|ா|ச|ு|த|ா|
a|c:h|a|r|y|a|s|u|t:a|a|	ஆ|ச|ா|ர:்|ய|ா|ச|ு|த|ா|
a|c:h|a|r|y|n|a|n|d:a|n|a|	ஆ|ச|ா|ர:்|ய|ன|ா|ன:்|த|ன|ா|
a|c:h|a|r|y|s|u|t|a|	ஆ|ச|ா|ர:்|ய:ா|ச|ு|த|ா|
a|c|h|c:h|a|j|i|	அ|ச|்|ச|ா|ஜ|ி|
a|c|h|i|l:l|e|	அ|ச|்|ச:ி|ல|்|
l:a|u|r|o|	ல|ா|ர|ோ|
a|c|h|i|n|t|y|a|	அ|ச|்|ச:ி|ன:்|ட:ி|ய|ா|
a|c|h|y|u|t|	அ|ச|்|ச:ி|ய:ு|த:்|
a|c:k|l|a|n|d|	ஆ|க|்:ல|ா|ண:்|ட:்|
a|r|t|	ஆ|ர:்|ட:்|
m|u|s|e|u|m|	ம:ி|ய:ூ|ஸ|ி|ய|ம:்|
a|c|r|o|p|o|l|i|s|	ஆ|க:்|ர|ோ|ப|ோ|ல|ி|ஸ:்|
a|c|t:o|r|	ஆ|க:்|ட|ர:்|
a|d:a|a|	அ|த|ா|
a|d|a|i|r|	அ|ட|ை|ய:்|ர:்|
a|d:a|l:a|r:a|s|u|	ஆ|ட|ல|ர|ச|ு|
a|d:a|l|r:a|s|u|	ஆ|ட|ல|ர|ச|ு|
a|d:a|m|	அ|த|ம:்|
d|a|l|e|	ட|ே|ல|்|
a|d:a|r|s:h|a|	ஆ|த|ர:்|ஷ|ி|
a|d:a|r|s|h|n:a|g:a|r|	ஆ|த|ர:்|ஷ|்|ந|க|ர:்|
a|d|a|w|i|	அ|ட|ா|வ|ி|
a:d|b|u|l|	அ|ப:்|த:ு|ல:்|
q|a|w|i|	க:ு|வ|ா|ய:ி|
a|d:d|i|s|	அ|த|ி|ஸ:்|
a|b|a|b:a|	அ|ப|ே|ப|
a|d|e|c|c|o|	அ|ட|ெ|க:்|க|ோ|
a|d|e:e|l|	அ|த|ீ|ல:்|
a|d|e|l|e|	அ|ட|ெ|ல|்|
a|d|e|l|i:e|	அ|ட|ெ|ல|ி|
a|d|e|l|i|n|e|	அ|ட|ெ|ல|ி|ன|்|
a|d|e|l|ph|i|	அ|ட|ெ|ல:்|ப|ி|
a|d|e|r|y|n|	அ|ட|ெ|ர|ி|ன:்|
a|d:h|e:e|r|	அ|த|ீ|ர:்|
a|d:h|e:e|r|a|	அ|த|ீ|ர|ா|
a|d:h|i|k|a|r|	அ|த|ி|க|ா|ர:்|
a|d:h|i|p|	அ|த|ி|ப:்|
a|d:h|i|t|	அ|த|ி|த:்|
a|d:h|i|w|a|r|	அ|த|ி|வ|ா|ர:்|
a|d|h|r|i|t|	அ|த|்|ர|ி|த:்|
a|d:h|u|r|i|	அ|த|ு|ர|ி|
k:a|h|a|n|i|	க|ஹ|ா|ன|ி|
a|d|i|b|	அ|த|ி|ப:்|
a|d|i|d|a|s|	அ|ட|ி|ட|ா|ஸ:்|
a|d|i:e|	ஆ|ட|ி|
a|d|i|k:a|v|i|	அ|த|ி|க|வ|ி|
a|d|i|l|a|k:s|h|m:a|n|	ஆ|த|ி|ல|க:்|ஷ|்|ம|ன:்|
a|d|i|n:a|a|t|h|	அ|த|ி|ன|ா|த|்|
a|d|i|n|a|t|h|	அ|த|ி|ன|ா|த|்|
a|d|i|r|o|n|d|a|c|k|	அ|ட|ி|ர|ோ|ன:்|ட|ா|க|்|
a|d|i:s|h:a|n|k:a|r|	ஆ|த|ி|ஷ|ங:்|க|ர:்|
a|d|i|s|h|r|e:e|	ஆ|த|ி|ஸ|்|ர|ீ|
a|d|i|s|h:v|a|r|	அ|த|ி|ஷ:்|வ|ர|்|
a|d|i|t|i|	அ|த|ி|த:்|த:ி|
a|d|i|t|p|a|r|a|	ஆ|த|ி|த:்|ப|ா|ர|ா|
a|d|i|t|y:a|a|	அ|த|ி|த:்|ய|ா|
a|d|i|t|y|a|k:e|s|h:a|v|	ஆ|த|ி|த:்|ய|ா|க|ே|ஷ|வ:்|
a|d|i|t|y|a|n:a|n|d:a|n|	ஆ|த|ி|த:்|ய|ா|ன|ன:்|த|ன:்|
a|d|n:a|a|n|	ஆ|ட:்|ன|ா|ன:்|
a|d|o|l|ph|	அ|ட|ா|ல:்|ப:்|
a|d|o|n|i|a|	அ|ட|ோ|ன|ி|ய:ா|
a|d|o|n|i|s|	அ|ட|ோ|ன|ி|ஸ:்|
a|d|r|i|a|n|o|	அ|ட:்|ர|ி|ய:ா|ன|ோ|
a|d|r|i|e|n|n|e|	அ|ட:்|ர|ி|ய|ா|ன|்|
a|d|u|t|u|r|a|i|	அ|த|ு|ட|ு|ர|ா|ய:்|
a|d|u|z|	அ|த|ூ|ஸ:்|
z|a|h|i|r|	ஸ|ா|ஹ|ி|ர:்|
