a|	এ|
a|b:h:i|s:h|e|k|	অ|ভ:ি|ষ|ে|ক|
a|b:h|r|a|	অ|ভ|্|র|
a|b:h|y:a|n|k:a|r|	অ|ভ|য়|ঙ:্|ক|র|
a|b|i|d|	আ|ব|ি|দ|
a|b|i|d|a|b|i|b|i|	আ|ব|ি|দ|া|ব|ি|ব|ি|
a|b|i|g|a|i|l|	আ|ব|ি|গ|া|ই|ল|
a|b|i|l|a|s|	অ|ব|ি|ল|া|স|
a|b|i:n:g|t:o:n|	আ|ব|ি:ং|ট:ন|
a|b|i|r|a|	আ|ব|ি|র|া|
a|b|i|s:s|o|	আ|ব|ি|স|ো|
a|b|o|	আ|ব|ো|
a|b|o|h|a|r|	অ|ব|ো|হ|া|র|
a|b|o|l|k:h|e:i:r|	আ|ব|ু|ল|খ|ে:র|
a|b:o|u|	আ|ব|ু|
a|b|r|i|	আ|ব|র|ি|
a|b|r|o|l|h|o|s|	অ:্|য:া|ব:্|র:ো|ল|হ|ো|স|
a|b|s|a|r|o|k|a|	আ|ব|স|া|র|ো|ক|া|
a|b|u|	আ|ব|ু|
a|b|u|b|a|k|k|a|r|	আ|ব|ু|ব|া|ক:্|ক|া|র|
a|b|u|k|a|l|a|m|	আ|ব|ু|ক|া|ল|া|ম|
a|b|u|l|	আ|ব|ু|ল|
a|b|u|l|	আ|ব:্|দ:ু|ল|
a|b|u|l|b|a|s|a|r|	আ|ব|ু|ল|ব|া|স|া|র|
a|b|u|l|h|o|s|e|n|	আ|ব|ু|ল|হ|ো|স|ে|ন|
a|b|u|l|k|a|d|e|r|	আ|ব|ু|ল|ক|া|দ|ে|র|
a|b|u|l|k|a|m|a|l|	আ|ব|ু|ল|ক|া|ম|া|ল|
a|b|u|n|d|a|n|t|	আ|ব|ু|ন|ড|া|ন:্|ট|
a|b|u|s|a:e:i|d|	আ|ব|ু|স|ৈ:য়|দ|
a|b:y:s|s|i|n|i|a|	আ|ব:ি|স|ি|ন|ি|য়:া|
a|b|z|u|g|	আ|ব|জ|া|গ|
a|c|c:o:m|m|o|d:a|t:i:o|n|	অ:্|য:া|ক:ো|ম|ো|ড|ে:শ|া:ন|
a|c:h:a|l|a|	অ|চ|ল|া|
a|c:h:a|l|d|a|	অ|চ|ল|দ|া|
a|c:h:a|l|p|u|r|	অ|চ|ল|প|ু|র|
a|c:h:a|m|a|b|i|b|i|	আ|চ:ে|ম|া|ব|ি|ব|ি|
a|c:h:a|r|y:a|	আ|চ:া|র:্|য|
a|c:h:h|n|e|r:a|	আ|ছ|ন|ে|র|
a|c:h:i|l:l:e|	আ|চ:ি|ল:ে|
a|c:h:i|n|	অ|চ:ী|ন|
a|c:h|r|a|	আ|চ|র|া|
a|c:k|l|a|n|d|	আ|ক|ল:্|য:া|ন:্|ড|
a|c|r|e|s|	অ:্|য:া|ক:র|ে|স|
a|c|r|o|p|o|l|i|s|	অ|ক|র|ো|প|ো|ল|ি|স|
a|c|t|i|n|i|u|m|	অ:্|য:া|ক:ট|ি|ন|ি|য়:া|ম|
a|c|t|i|v|i|t|y|	অ:্|য:া|ক:ট|ি|ভ|ি|ট|ি|
a|c|t|u|n|	অ:্|য:া|ক:ট|ু|ন|
a|d|a:i:r|	আ|দ|ে:র|
a|d|a|i|t:a|c:h:a|r:a|n|	অ|দ|্:ব|ৈ|ত|চ|র|ন|
a|d|a|m|	আ|ড|া|ম|
a|d|a|m|	আ|দ|া|ম|
a|d|a|m|s|	আ|ড:্|য:া|ম|স|
a|d|a|n|i|	আ|দ|া|ন|ী|
a|d:a|r|i|	আ|দ|র|ি|
a|d:a|r|s:h|n:a|g:a|r|	আ|দ|র:্|শ|ন|গ|র|
a|d:a|s|	আ|দ|শ|
a|d|a|w|i|y:a|	আ|দ|া|য়|ি|ত|
a|d|d|a|n|	আ|দ:্|দ|া|ন|
a|d|d|i|s|	আ|দ:্|দ|ি|স|
a|d|d|i|s:o:n|	অ:্|য:া|ড|ি|স:ন|
a|d|e|c:c:o|	অ:্|য:া|ড:ে|ক:ো|
a|d|e|s:a|r|	অ|দ|ে|শ|র|
a|d|g:a|o|n|	আ|দ|গ|া|ঁ:ও|
a|d:h:a|s:h|k|u|m|a|r|	অ|ধ:ে|শ|ক|ু|ম|া|র|
a|d:h:e|m|	আ|ধ:ে|ম|
a|d:h:i|k|a|r|i|	অ|ধ:ি|ক|া|র|ী|
a|d:h:i|r|c:h:a|n|d|r:a|	অ|ধ:ী|র|চ|ন:্|দ:্|র|
a|d:h:i|r|k|u|m|a|r|	অ|ধ:ী|র|ক|ু|ম|া|র|
a|d:h:i|r|r:a|n|j:a|n|	অ|ধ:ী|র|র|ঞ:্|জ|ন|
a|d|i|d|a|s|	অ:্|য:া|ড:ি|ড|া|স|
a|d|i|r|o|n|d|a|c:k|	আ|দ|ি|র|ো|ন:্|দ|া|ক|
a|d|i|t|p|a|r|a|	আ|দ|ি|ৎ|প|া|র|া|
a|d|i|t|y:a|	আ|দ|ি|ত:্|য|
a|d|i|t|y:a|p|u|r|	আ|দ|ি|ত:্|ত|প|ু|র|
a|d|l|a|b|s|	অ:্|য:া|ড:ল|্:য|া:ব|স|
a|d|m|i|r|a|l|	অ:্|য:া|ড:ি|ম:ি|র|া|ল|
a|d|m|i|r|a|l|t|y|	অ:্|য:া|ড:ম|ি|র|া|ল|্:ট|ি|
a|d|o|l|f|	অ|্|য:া|ড:ল|ফ|
a|d|r|i|a:n|	আ|ড:্|র|ি|ন|
a|d|r|i|a|t|i|c|	অ:্|য:া|ড:্|র:ি|য়:া|ট|ি|ক|
a|d:u:r|i|	আ|দ:ু|র:ী|
a|d:u:r|i|b|a|l|a|	আ|দ:ু|র:ী|ব|া|ল|া|
a|d|v|e|n|t|	অ:্|য:া|ড:ভ|ে|ন:্|ট|
a|e|g|e|a:n|	এ|ই|গ|ে|ন|
a|e|g|e|a|n|	এ|ই|জ|ি:য়|া|ন|
a|e|o|n|	অ:্|য:া|ও|ন|
a|e:r:o|b|i|c|s|	আ|র:ো|ব|ি|ক:্|স|
a|e|t|n|a|	অ:্|য:া|ট|ন|া|
a|f|a|f|u|r|a|	আ|ফ|া|ফ|ু|র|া|
a|f:f|r|i|q:u:e|	আ|ফ|্:র|ি|ক:ে|
a|f|g:h|a|n|i|	আ|ফ|গ|া|ন|ি|
a|f|g:h|a|n|i|s|t|a|n|	আ|ফ|গ|া|ন|ি|স:্|ত|া|ন|
a|f|j:a|l|	আ|ফ|জ|ল|
a|f|r|i|c|a|	আ|ফ:্|র|ি|ক|া|
a|f|r|i|c|a|n|	আ|ফ:্|র|ি|ক|া|ন|
a|f|r|i|d|i|	আ|ফ:্|র|ি|দ|ি|
a|f|r|o|j|	আ|ফ|র|ো|জ|
a|f|r|o|j|a|	আ|ফ|র|ো|জ|া|
a|f|s|a|n|a|	অ|ফ|স|া|ন|া|
a|f|s|a|r|	আ|ফ|স|া|র|
a|f|s|a|r|i|	আ|ফ|স|া|র|ী|
a|f|t|a|b|	আ|ফ|ত|া|ব|
a|f|t|e|k|	অ:্|য:া|ফ:ট|ে|ক|
a|f|z:a|a|l|	আ|ফ|জ|া|ল|
a|g|a:i:n|s|t|	এ|গ|ে:ন|্:স|ট|
a|g|a|m|e|m:n:o|n|	আ|গ|া|ম|ে|ম:ো|ন|
a|g:a|r|k|a|r|	অ|গ|র|ক|া|র|
a|g:a|r|k:a|r|	আ|গ|র|ক|র|
a|g|a|s|	আ|গ|া|স|
a|g|a|s|o|d|	আ|গ|া|স|ো|দ|
a|g|a|t|o|n|	আ|গ|া|ট|ো|ন|
a|g:h|w|a|n|p|u|r|	আ|গ|া:ও|য:া|ন|প|ু|র|
a|g|i|n|c:o:u|r|t|	আ|গ|ি|ন|ক:ো|র:্|ট|
a|g|n:e:w|	এ|গ|ন:ে|
a|g|r|a|	আ|গ:্|র|া|
a:g|r|a|	আ|র:্|গ:া|
a|g|r:a|d|o:o:t|	অ|গ:্|র|দ|ূ:ত|
a|g|r:a|w|a|l|	আ|গ|র|ও|য়:া|ল|
a|g|r|i|c|u:l|t|u|r|a|l|	এ|গ|র|ি|ক:া|ল|চ|া|র:্|য:া|ল|
a|g|r|i|c|u|l|t:u|r:a:l|	এ|গ|র|ি|ক:্|য:া|ল|চ|া:র|
a|g|r|i|t|e:c:h|	এ|গ|র|ি|ট|ে:ক|
a|g|r|o|i|a|	আ|গ|র|ো|ই|য়:া|
a|h:a|m:a|d|	আ|হ|ম|দ|
a|h:a|m:a|d|i|	আ|হ|ম|দ|ি|
a|h:a|m|e|d|	আ|হ|ম|ে|দ|
a|h:a|m|m:a|d|a|l|i|	আ|হ|ম:্|ম|দ|আ|ল|ি|
a|h:a|n|a|	অ|হ|ন|া|
a|h|a|n|g|a|m|a|	আ|হ|া|ঙ:্|গ|া|ম|া|
a|h|a|n|n|a|n|	আ:ঃ|হ|া|ন:্|ন|া|ন|
a|h|e|m|a|b|i|b|i|	আ|হ|ে|ম|া|ব|ি|ব|ি|
a|h|i|n|d|r:a|	অ|হ|ী|ন:্|দ:্|র|
a:h:i|u|l|l|a|	অ:ল|ি:উ|ল:্|ল|া:হ|
a|h|m|a|d|	আ|হ|ন:্|ম|দ|
a|h|m|a|d|g|a:r:h|	আ|হ|ম|া|দ|গ|ড়|
a|h|m|a|d|n:a|g:a|r|	আ|হ|ম|া|দ|ন|গ|র|
a|h|m|a|d|p|u|r|	আ|হ|ম|া|দ|প|ু|র|
a|h|m|e|d|	আ|হ|ম|ে|দ|
a|h|m|e|d:a|b|a|d|	আ|হ|ম|ে|দ|ব|া|দ|
a|h|m|e|d|n:a|g:a|r|	আ|হ|ম|ে|দ|ন|গ|র|
a|h|o|b|i|l|a|m|	অ|হ|ো|ব|ি|ল|া|ম|
a|i|b:h:i|	আ|ই|ভ:ি|
a|i|d|	অ:্|য:া|ড|
a|i|k|y|a|	আ|ই|ক|ও|া|
a|i|n|a|l|	আ|ই|ন|া|ল|
a:i|n|d|r:a|l|a|	ঐ|ন:্|দ:্|র|ি:ল|া|
a|i|n|u|l|	আ|ই|ন|ু|ল|
a|i|n|u|l|h:a|k|	আ|ই|ন|ু|ল|হ|ক|
a|i|r|	এ|য়:া|র|
a|i|r|c:o|n|	এ|য়:া|র|ক|ন|
a|i|r:e|	এ|য়:া|র|
a|i|r|e:s|	এ|য়:া|র:্|স|
a|i|r|l|i|n:e|s|	এ|য়:া|র|ল|া:ই|ন|স|
a|i|r|m|a|n|s|	এ|য়:া|র|ম:্|য:া|ন|স|
a|i|r|w|a:y|s|	এ|য়:া|র|ও:য়|ে|জ|
a|i|s:h|b|a|g:h|	আ|ই|স|ব|া|গ|
a|i|t|	আ|ই|ত|
a|i|t|h|a|l|	আ|ই|ত|হ|া|ল|
a|j:a|a|d|	আ|জ|া|দ|
a|j|a|d|a|l|i|	আ|জ|া|দ|আ|ল|ি|
a|j|a|d|h|o|s|e|n|	আ|জ|া|দ|হ|ো|স|ে|ন|
a|j|a|h|a|r|a|l|i|	আ|জ|া|হ|া|র|আ|ল|ি|
a|j:a|n|t|a|	অ|জ|ন:্|ত|া|
a|j:a|n|t|i|	অ|জ|ন|ত|ি|
a|j:a|r|a|k|a|	আ|জ|র|া|ক|া|
a|j:a|y|	অ|জ|য়|
a|j|e|d|	আ|জ|ে|দ|
a|j|h|a|i|	অ|জ|হ|া|ই|
a|j|i|d|	আ|জ|ি|দ|
a|j|i|f|a|	আ|জ|ি|ফ|া|
a|j|i|j|	আ|জ|ি|জ|
a|j|i|j|a|	আ|জ|ি|জ|া|
a|j|i|j|u|l|h:a|k|	আ|জ|ি|জ|ু|ল|হ|ক|
a|j|i|m|	আ|জ|ি|ম|
a|j|i|m|a|	আ|জ|ি|ম|া|
a|j|i|m|a|b|e|g:a|m|	আ|জ|ি|ম|া|ব|ে|গ|ম|
a|j|i|m|u|d|d|i|n|	আ|জ|ি|ম|ু|দ:্|দ|ি|ন|
a|j|i|r|	আ|জ|ি|র|
a|j|i|t|	অ|জ|ি|ত|
a|j|i|t|e:s:h|	অ|জ|ি|ত|ে:শ|
a|j|i|t|k|u|m|a|r|	অ|জ|ি|ত|ক|ু|ম|া|র|
a|j|m|a|	আ|জ|ম|া|
a|j|m|a|b|i|b|i|	আ|জ|ম|া|ব|ি|ব|ি|
a|j|m:a|l|	আ|জ|ম|ল|
a|j|m|a|n|i|	অ|জ|ম|া|ন|ি|
a|j|m:a|t|	আ|জ|ম|ত|
a|j|m:a|t|a|l|i|	আ|জ|ম|ত|আ|ল|ি|
a|j|m:a|t|u|l|l|a|	আ|জ|ম|ত|ু|ল:্|ল|া|
a|j|m|e|r|	আ|জ|ম|ি|র|
a|j|m|i|r|a|	আ|জ|ম|ি|র|া|
a|j|m|i|r|a|b|e|g:a|m|	আ|জ|ম|ী|র|া|ব|ে|গ|ম|
a|j|m|i|r|a|b|i|b|i|	আ|জ|ম|ী|র|া|ব|ি|ব|ি|
a|j|m|u|d|d|i|n|	আ|জ|ম|ু|দ:্|দ|ি|ন|
a|j|m|u|l|l|a|	আ|জ|ম|ু|ল:্|ল|া|
a|j:o:y|c:h:a|n|d|r:a|	অ|জ:য|চ|ন:্|দ:্|র|
a|j|u|l|	আ|জ|ু|ল|
a|j|u|s|c|o|	আ|জ|ু|স:্|ক|ো|
a|k|a|d|e|m|i|	এ|ক|া|ড|ে|ম|ি|
a|k|a|d|e|m|i|n|s|	এ|ক|া|ড|ে|ম|ি|ন:্|স|
a|k|a|g|i|	অ:্|য:া|ক:া|গ|ি|
a|k|a|l|a|n|k|a|	আ|ক|া|ল|া|ঙ:্|ক|া|
a|k|a|l|g|a|d|i|y|a|	অ|ক|া|ল|গ|া|দ|ি|য়|া|
a|k|a|l|k:o|t|	অ|ক|া|ল|ক|ট|
a|k|a|l|t|a|r|a|	অ|ক|া|ল|ত|া|র|া|
a|k|a|s:h:i|	আ|ক|া|শ:ী|
a|k|b:a|r|	আ|ক|ব|র|
a|k|b:a|r|a|l|i|	আ|ক|ব|র|আ|ল|ি|
a|k|b:a|r|g:a|n|j|	আ|ক|ব|র|গ|ঞ:্|জ|
a|k|b:a|r|i:k:h|a|t|u|n|	আ|ক|ব|র:ী|খ|া|ত|ু|ন|
a|k|b:a|r|p|u|r|	আ|ক|ব|র|প|ু|র|
a|k|h:a:y|k|u|m|a|r|	অ|ক:্|ষ:য|ক|ু|ম|া|র|
a|k:h|b|a|r|	আ|ক|ব|া|র|
a|k:h:e|r|a|l|i|	আ|খ:ে|র|আ|ল|ি|
a|k:h:i|l|	অ|খ:ি|ল|
a|k:h:i|l|b:a|n|d:h:u|	অ|খ:ি|ল|ব|ন:্|ধ:ু|
a|k:h:i|l|e:s:h|	অ|খ:ি|ল|ে:শ|
a|k:h:i|l|e|s|w:a:r|	অ|খ:ি|ল|ে|শ:্|ব:র|
a|k:h:i|l|k|u|m|a|r|	অ|খ:ি|ল|ক|ু|ম|া|র|
a|k:h:i|l|r:a|n|j:a|n|	অ|খ:ি|ল|র|ঞ:্|জ|ন|
a|k:h|t|a|r|	আ|খ|ত|া|র|
a|k:h|t|a|r|a|l|i|	আ|খ|ত|া|র|আ|ল|ি|
a|k:h|t|a|r|i|	আ|খ|ত|া|র|ি|
a|k|i|	আ|ক|ি|
a|k|i|r|a|	অ:্|য:া|ক:ি|র|া|
a|k|i|t|s|u|	আ|ক|ি|ত|স|ু|
a|k|l|i|b|i|b|i|	আ|ক|ল|ি|ব|ি|ব|ি|
a|k|l|i|m|a|	আ|ক|ল|ি|ম|া|
a|k|m|a|l|	আ|ক|ম|া|ল|
a|k|o|d:i:a|	আ|ক|ো|দ:া|
a|k|o|l|a|	আ|ক|ো|ল|া|
a|k|o|l|n:e|r|	আ|ক|ো|ল|ন|া:র|
a|k|o|r|a|	আ|ক|ো|র|া|
a|k|o|s|o|m|b|o|	অ|ক|ো|স|ো|ম|ব|ো|
a|k|o|t|	অ|ক|ো|ট|
a|k|r|a|m|	আ|ক:্|র|া|ম|
a|k|r|a|m|a|l|i|	আ|ক:্|র|া|ম|আ|ল|ি|
a|k|r:o|n|	আ|ক|র|ন|
a|k|r|u|m|a|b|i|b|i|	আ|ক|র|ু|ম|া|ব|ি|ব|ি|
a|k|r|u|r|	অ|ক:্|র|ু|র|
a|k|s|a|n|a|	আ|ক|স|া|ন|া|
a|k|s:h|	আ|ক:্|স|
a|k|t|a|r|	আ|ক|ত|া|র|
a|k|t|a|r|a|l:a|m|	আ|ক:্|ত|া|র|আ|ল|ম|
a|k|t|a|r|i|	আ|ক|ত|া|র|ি|
a|k|t|a|r|i|b|e|g:a|m|	আ|ক|ত|া|র|ি|ব|ে|গ|ম|
a|k|t|i|e|n|g|e|s|e:l:l|s|c:h|a|f|t|	অ:্|য:া|ক:ত|ি|য়:ে|ন|জ|ে|স|ে:ল|স|চ|্|য:া|ফ:ট|
a|k|t|i|e|s|e|l|s|k:a|b|e|t|	অ:্|য:া|ক:ত|ি|য়:ে|স|ে|ল|স|ক|ব|ে|ট|
a|k|u|r|d|i|	আ|ক|ু|র|দ|ি|
a|k|u|t|a|g|a|w|a|	আ|ক|ু|ট|া|গ|া|ও|য়:া|
a|k|z|o|	এ|ক|জ|ো|
a|l|	আ|ল|
a|l|a|b|a|m|a|	আ|ল|া|ব|া|ম|া|
a|l:a|k|e:s:h|	অ|ল|ক|ে:শ|
a|l|a|l|	আ|ল|া|ল|
a|l|a|m|	আ|ল|া|ম|
a|l:a|m|c:h:a|n|d|	আ|ল|ম|চ:া|ঁ|দ|
a|l:a|m|o|	আ|ল|ম|ো|
a|l:a|m|p|u|r|	আ|ল|ম|প|ু|র|
a|l|a|s|t:a|i|r|	আ|ল|া|স|ট|ি|র|
a|l|a|u|d|d|i|n|	আ|ল|া|উ|দ:্|দ|ি|ন|
a|l|a:z:u|d|d|i|n|	আ|ল|া:ঊ|দ:্|দ|ি|ন|
a|l|b:a|n|y|	আ|ল|ব|ে:ন|ী|
a|l|b|a|t|r|o|s:s|	অ:্|য:া|ল:ব|া|ট:্|র|ো|স|
a|l|b:e|r|t|	আ|ল|ব|া:র|্:ট|
a|l|b|e|r|t|a|	আ|ল|ব|ে|র:্|ট|া|
a|l|b|i|e|	আ|ল|ব|ি|ন|
a|l|b|o|r|a|n|	আ|ল:্|ব|ো|র|া|ন|
a|l|b|u|k:e|r|k|	আ|ল|ব|ু|ক|া:র|্:ক|
a|l|b|u|r|y|	অ|ল|ব|ু|র|ি|
a|l|c|a|t|e|l|	অ:্|য:া|ল:ক|া|ট|ে|ল|
a|l|c|o|a|	অ:্|য:া|ল:ক|ো|য়:া|
a|l|d:e|r|m|a|n|	আ|ল:্|ড|্:র|ে:ম|্:য|া:ন|
a|l|d|o|u|s|	অ:্|য:া|ল:্|ড|া|স|
a|l|e|c|	আ|ল|ে|ক|
a|l|e|g|r|i|a|s|	অ:্|য:া|ল:ে|গ:্|র|ি|য়:া|স|
a|l|e|r|	আ|ল|ে|র|
a|l|e|s|t:e|r|	আ|ল|ে|স:্|ট|া:র|
a|l|e|x|	আ|ল|ে:ক|্:স|
a|l|e|x|a|n|d:e|r|	আ|ল|ে:ক|্:স|জ:া|ন:্|ড|া:র|
a|l|e|x|a|n|d|r:e|	আ|ল|ে|ক:জ|া|ন:্|ড:া|র|
a|l|e|x|a|n|d|r|i|a|	আ|ল|ে:ক|্:স|জ:া|ন:্|দ:্|র|ি|য়:া|
a|l|f|r|e|d|	অ:্|য:া|ল:ফ|্:র|ে|ড|
a|l|g|e|r|i|a|	আ|ল|গ|ে|র|ি|য়:া|
a|l|g|i|e|r|s|	আ|ল|জ|া:ই|য়:া|র|স|
a|l|h:a|k|	আ|ল|হ|ক|
a|l|i|	আ|ল|ি|
a|l|i|a|k|b:a|r|	আ|ল|ি|আ|ক|ব|র|
a|l|i|b|a|u:g|	আ|ল|ি|ব|া|গ|
a|l|i|b|d|d|i|n|	আ|ল|ি|ব|দ:্|দ|ি|ন|
a|l|i|c|a|n|t:e|	অ:্|য:া|ল:ি|ক:্|য:া|ন:্|ট|
a|l|i|c|e|	অ:্|য:া|ল:া|ই|স|
a|l|i|f|	আ|ল|ি|ফ|
a|l|i|g|a:r:h|	আ|ল|ি|গ|ড়|
a|l|i|h|u|s|e|n|	আ|ল|ি|হ|ু|স|ে|ন|
a|l|i|j|a|n|	আ|ল|ি|জ|া|ন|
a|l|i|m|	আ|ল|ি|ম|
a|l|i|m:a|d|d|i|n|	আ|ল|ি|ম|দ:্|দ|ি|ন|
a|l|i|p|u|r|	আ|ল|ি|প|ু|র|
a|l|i|r|a|j|a|	আ|ল|ি|র|া|জ|া|
a|l|i|w|a|l|	অ|ল|ি|ও|য়:া|ল|
a|l|k|a|l|i|	অ:্|য:া|ল:ক|া|ল|ি|
a|l:l|	অ|ল|
a|l:l:a|n|	আ|ল:ে|ন|
a|l|l|a|n|	আ|ল:্|ল|া|ন|
a|l|l|a|r|a|k:h:a|	আ|ল:্|ল|া|র|া|খ:া|
a|l|l|a|u|d|d|i|n|	আ|ল:্|ল|া|উ|দ:্|দ|ি|ন|
a|l|l|e|m|a|n|d|e|	অ:্|য:া|ল|ে|ম|া|ন:্|ড|ে|
a|l:l:e|n|	এ|ল:ে|ন|
a|l|l|e|n|d|a:l:e|	অ:্|য:া|ল|ে|ন|ড|ে:ল|
a|l:l:e|p|i|	আ|ল:ে|প|ি|
a|l:l|e|p|p:e:y|	এ|ল|ি|প:্|প:ি|
a|l|l|i|a|n|c:e|	অ:্|য:া|ল|ি|য়:ে|ন:্|স|
a|l|l|i|a|n|z|	অ:্|য:া|ল|ি|ই:য়|ে:ন|জ|
a|l:l|o|t:t|	আ|ল|ো|ট|
a|l|l:o|y|s|	অ:্|য:া|ল|য়|ে:জ|
a|l:l|s|t|a:t:e|	অ|ল|স:্|ট|ে:ট|
a|l|m|a|	আ|ল|ম|া|
a|l|m|a|n|i|j|	অ|ল|ম|া|ন|জ|ি|
a|l|m|a|r|a|	আ|ল|ম|া|র|া|
a|l|m|a|t|t|i|	আ|ল|ম|া|ট:্|ট|ি|
a|l|m|o|d|a|	আ|ল|ম|ো|ড়|া|
a|l|n|i|y|a|	অ|ল|ন|ি|য়|া|
a|l|o|	আ|ল|ো|
a|l|o|a|r|a|k:h|	আ|ল|ো|আ|র|া|খ|
a|l:o|k|	আ|ল|ক|
a|l:o|k|a|	অ|ল|ক|া|
a|l:o|k|a|n:a|n|d|a|	অ|ল|ক|া|ন|ন:্|দ|া|
a|l:o|k|k|a|n|t|i|	অ|ল|ক|ক|া|ন:্|ত|ি|
a|l|o|k|n|a|t:h|	অ|ল|ো|ক|ন|া|থ|
a|l|o|k|r:a|n|j:a|n|	অ|ল|ো|ক|র|ঞ:্|জ|ন|
a|l|o|m|g|i|r|	আ|ল|ো|ম|গ|ী|র|
a|l|o|r|a|n|i|	আ|ল|ো|র|া|ন|ী|
a|l|o|u|d|p|u|r|i|	আ|ল|ো|উ|দ|প|ু|র|ি|
a|l|p:a|n|a|	আ|ল|প|ন|া|
a|l|p:a|n|a|r|a|n|i|	আ|ল:্|প|ন|া|র|া|ন|ী|
a|l|p|e:s:h|	আ|ল:্|প|ে:শ|
a|l|p|i|n:e|	আ|ল|প|ি|ন|
a|l|s|t|o|m|	অ|ল|স:্|ট|ো|ম|
a|l|t|a|i|	আ|ল|ত|া|ই|
a|l|t|a|i:r|	অ|ল|ট:ে|য়:া|র|
a|l|t:e|r|n|a:t:e|	অ|ল:্|ট|া:র|ন|ে:ট|
a|l|t|r|i|a|	অ|ল|ট:্|র|ি|য়:া|
a|l|u|a|b|a|r|i|	আ|ল|ু|য়:া|ব|া|র|ী|
a|l|u|m|i|n|i|u|	অ:্|য:া|ল:ু|ম|ি|ন|ি:য়|া:ম|
a|l|u:m:i|n|i|u|m|	অ:্|য:া|ল:ম|ু:ন|ি|য়:া|ম|
a|l|v:a|r|i|o:n|	অ|ল|ভ|র|ি:য়|ন|
a|l|w|a:y|e|	অ|ল|ও:য়|ে|ই|
a|l|w|i|s|	অ|ল|ু|ই|স|
a|l|w|o|r|k|	অ|ল|ও|য়:া|র:্|ক|
a|m|a|d|e|o|	আ|ম|া|দ|ি|ও|
a|m|a|d|o|r|	এ|ম|া|ড|ো|র|
