h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
c|a|n|t|o|r|	ק|א|נ|ט|ו|ר|
m|a|t:t|h:i|a|s|	מ|א|ט|י|א|ס|
b:a|s|r|i|	ב|ס|ר|י|
l|a|r|s:s|o|n|	ל|א|ר|ס|ו|ן|
r|a|n|d|a|l:l|	ר|א|נ|ד|א|ל|
p|e|a:r|y|	פ|י|ר|י|
b|a|r|a|z|i|t:e|	ב|א|ר|א|ז|א:י|ט|
p|a|r|m:e|n|i|d:e|s|	פ|א|ר|מ|נ|י|ד|ס|
p|o|s:e|i|d|o|n|	פ|ו|ס|י|ד|ו|ן|
s|a|t|u|	ס|א|ט|ו|
g|a|m|a|r:r|a|	ג|א|מ|א|ר|א|
b|e:r|g|m|a|n|	ב|ר|ג|מ|א|ן|
f|a|t|f|a|t|	פ|א|ט|פ|א|ט|
r|y|u|t|a|r|o|	ר|י|ו|ט|א|ר|ו|
c|h:e|n:e|n:e|	צ|'|נ|ן|
s:h|e:v|c|h:e|n|k|o|	ש|ב|צ|'|נ|ק|ו|
s|a|n:e|t|o|m|i|	ס|א|נ|ט|ו|מ|י|
z:a|g:h|l|o:u|l|	ז|ג|ל|ו|ל|
p|e|d|r|o|s|	פ|י|ד|ר|ו|ס|
h|a|r|a|	ה|א|ר|א|
u|z|b:e|k|i|s|t|a|n|	א:ו|ז|ב|ק|י|ס|ט|א|ן|
a|r|i|e:f|	ע|ר|י|ף|
s:h|a:m|m:a|s|	ש|מ|א|ס|
n|a|r|a|	נ|א|ר|א|
l:a|i|g|l:e|	ל|י:י|ג|ל|
o|u:m|a:r|	ע:ו|מ|ר|
a|r|i|e|l|	א|ר|י|א|ל|
n|i|s:a|n|i|t|	נ|י|ס|נ|י|ת|
c|o|n:n|i:e|	ק|ו|נ|י|
k|u|r|a|n|y:i|	ק|ו|ר|א|נ|י|
b:a|k|r|i|	ב|ק|ר|י|
n|i|c|o|l|a|s|	נ|י|ק|ו|ל|א|ס|
d|r|o|g|b|a|	ד|ר|ו|ג|ב|א|
f|e|l:l|i|n|i|	פ|י|ל|י|נ|י|
m|i|l|i|t|o|	מ|י|ל|י|ט|ו|
b|r|e|d|e|	ב|ר|י|ד|י|
m:a|a|s|t|r|i|c:h|t|	מ|א|ס|ט|ר|י|כ|ט|
m|i|l|o:u|d|	מ|י|ל|ו|ד|
e|e|l|a|m|	א|י|ל|א|ם|
m|i:c|h:a|e:l|	מ:א|י|ק|ל|
k:a|l|a|s:h|n|i|k|o|v|	ק|ל|א|ש|נ|י|ק|ו|ב|
m|p|u|m|a|l|a|n|g|a|	מ|פ|ו|מ|א|ל|א|נ|ג|א|
n|u|m|a|n|	נ|ו|מ|א|ן|
r|u|b|i|o|	ר|ו|ב|י|ו|
l|a|t|i|n|a|	ל|א|ט|י|נ|א|
k:e|d|u|m|i|m|	ק|ד|ו|מ|י|ם|
l|a:w|	ל|ו|
b|r|i|d|g|e:s|	ב|ר|י|ד|ג:'|ז|
s:h|a:m|s|u|l|	ש|מ|ס|ו|ל|
a|s:a|d|	א|ס|ד|
n:i|s:s|i|m|	נ|ס|י|ם|
p|u|t|i|n|	פ|ו|ט|י|ן|
m|u|k|h|t|a|r|	א|ל|מ:ו|כ|ט|א|ר|
d|i|o|n|y|s|u|s|	ד|י|ו|נ|י|ס|ו|ס|
o|v|a:d|i|a|	ע:ו|ב|ד|י|ה|
p|a|l:l|i|s|t|e:r|	פ|א|ל|י|ס|ט|ר|
k|e|i|t:e|l|	ק|א|י|ט|ל|
t|i|k|o|p|i|a|	ט|י|ק|ו|פ|י|א|
i|f|i|l|	א:י|פ|י|ל|
g|r|i|e:r|	ג|ר|י|ר|
f|r|i:e|d|m|a|n:n|	פ|ר|י|ד|מ|א|ן|
n|o|r|f|o|l|k|	נ|ו|ר|פ|ו|ל|ק|
d|v|o|r|a|	ד|ב|ו|ר|ה|
d|o:t|c|h:e|v|	ד|ו|צ|'|ב|
ľ|u|b|o|m|i|r|	ל|ו|ב|ו|מ|י|ר|
l|a|f|u|e|n|t|e|	ל|א|פ|ו|י|נ|ט|י|
s|t|a|u|d|i|n|g|e:r|	ש|ט|א|ו|ד|י|נ|ג|ר|
s|i|m|e|o:n|	ס|י|מ:י|א|ן|
m:e|x|i|c|o|	מ|ק:ס|י|ק|ו|
n:a|j|a|h|	נ|ג:'|א|ח|
h|u|y:g|e|n|s|	ה|ו|ג|י|נ|ס|
d|a|g:h|e:r|	ד|א|ג|ר|
t|i|t|u|	ט|י|ט|ו|
b|u|r|g|e|s:s|	ב|ו|ר|ג|י|ס|
b|a|r|t|l:e|t:t|	ב|א|ר|ט|ל|ט|
a|r|d:a|b|i|l|	א|ר|ד|ב|י|ל|
a|n|a|t|o|l|y|	א|נ|א|ט|ו|ל|י|
t|e|r|a|s|o|m|a|	ט|י|ר|א|ס|ו|מ|א|
a|d|o|l|f|	א|ד|ו|ל|ף|
m|a|g|d|a|	מ|א|ג|ד|ה|
d|o|n|a|t|e|l:l|o|	ד|ו|נ|א|ט|י|ל|ו|
m|a|s|a|r|y|k|	מ|א|ז|א|ר|י|ק|
s|a|k|u|r|a|i|	ס|א|ק|ו|ר|א|י|
s|a|a:r|i|	ס|ע|ר|י|
f|a:u|l|k|	פ|ו|ל|ק|
m|o|r|a|l|e|s|	מ|ו|ר|א|ל|י|ס|
c|h|a:m|r|a|n|	צ|'|מ|ר|א|ן|
b|e:r|n|a|d|o:t|t:e|	ב|ר|נ|א|ד|ו|ט|
s:c|h:a|c:h|t|	ש|א|כ|ט|
s|w:a|i|l:e|	ס|ו|י:י|ל|
s|w|a|n|k|	ס|ו|א|נ|ק|
r|o|n|e:n|	ר|ו|נ|ן|
s:a|n|t|i|a|g|o|	ס|נ|ט|י|א|ג|ו|
m|a|t:t|e|o|	מ|א|ט|א|ו|
c|a|s:s|i|n|	ק|א|ס|י|ן|
d|o:o|m|	ד|ו|ם|
c|a|n|i|z|a|r|e|s|	ק|א|נ|י|ז|א|ר|י|ס|
z|e|t|l|i|t:z|	ז|י|ט|ל|י|ץ|
s|t|a:u|n|t|o|n|	ס|ט|ו|נ|ט|ו|ן|
y|v|o:n|n:e|	י|י:ב|ו|ן|
a|u|s|t|r|a|l|o|p|i|t:h|e:c|u:s|	א|ו|ס|ט|ר|א|ל|ו|פ|י|ת|ק|ס|
k|o|b|u|s:h|i|	ק|ו|ב|ו|ש|י|
h|i|t|m|a|n|	ה|י|ט|מ|א|ן|
r|o|s:h|a|n|	ר|ו|ש|א|ן|
r|i|c:c|a|r|d|o|	ר|י|ק|א|ר|ד|ו|
w|a|l|c|o|t:t|	ו|א|ל|ק|ו|ט|
a|s|c|o|l|i|	א|ס|ק|ו|ל|י|
a|y|a|n|	ע|י|א|ן|
h|i|p|o|l|i|t|o|	ה|י|פ|ו|ל|י|ט|ו|
h:e|y|n|c:k|e:s|	ה|י|נ|ק|ס|
g|a|e|t|a|n|	ג|א|י|ט|א|ן|
r|o|m|a|r|i|n|	ר|ו|מ|א|ר|י|ן|
g|y|a|n|	ג|י|א|ן|
p|a|t:t|i|n|s|o|n|	פ|א|ט|י|נ|ס|ו|ן|
k|u|y|t|	ק|ו|י|ט|
s|m|e|t|a:n|a|	ס|מ|י|ט|נ|א|
g|a|b|r|i|e|l|a|	ג|א|ב|ר|י|א|ל|ה|
f|e|o|d|o|r|	פ|י|ו|ד|ו|ר|
s|e|r|v|e:r|	ס|י|ר|ב|ר|
c|u|r|l|	ק|ו|ר|ל|
a|j|a:m|i|	ע|':ג|מ|י|
n|o|r|t:h|a|m|	נ|ו|ר|ת|א|ם|
h|i|r|o|t|a|	ה|י|ר|ו|ט|א|
m|u|b|a|r:e|k|	מ|ו|ב|א|ר|ק|
m:e|s:s|a|l|i|	מ|ס|א|ל|י|
s|p|e|r|o|n|e|	ס|פ|י|ר|ו|נ|י|
m|a|d|i|s|o:n|	מ|א|ד|י|ס|ן|
w|e|i|k|a|r|t|	ו|י|י|ק|א|ר|ט|
g|a|z|i|a|n|t:e|p|	ג|א|ז|י|א|נ|ט|פ|
p|o|l:l|o|c:k|	פ|ו|ל|ו|ק|
c|a|r|o|l|i|n|a|	ק|א|ר|ו|ל|א:י|נ|א|
b|u|z:e|k|	ב|ו|ז|ק|
b|e|l|a|	ב|י|ל|א|
s|u|d|o|k|u|	ס|ו|ד|ו|ק|ו|
w|i|s|c|o|n|s|i:n|	ו|י|ס|ק|ו|נ|ס|ן|
t|e|n|o|r|i|o|	ט|י|נ|ו|ר|י|ו|
t|a:n|z|a|n|i|a|	ט|נ|ז|א|נ|י|א|
m|a|c|h:o|	מ|א|צ:'|ו|
m|a|r|c|o|m|a|n:n|i|	מ|א|ר|ק|ו|מ|א|נ|י|
s|p|i:e|g|l|e:r|	ס|פ|י|ג|ל|ר|
w|i|s:e|m|a|n|	ו|א:י|ז|מ|א|ן|
b|e|r|n|e:r|	ב|י|ר|נ|ר|
m|i|l|u|t|i|n|o|v|i|c|	מ|י|ל|ו|ט|י|נ|ו|ב|י|ט:ש|
c:e|n|i|	ס|נ|י|
k|o|v|a|l|y|o|v|	ק|ו|ב|א|ל|י|ו|ב|
n|e|h|o|d|a|	נ|י|ה|ו|ד|א|
n|y:i|l|a|s|i|	נ|י|ל|א|ס|י|
h|o|c|h:u|	ה|ו|צ:'|ו|
m:e|l|h|e:m|	מ|ל|ח|ם|
r|u|h:l|	ר|ו|ל|
v|a|a:r|t|	ו|א|ר|ט|
h|o|m|a|y|o:u|n|	ה|ו|מ|א|י|ו|ן|
g|e:r|a|r|d|	ג:'|ר|א|ר|ד|
b|k|s|y|	ב|ק|ס|י|
h|a|s|e|k|	ה|א|ס|י|ק|
x|a|v|i|e|r|	ז|י:י|ב|י|א|ר|
s|t|e|w|a|r|t|	ס|ט|י|ו|א|ר|ט|
b|u|s|o|n|	ב|ו|ס|ו|ן|
d:e|b|y|	ד|ב|י|
a|r|l|e|n|	א|ר|ל|י|ן|
s:h|r:a|g|a|	ש|ר|ג|א|
r|i|g|o|b|e:r|t|	ר|י|ג|ו|ב|ר|ט|
a|n|d|o|	א|נ|ד|ו|
j|u|n|k|o|	ג:'|א|נ|ק|ו|
k|i|m|i|	ק|י|מ|י|
a|l|b|a|y|y:a|t|i|	א|ל|ב|א|י|א|ט|י|
m|i|m|i|	מ|י|מ|י|
m:a|a|t:h|a|i|	מ|א|ת|א|י|
d:e|s|a|i|	ד|ס|א|י|
m|y|r|i|a|m|	מ|י|ר|י|א|ם|
h|e:r|a|c|l|i|u|s|	ה|ר|א|ק|ל|י|ו|ס|
j|a|m:e|s|o|n|	ג:'|י:י|מ|ס|ו|ן|
d|i|a|t:t|a|	ד|י|א|ט|א|
n|o|l|b|e|r|t|o|	נ|ו|ל|ב|י|ר|ט|ו|
r|o|c:k|m|o|n|d|	ר|ו|ק|מ|ו|נ|ד|
s|a|n|o:u|	ס|א|נ|ו|
b:e|l|k|a|c:e|m|	ב|ל|ק|א|ס|ם|
n|a|s:h|	נ|א|ש|
b|i|l|a|l|	ב|י|ל|א|ל|
f|r|a|n|k|y|	פ|ר|א|נ|ק|י|
s:h|o|a|i|b|	ש|ו|ע|י|ב|
d|h:i|a|b|	ד|י|א|ב|
w:o|o|d|w|a|r|d|	ו|ו|ד|ו|א|ר|ד|
m|e|s|z|o|l|y|	מ|י|ס|ז|ו|ל|י|
t|r|a|n|s|n|i|s|t|r|i|a|	ט|ר|א|נ|ס|נ|י|ס|ט|ר|י|א|
p|o|r|t|a|s|	פ|ו|ר|ט|א|ס|
n:a|c:h|s:h|o|n|	נ|ח|ש|ו|ן|
t|r|o|y|	ט|ר|ו|י|
t|i|g|e:r|	ט|א:י|ג|ר|
m|u|t|i|u|	מ|ו|ט|י|ו|
m|o|n|s|e:f|	מ|ו|נ|ס|ף|
j|a:m|i:e|s|o|n|	ג:'|מ|י|ס|ו|ן|
r|o|t:t|	ר|ו|ט|
l|a|s:s|a|n|a|	ל|א|ס|א|נ|א|
g|a|s|k:e|l:l|	ג|א|ס|ק|ל|
n:a|b:e|e|l|	נ|ב|י|ל|
g|u|r|p|e|g:u|i|	ג|ו|ר|פ|י|ג|י|
m|e|n|e|g|a|z:z|o|	מ|י|נ|י|ג|א|ז|ו|
s|a|n|t|i|n|i|	ס|א|נ|ט|י|נ|י|
s:h|a:a|b|a|n|	ש|ע|ב|א|ן|
a|r|e:f|	ע:א|ר|ף|
c|o|r|l|e|o|n|e|	ק|ו|ר|ל|י|ו|נ|י|
s:h|a|n|d|o|n|g|	ש|א|נ|ד|ו|נ|ג|
t:h|e|o|d|o|r:e|	ת|י|ו|ד|ו|ר|
c|o|p:p|o|l|a|	ק|ו|פ|ו|ל|א|
s|a|q|r|	ס|א|ק|ר|
f|i|o|n|a|	פ|י|ו|נ|א|
m|a|r|a|t:h|o|n|	מ|א|ר|א|ת|ו|ן|
k|e|t:t|e|r|i|n|g|	ק|י|ט|י|ר|י|נ|ג|
s|o|	ס|ו|
s:h|a:a|t:h|	ש|ע|ת|
m|o|t|o|k|o|	מ|ו|ט|ו|ק|ו|
j|o|	ג:'|ו|
g|a|b:b|i|d|o|n|	ג|א|ב|י|ד|ו|ן|
s|i|l|v|e:r|s|t|o|n:e|	ס|י|ל|ב|ר|ס|ט|ו|ן|
i|f|t|a|r|	א:י|פ|ט|א|ר|
n|u|r|h|a|l|i|z|a|	נ|ו|ר|ה|א|ל|י|ז|ה|
b|o|n:n|i|s:s|e:l|	ב|ו|נ|י|ס|ל|
d|u|l|c|e|	ד|ו|ל|ס|י|
h:a|r:a|k|a:t|	ח|ר|ק|ת|
c|h|u:c|k|	צ|'|א|ק|
m:a|r:r|a|k|c:h|i|	מ|ר|א|ק|ש|י|
t|i|c|h|y|	ט|י|צ|'|י|
p|a:k|r|a|d|o:u|n|i|	פ|ק|ר|א|ד|ו|נ|י|
a|e|r|o|f|l|o|t|	א|י|ר|ו|פ|ל|ו|ט|
c|h:e|k:h|o|v|	צ|'|כ|ו|ב|
y|o|n:a|t:a|n|	י|ו|נ|ת|ן|
o|l|m|e:r|t|	א:ו|ל|מ|ר|ט|
n|o:u|z|a|r|e:t|	נ|ו|ז|א|ר|ה|
b|l|a|b|y|	ב|ל|י:י|ב|י|
h|i|d|e|k|a|t|s|u|	ה|י|ד|י|ק|א|ט|ס|ו|
h|e:a|l:e|y|	ה|י|ל|י|
t|o:u|j|a|n|	ט|ו|ג:'|א|ן|
k|f:a|r|	כ|פ|ר|
c|a|b|r|i|l:l|o|	ק|א|ב|ר|י|ל|ו|
c|o|r|f|u|	ק|ו|ר|פ|ו|
m:e|t|r|o|p|o|l|i|t|a|n|a|	מ|ט|ר|ו|פ|ו|ל|י|ט|א|נ|א|
a|f|a|r|	ע|פ|א|ר|
m|o|n|t|m|a|r|t|r:e|	מ|ו|נ|ט|מ|א|ר|ט|ר|
r:a|z:a|k|	ר|ז|ק|
k|o|t|o|k|o|	ק|ו|ט|ו|ק|ו|
n|o:o|r|	נ|ו|ר|
l|u|c|a|s|	ל|ו|ק|א|ס|
b|u|l|j|a|n|	ב|ו|ל|י|א|ן|
m|e:r|n|i|s:s|i|	מ|ר|נ|י|ס|י|
l|u|r|z|	ל|ו|ר|ז|
h|i|c:h|a|m|	ה|י|ש|א|ם|
m|a|s|a:c|c|i:o|	מ|א|ס|א|צ:'|ו|
s|o:u|z|a|	ס|ו|ז|א|
m|a|r|t|e|l:l|i|	מ|א|ר|ט|י|ל|י|
h:a|r|a|r|i|	ה|ר|א|ר|י|
k|o|m|l|j|e:n|o|v|i|c|	ק|ו|מ|ל|י|נ|ו|ב|י|ט:ש|
y|u|i|	י|ו|י|
m|e|t|i:n|	מ|י|ט|ן|
g:e|o|r|g|i|a|	ג|':ו|ר|ג|'|א|
m|e|l|a|n|e|s|i|a|	מ|י|ל|א|נ|י|ז|י|א|
v|a|l|e|n|t|i|a|	ו|א|ל|י|נ|ט|י|א|
t|u|n|i|s|i|a|	ט|ו|נ|י|ס|י|ה|
p|a|p|o:u|l|i|a|s|	פ|א|פ|ו|ל|י|א|ס|
s|i|m|o|n|o|v|	ס|י|מ|ו|נ|ו|ב|
b|u|n|r|a|k|u|	ב|ו|נ|ר|א|ק|ו|
c|z:e|s|l|a|w|	צ:'|י|ס|ל|א|ב|
a|d:e|n|	ע|ד|ן|
h|a|l:l|	ה|ו|ל|
b|i|e|l:l|a|	ב|י|י|ל|א|
e|d:e|n|	ע|ד|ן|
a|p|o|p:h|i|s|	א|פ|ו|פ|י|ס|
s:c|h:e|r|z|i|n|g|e:r|	ש|י|ר|ז|י|נ|ג|ר|
c|a|r:r|i|e|r|	ק|א|ר|י|א|ר|
s|t|i|f|t|e:r|	ס|ט|י|פ|ט|ר|
t|o|l|d|o|	ט|ו|ל|ד|ו|
k|a|n|t|	ק|א|נ|ט|
x|i|m|e|n|a|	ש|י|מ|י|נ|א|
m|u|r|a|w|s|k|i|	מ|ו|ר|א|ו|ס|ק|י|
m|o|t:e|a|b|	מ|ו|ט|ע|ב|
p|i|n|o|c:c|h:i|o|	פ|י|נ|ו|ק|י|ו|
y|a:t|o|m|	י|ת|ו|ם|
v|y|n|t|r|a|	ו|י|נ|ט|ר|א|
p|i|p:e|s|	פ|א:י|פ|ס|
t|o|r|t|o|s|a|	ט|ו|ר|ט|ו|ס|א|
m|y|s|k|i|n|a|	מ|י|ס|ק|י|נ|א|
m|i:s|s|o:u|r|i|	מ|י|ז|ו|ר|י|
b|e|c:k|e|t:t|	ב|י|ק|י|ט|
s:h|e:h|u|	ש|ה|ו|
k|a|h|n|	ק|א|ה|ן|
j|u|n|d|i|a|a:d|	ג:'|ו|נ|ד|י|א|ד|
b|i|j|o|t|a|t|	ב|י|ג:'|ו|ט|א|ט|
s|u|k|u|r|	ס|ו|ק|ו|ר|
m|a|g|a|t:h|	מ|א|ג|א|ת|
n|o:e|t:h|e:r|	נ|ו|ת|ר|
m|a|y|u|m|i|	מ|א|י|ו|מ|י|
h:a|k|o|v:e|s:h|	ה|כ|ו|ב|ש|
s|e|d|a|r|o:u|s|	ס|י|ד|א|ר|ו|ס|
m|e:r|	מ|ר|
m|a|r|y|l|a|n|d|	מ|א|ר|י|ל|א|נ|ד|
k|i|r|i|b|a|t|i|	ק|י|ר|י|ב|א|ט|י|
d|e:r|	ד|ר|
h|a:y|s|b|e|r|t|	ה:י|י|ז|ב|י|ר|ט|
d|e|v|e|r|i|c|	ד|י|ב|י|ר|י|ט:ש|
g|e:r|	ג|ר|
f|u|l|c|i|	פ|ו|ל|ק|י|
p:e|p|s|i|	פ|פ|ס|י|
m|u|h:a|m:e|d|	מ|ו|ח|מ|ד|
j|i|m:e|n:e|z|	ח|י|מ|נ|ז|
n|o|r|i|e|g|a|	נ|ו|ר|י|י|ג|א|
c|r:o|w:e|	ק|ר|ו|
m|a|d|r|e|	מ|א|ד|ר|י|
e|l|i|n|	א|ל|י|ן|
j|o|y|a|	ג:'|ו|י|א|
a|l|m|o|d|o|v|a|r|	א|ל|מ|ו|ד|ו|ב|א|ר|
b|a|t:t|i|s|t|i|	ב|א|ט|י|ס|ט|י|
s:h|o|s:h|	ש|ו|ש|
y:e|s:h|a|y|a:h|u|	י|ש|ע|י|ה|ו|
f|u|n|k|e|	פ|ו|נ|ק|ה|
b|e|r:r|y|	ב|י|ר|י|
d|a|v|i|s|o|n|	ד|א|ב|י|ס|ו|ן|
d|u|n|k|i|r|k|	ד|א|נ|ק|י|ר|ק|
v|i|n|c:e|n|t|	ו|י|נ|ס|נ|ט|
v|o|i:g|h:t|	ב|ו|י|ט|
k:a|r|a|m|i|	ק|ר|א|מ|י|
h|o|f:f|m|a|n|	ה|ו|פ|מ|א|ן|
b|e|r|g|o:u|g:n|o|u:x|	ב|י|ר|ג|ו|נ|י|ו|
h|e|r|n|a|n|	ה|י|ר|נ|א|ן|
l|e:r|b|y|	ל|ר|ב|י|
m|o|t:t|r|a|m|	מ|ו|ט|ר|א|ם|
f|i|e|n:n|e:s|	פ|י|א|נ|ס|
n|o|r|i|l|s|k|	נ|ו|ר|י|ל|ס|ק|
k|a|z|a|z|	ק|א|ז|א|ז|
d|r|a|g|o|n:a|i|r|	ד|ר|א|ג|ו|נ|י:י|ר|
b|a|r|t|o|l|o|m|e|o|	ב|א|ר|ט|ו|ל|ו|מ|י|ו|
m|d|l|e|d|l|e|	מ|ד|ל|י|ד|ל|י|
k|a|z|a|n|	ק|א|ז|א|ן|
b:a|r|h|o|m|	ב|ר|ה|ו|ם|
f|r|e|d|e|r|i|c:k|	פ|ר|י|ד|י|ר|י|ק|
c|o|m|b:s|	ק|ו|מ|ז|
b:e|s|l|a|n|	ב|ס|ל|א|ן|
r|o|g|i|e:r|	ר|ו|ג:'|י|ר|
f|r|a|n|c|e|s|c|o|	פ|ר|א|נ|ש|י|ס|ק|ו|
p|o|n|c:e|l|e:t|	פ|ו|נ|ס|ל|ה|
r|a|s:h|o|m|o|n|	ר|א|ש|ו|מ|ו|ן|
f|r|a|n|c:e|s|c|a|	פ|ר|א|נ|ס|ס|ק|א|
z|a|v|e|n|	ז|א|ב|י|ן|
c|e:l|e:n|t|a|n|o|	צ:'|ל|נ|ט|א|נ|ו|
s:h|i|n|j|i|	ש|י|נ|ג:'|י|
đ|u|r|i|c|	ד|ו|ר|י|ט:ש|
g|o|r|s:h|k|o|v|	ג|ו|ר|ש|ק|ו|ב|
c:h|a|z:z|	ש|א|ז|
a|m|i|n|	א|מ|י|ן|
c|o|s:s|e:r|y|	ק|ו|ס|ר|י|
a|n|a|	א|נ|א|
r|a|v|i|e|r|	ר|א|ו|י|י|ר|
m|o|i|z|a|n|	מ|ו|י|ז|א|ן|
m|i|d|l|e:r|	מ|י|ד|ל|ר|
j|a|g|d|e|o|	ג:'|א|ג|ד|י|ו|
l|e|s|n|a:r|	ל|י|ס|נ|ר|
f|o|n|s|e|c|a|	פ|ו|נ|ס|י|ק|א|
f|a|c:c|h:e|t:t|i|	פ|א|ק|י|ט|י|
b|o|l|t:z|m|a|n:n|	ב|ו|ל|צ|מ|א|ן|
j|a|f:a|r|g:h|o|l|i|	ג:'|ע|פ|ר|ג|ו|ל|י|
z|i|b|	ז|י|ב|
b|h:u|t:t|o|	ב|ו|ט|ו|
i|l:a|n|a|	א:י|ל|נ|ה|
s:h|o:w|t|a|r|o|	ש|ו|ט|א|ר|ו|
s|p:e|e|d|	ס|פ|י|ד|
e|d|w|a|r|d|	א|ד|ו|א|ר|ד|
g|r|z|e|g|o|r|z|	ג|ר|ז|י|ג|ו|ר|ז|
g|r|e|g|o|i|r:e|	ג|ר|י|ג|ו|י|ר|
c|o|m|t:e|	ק|ו|מ|ט|
j|o|h|a|n:n|e:s|	י|ו|ה|א|נ|ס|
p|i|c:c|o|l|i|	פ|י|ק|ו|ל|י|
n|o|b:u|t|o|s:h|i|	נ|ו|ב|ט|ו|ש|י|
v|i|o|r|e|l|	ו|י|ו|ר|י|ל|
r:a|a|b|	ר|א|ב|
d|r|a|z|e|n|	ד|ר|א|ז|י|ן|
g|a|l|i|t|e|	ג|א|ל|י|ט|ה|
d|i|b|	ד|י|ב|
b:e|n|a|y|a|h|u|	ב|נ|א|י|א|ה|ו|
g|u|e|n|o|n|	ג|ו|י|נ|ו|ן|
p|a|l|m|i|n|t|e:r|i|	פ|א|ל|מ|י|נ|ט|ר|י|
a|d|a|n|a|	ע|ד|א|נ|א|
b|a|r|n|e|t:t|a|	ב|א|ר|נ|י|ט|א|
c|o|n|t|e|	ק|ו|נ|ט|י|
m|i|k|l|o|s|	מ|י|ק|ל|ו|ס|
c|a|p:e|k|	ק|א|פ|ק|
c|a|p|e:t|	ק|א|פ|ה|
d|o|x|a|	ד|ו|ק:ס|א|
n|i|k|o|l|o:u|d|i|s|	נ|י|ק|ו|ל|ו|ד|י|ס|
k|a|m|i|k|a|w|a|	ק|א|מ|י|ק|א|ו|א|
c|a|t|a|l|a|n|i|	ק|א|ט|א|ל|א|נ|י|
d|a|n|o|n|	ד|א|נ|ו|ן|
m:a|n:n|	מ|ן|
n:a|z|a|r|	נ|ז|א|ר|
w|a|s:s|i|l|y|	ו|א|ס|י|ל|י|
g|a|n:n|	ג|א|ן|
p|i|z|a|r:r|o|	פ|י|ז|א|ר|ו|
r|o|b|e:r|t|s|o|n|	ר|ו|ב|ר|ט|ס|ו|ן|
t|a|r|t|a|r|u|s|	ט|א|ר|ט|א|ר|ו|ס|
b|a|e|r|	ב|א|י|ר|
r|i|c|a|r|d|o|	ר|י|ק|א|ר|ד|ו|
l|i|v|n|a:t|	ל|י|ב|נ|ת|
b|o|n|i:e|k|	ב|ו|נ|י|ק|
s|p|e|e:r|	ס|פ|י|ר|
m:i|t:z|p|e|	מ|צ|פ|ה|
h:e|n|r|y|k|	ה|נ|ר|י|ק|
r|a|i|n|e|a|	ר|א|י|נ|י|א|
c|a|t|a|l|o|n|i|a|	ק|א|ט|א|ל|ו|נ|י|א|
