G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
M|a|c|e|d|ó|n|i|a|	M|a|c|e|d|o|n|i|a|
B|a|j|e|v|s|z:k|i|	B|a|j|e|v|s|k|i|
Z|n|a|i|m:i|	Z|n|a|i|m|
T|á|b|o|r:i|	T|á|b|o|r|
m|a|h|ó|n|i|a|	M|a|h|o|n|i|a|
R|i|n|g|e|l|h|e|i|m:i|	R|i|n|g|e|l|h|e|i|m|
E|c|u|a|d|o|r|i|	E|c|u|a|d|o|r:i|a:n|
Á|d|e|n:i|	A|d|e|n|
A|r|g|i|r|o|d|i|t|	A|r|g|y|r|o|d|i|t:e|
T|r|i|n|i|t|á|r|i|u:s|	T|r|i|n|i|t|a|r|i:a|n|
W|e|e|k|e|n|d:!|	W|e|e|k|e|n|d|
H|e|l|i|m|s|z:k|i:j|	H|e|l|i|m|s|k|i|
E|r|i|k|	É|r|i|k|
S|z|á|s|z|	S|z|a|s|z|
Ó|p|i|u|m|	O|p|i|u|m|
W|i|k|i|m|á|n|i|a|	W|i|k|i|m|a|n|i|a|
H|é|l|i|o|d|ó|r|o:s|z|	H|e|l|i|o|d|o|r|u|s|
B|r|ö|m|s|e|b|r|o:i|	B|r|ö|m|s|e|b|r|o|
M|o|n|r|u|z:i|	M|o|n|r|u|z|
B|á|r|i|u|m|	B|a|r|i|u|m|
M|e|t|e|o|r|i|t|o:k|	M|e|t|e|o|r|i|t|e|
K|u|i|n|d|z|s|i|	K|u|i|n|d|z|h|i|
A|z|u|r|i|t|	A|z|u|r|i|t:e|
K|a|m|i|l|l|a|	C|a|m|i|l|l|a|
P|r|i|n|c|e|t|o|n:i|	P|r|i|n|c|e|t|o|n|
Z|o|m|b|i|	Z|o|m|b|i:e|
K|a|n|n|a|b|i|v|a|r|i|n|	C|a|n|n|a|b|i|v|a|r|i|n|
A|n|i|l|e|r|i|d|i|n|	A|n|i|l|e|r|i|d|i|n:e|
H|u|n|g|b|u|g|a|	H:e|u|n|g|b|u|g|a|
B|u|d|d|h|o|l|ó|g|i:a|	B|u|d|d|h|o|l|o|g|y|
K|a|l|m|i|u|s:z|	K|a|l|m|i|u|s|
M|i|r|k|ó|	M|i|r|k|o|
D|i|n|o|b|o:t|o:k|	D|i|n|o|b|o|t|
Á|d|i|l|	A|d|i|l|
N|e|o|m|i|c|i|n|	N|e|o|m|y|c|i|n|
K|a|s|t|e|l:'|	K|a|s|t|e|l|
T|i|o|x|o|l|o|n|	T|i|o|x|o|l|o|n:e|
b|r|i|m|l|e|y|i|	B|r|i|m|l|e|y|':s|
P|a|r|v|i|s|	P|a|r|v|i|s:e|
K|a|r|b|o|k|r|o|m|é|n|	C|a|r|b|o|c|r|o|m|e|n|
O|i|n|o|p|i|d|é|s:z|	O|e|n|o|p|i|d|e|s|
L|u|m|i|n|e|s|z:c|e|n|c|i:a|	L|u|m|i|n|e|s|c|e|n|c|e|
H|u|d|i|m|e|n|k|o|	H|u|d|y|m|e|n|k|o|
b|a|r|c|e|l|o|n|a:i|	B|a|r|c|e|l|o|n|a|
C|i|t|r|á|l|	C|i|t|r|a|l|
M|z|a|b|	M|':z|a|b|
T|e|k|e|z|e|	T|e|k|e|z|é|
D|i|o|c|l|e|t|i|a:n|u:s|	D|i|o|c|l|e|t|i|a|n|
G|a|l|a|ț|i|	G|a|l|a|ţ|i|
A|p:p|e|n|n|i|n|e:k|	A|p|e|n|n|i|n|e|
H|a|h|ö|	H|a|h|o:e|
P|a|n|o|r|á|m|a|	P|a|n|o|r|a|m|a|
M|u|t|a|z|z|	M|u:'|t|a|z|z|
M|o|r|r|ó|	M|o|r|r|o|
K|o|g|n|i|t|í|v|	C|o|g|n|i|t|i|v:e|
A|h|m|e|d|	A|h|m|a|d|
A|c|h|á|	A|c|h|a|
A|l|f|e|l|d:i|	A|l|f|e|l|d|
L|i|p|n|á|	L|i|p|n|a|
M|i|m|i|r|	M|í|m|i|r|
B|l|a|z|á|r|	B|l|a|z|a|r|
P|r|o|c|e|s|s|u|s|	p|r|o|c|e|s|s|e|s|
K|a|l|i|f|o|r|n|i|a|	C|a|l|i|f|o|r|n|i|a|
U|v|a|r|o|v|i|t|	U|v|a|r|o|v|i|t:e|
p|a|p|í|r|	P|a|p|e|r|
A|g|g|l|o|m|e|r|á|c|i|ó|	a|g|g|l|o|m|e|r|a|t|i|o:n|
H|e|l|i|k|o|n|	H|e|l|i|c|o|n|
E|l|i|m|i|n|á|c|i|ó|	E|l|i|m|i|n|a|t|i|o:n|
M|e|y|s|s|i|è|s|	M|e|y|s|s|i|e|z|
M|a|n|s|u|e|	M|a|n|s|u|è|
B|i|o|l|u|m|i|n|e|s|z:c|e|n|c|i:a|	B|i|o|l|u|m|i|n|e|s|c|e|n|c|e|
E|u|d|o|x|i|o:s|z|	E|u|d|o|x|i|u|s|
G|a|z|á|l|i|	G:h|a|z|a|l|i|
L|o|m|o|n|o|s:z|o|v|	L|o|m|o|n|o|s|o|v|
L|y|r|a:i|	L|y|r|a|
T|o|p|o|l|ó|g|i:a|	T|o|p|o|l|o|g|y|
R|á|m|ó|n|	R|a|m|o|n|
G|a|r|e|g|n|a|n|ó:i|	G|a|r|e|g|n|a|n|o|
r|e|k|o|m|b|i|n|á|c|i|ó|	r|e|c|o|m|b|i|n|a|t|i|o:n|
M|i|f|e|p|r|i|s|z:t|o|n|	M|i|f|e|p|r|i|s|t|o|n:e|
A|k|a|d|é|m|i|a|	A|c|a|d|e|m|i|a|
M|o|j|a|v|e:i|	M|o|j|a|v|e|
S|o|u|a|r|e|	S|o|u|a|r|é|
P|r|o|t|e|r|i|o:s|z|	P|r|o|t|e|r|i|u|s|
A|d|r|i|á|n|a|	A|d|r|i|a|n|a|
S|t|u|t|t|g|a|r|t:i|	S|t|u|t|t|g|a|r|t|
J|ó|b|	J|o|b|
Z|ú|m|á|r:i|	Z|u|m|a|r|
F|r|o|d|ó|	F|r|o|d|o|
B|r|a|b|a|n|t|i|	B|r|a|b|a|n|t|e:r|
K|ó|d|e|x|	C|o|d|e|x|
T|e|m|m|i|n|c|k|	T|e|m|m|i|n|c:k|':s|
É|l|e|k|t|r|ü|ó|n|	E|l|e|c|t|r|y|o|n|
b|a|r|r|a|k|u|d|a|	b|a|r|r|a|c|u|d|a|
G|u|a|m:i|	G|u|a|m|
M|o|n|m|o|u|t|h:i|	M|o|n|m|o|u|t|h|
v|i|r|g|i|n|i|a|e|	V|i|r|g|i|n|i|a|':s|
M|e|z|ő|k|ö|v|e|s|d:i|	M|e|z|ő|k|ö|v|e|s|d|
M|á|l|t|a:i|	M|a|l|t|a|
U|n|i|t|á|r|i|u:s|	U|n|i|t|a|r|i:a|n|
S|i|e|r|p|i|ń|s|k|i|	S|i|e|r|p|i|n|s|k|i|
M|a|l|m|e|s|b|u|r|y:i|	M|a|l|m|e|s|b|u|r|y|
P|o|l|i|d|o|k|a|n|o|l|	P|o|l|i|d|o|c|a|n|o|l|
Z|a|r|á|n|d|	Z|ă|r|a|n|d|
D|ö|b|e|l|n|	D|ö|b|e|l|n:s|
G|o|ł|ą|b:i|	G|o|ł|ą|b|
A|d|a|p|t|o|g|é|n|	A|d|a|p|t|o|g|e|n|
K|a|á|n|	K|a|a|n|
t|r|i|s|t|a|n:i|	T|r|i|s|t|a|n|
A|n|b|á|r|	A|n|b|a|r|
H|o|n|o|r|i|u|s:z|	H|o|n|o|r|i|u|s|
N|a|p|ó|l|e|o|n|	N|a|p|o|l|e|o:n|':s|
N|i|k|a|l|	N|i|k:k|a|l|
r|e|t|i|c|u|l|a|t|u:s|	R|e|t|i|c|u|l|a|t:e|d|
N|o|r|o|n|h|a:i|	N|o|r|o|n|h|a|
H|á|m|u|n|	H|a|m|u|n|
b|á|r|i|u|m|	b|a|r|i|u|m|
A|p|o|l|l|ó|	A|p|o|l|l|o|
F|r|a|n|c|i:s|c:o|	F|r|a|n|c|i|s|
I|d|d|h|i|p|á|d|a|	I|d|d|h|i|p|a|d|a|
K|i|t|t|y:!|	K|i|t|t|y|
b|u|r|g|u|n|d|i|	B|u|r|g|u|n|d|y|
R|á|t|h|	R|a|t|h|
l|u|n|a:i|	L|u|n|a|
a|f|f|r|i|k|á|t|a|	a|f|f|r|i|c|a|t|e|
M|a|d|a|r|á|s|z|	M|a|d|a|r|a|s:z|':s|
L|i|b|r|e|t|t|ó|	L|i|b|r|e|t|t|o|
H|e|r|t|n|e|k|	H|e|r|t|n|í|k|
D|é|m|o|p|h|i|l|o:s|z|	D|e|m|o|p|h|i|l|u|s|
B|ó|d|h|i|d|h|a|r|m|a|	B|o|d|h|i|d|h|a|r|m|a|
E|v|a|n|g|é|l|i|s|t|á:k|	E|v|a|n|g|e|l|i|s|t|s|
D|é|v|a|n|á|g|a|r|i|	D|e|v|a|n|a|g|a|r|i|
A|l|e|k|s:z|e|j|e|v|	A|l|e|k|s|e|y|e|v|
E|u|t|h|ü|d|é|m|o|s:z|	E|u|t|h|y|d|e|m|o|s|
Ó|F|I|	O|F|I|
o|l|i|v|a|c|e|u|s|	O|l|i|v|a|c|e|o:u|s|
É|l|e|n|a|	E|l|e|n|a|
R|á|h|u|l|a|	R|ā|h|u|l|a|
B|i|l|á|l|	B|i|l|a|l|
r|i|b|o|n|u|k|l|e|o|t|i|d|o:k|	r|i|b|o|n|u|c|l|e|o|t|i|d:e|s|
K|u|p|o|l|a|	C|u|p|o|l|a|
D|e|r|m|e|n|d|z|s|i|e|v|	D|e|r|m|e|n|d|z|h|i|e|v|
R|i|c|h|a|r|d|	R|i|c|h|a|r|t|
V|a|r|á|h|a|	V|a|r|a|h|a|
d|i|n|á|r|	d|e|n|a|r|
N|o|v|a|k|o|v|i|č|	N|o|v|a|k|o|v|i|ć|
S|e|h|e|s|t|e|d:i|	S|e|h|e|s|t|e|d|
G|a|r|d|í|z|i|	G|a|r|d|e|z|i|
N|a|k|t|o|n|g|	N|a|k|d|o|n|g|
D|a|l|l|a|s:i|	D|a|l|l|a|s|
I|z|b|i|s|t:y|e|	I|z|b|i|š|t|e|
S|c|h|a|e|r|b|e|e|k|	S|c|h|a|a|r|b|e|e|k|
R|e|i|z|ó|	R|e|i|z|o|
V|a|l|e|n|t|a|	V|a|l|e|n|t|y|
A|n|t|o|n|i|o|	A|n|t|ô|n|i|o|
M|i|r|d|i|t|a:i|	M|i|r|d|i|t|a|
m|e|t|r|ó|	M|é|t|r|o|
A|k|t|ó|r|	A|c|t|o|r|
A|p|a|t|z|i|n|g|á|n:i|	A|p|a|t|z|i|n|g|á|n|
M|i|t|r|a|s|i|n|c|i|	M|i|t|r|a|š|i|n|c|i|
o|á|z|i|s|	o|a|s|i|s|
K|e|t|ú|r|á|	K|e|t|u|r|a:h|
t|i|t|a|n|á|t|	t|i|t|a|n|a|t:e|
P|e|l|h|ř|i|m|o|v:i|	P|e|l|h|ř|i|m|o|v|
F|l|a|v|i|o|	F|l|á|v|i|o|
a|l|t|e|r|n|a|t|í|v|a|	a|l|t|e|r|n|a|t|i|v|e|
T|o|b|a|g|ó|	T|o|b|a|g|o|
B|u|h|u|s|	B|u|h|u|ș:i|
C|e|r|a|ș|u|	C|e|r|a|ş|u|
I|l|l|i|b|e|r|á:l|i:s|	I|l|l|i|b|e|r|a|l|
I|n|z|u|l|i|n|	I|n|s|u|l|i|n|
b|u|r|g|u|n|d|	B|u|r|g|u|n|d:y|
N|é|v|a|	N|e|v|a|
D|e|n|n|e|w|i|t|z:i|	D|e|n|n|e|w|i|t|z|
R|ó|t|o|v|a|	R|ò|t|o|v|a|
m|e|t|r|ó|	M|e|t|r|o|
P|o|i|t|o|u:i|	P|o|i|t|o|u|
i|d|e|o|l|ó|g|i|a|	i|d|e|o|l|o|g|i|e:s|
B|e|r|n|i|e|r|	B|e|r|n|i|e:r|':s|
t|r|i|f|l|u|o|r|m|e|t|á|n|s:z|u|l|f|o|n|á|t|	t|r|i|f|l|u|o|r:o|m|e|t:h|a|n|s|u|l|f|o|n|a|t:e|
T|i|l|s|i|t:i|	T|i|l|s|i|t|
F|u|n|d|a|m|e|n|t|a|l|i|z:m|u:s|	F|u|n|d|a|m|e|n|t|a|l|i|s|m|
N|á|l|a|n|d|a|	N|a|l|a|n|d|a|
K|o|r|m|e|s:z|i|j|	K|o|r|m|e|s|i|y|
V|l|o|r|a|	V|l|o|r|ë|
N|i|t|r|a|z|e|p|á|m|	N|i|t|r|a|z|e|p|a|m|
M|a|t|s|c|h|i|e|	M|a|t|s|c|h|i:e|':s|
Á|m|i|r|	A:a|m|i|r|
R|a|m|í|r|e|z|	R|a|m|i|r|e|z|
O|k|t|ó|b|e|r|	O|c|t|o|b|e|r|
D|r|u|m|c|l|i|f|f:e|	D|r|u|m|c|l|i|f|f|
B|e|n|j|á|m|i|n|	B|e|n|j|a|m|i|n|
M|á|z|a|n|d|a|r|á|n|i|	M|a|z|a|n|d|e|r|a|n|i|
K|r|i|v|á|n|	K|r|i|v|á|ň|
D|é|r|	D|e|r|
K|u|l|j|i|c|	K|u|l|j|i|ć|
K|ú|r|i|a|	C|u|r|i|a|
G|e|r|o|n|t|o|k|r|á|c|i:a|	G|e|r|o|n|t|o|c|r|a|c|y|
G|u|a|d|a|l|u|p|e:i|	G|u|a|d|a|l|u|p|e|
b|u|t|i|l|a|m|m|ó|n|i|u|m|	b|u|t|y|l|a|m|m|o|n|i|u|m|
T|i|m|o|t|h|e|o:s|z|	T|i|m|o|t|h|e|u|s|
M|á|r|g|á|o|	M|a|r|g|a|o|
r|o|m|á|n|i|a:i|	R|o|m|a|n|i|a|
K|a|z|u|h|i|s:z|a|	K|a|z|u|h|i|s|a|
P|r|i|n|c|í|p|e|	P|r|í|n|c|i|p|e|
O|r|p|h|e|u|s:z|	O|r|p|h|e|u|s|
T|ó|d|a|i|	T|ō|d|a|i|
G|ó|t|a|m|í|	G|o|t|a|m|i|
F|r|o|i|l|a|z|	F|r|ó|i|l|a|z|
t|a|n|g|ó|	T|a|n|g|o|
M|a|r|í|a|	M|a|r|i|a|
S|c|h|n|e|i|d|e|r|	S|c|h|n|e|i|d|e:r|':s|
o|c|c|i|p|i|t|a|l:e|	O|c|c|i|p|i|t|a|l|
S|p|l|i|t:i|	S|p|l|i|t|
D|a|c|h|s|t|e|i|n:i|	D|a|c|h|s|t|e|i|n|
L|a|t|e|r|a|n:o|	L|a|t|e|r|a|n|
N|é|o|n|	N|e|o|n|
D|a|p|h|n|é|	D|a|p|h|n|e|
B|a|r|l|e|t|t|a:i|	B|a|r|l|e|t|t|a|
L|i|t|ó|c|h|o|r|o|	L|i|t|o|c|h|o|r|o|
p|u|r|i|t|á|n|o:k|	p|u|r|i|t|a|n|i|
T|ü|l|l|	T|u|l|l:e|
T|o|l|t|e|r|o|d|i|n|	T|o|l|t|e|r|o|d|i|n:e|
A|m|m|á|n:i|	A|m|m|a|n|
O|b|z|í|l|e|r|	O|b|z|i|l|e|r|
R|á|k|ó|c|z|i|	R|á|k|ó|c|z:i|':s|
S|o|ó|s|	S|o|o|s|
B|r|i|t|a|n|n|i|á:t|	B|r|i|t|a|n|n|i|a|
T|h|á|i|	T|h|a|i|
B|u|r|u|n|d|i|	B|u|r|u|n|d:i|a:n|
M|e|l|k:i|	M|e|l|k|
T|a|b|t|o|x|i|n|i|n|	T|a|b|t|o|x|i|n|i|n:e|
E|l|e|k|t|r|o|l|u|m|i|n|e|s|z:c|e|n|c|i:a|	E|l|e|c|t|r|o|l|u|m|i|n|e|s|c|e|n|c|e|
R|e|d|í|n|	R|e|d|i|n|
v|i|a|n|a:i|	V|i|a|n|a|
O|t|t|í|l|i|a|	O|t|t|i|l|i|a|
M|a|g|n|é|z|i|u|m|	M|a|g|n|e|s|i|u|m|
I|n|t|e|r|k|o|n|t|i|n|e|n|t|á:l|i:s|	I|n|t|e|r|c|o|n|t|i|n|e|n|t|a|l|
A|m|b|r|o|s|i|a|n:a|	A|m|b|r|o|s|i|a|n|
K|a|v|i|l:l|ó|	K|a|v|i|l|o|
M|o|r|d|e|n|i|t|	M|o|r|d|e|n|i|t:e|
K|a|n|ó|	K|a|n|ō|
B|o|t|i|ș|	B|o|t|i|ş|
O|l|t|é|n|i|a|	O|l|t|e|n|i|a|
I|d|e|o|l|ó|g|i:a|	I|d|e|o|l|o|g|y|
d|i|p|l|o|m|á|c|i:a|	d|i|p|l|o|m|a|c|y|
F|l|ó|r|i|á|n|	F|l|o|r|i|a|n|
B|á|t|h|o|r|i|	B|á|t|h|o|r|y|
g|e|n|i|c|u|l|a|t|u:s|	g|e|n|i|c|u|l|a|t|e|
É|v|a|	E|v|a|
M|e|z|o|n|	M|e|s|o|n|
D|r|a|s|k|o|v|i|t:s|	D|r|a|š|k|o|v|i|ć|
A|r|c|o|l|e:i|	A|r|c|o|l|e|
C|e|r|e|b|e|l|l|a:r|i:s|	C|e|r|e|b|e|l|l|a|r|
g|e|r|m|á|n|i|u|m|	g|e|r|m|a|n|i|u|m|
S|t|a|g|f|l|á|c|i|ó|	S|t|a|g|f|l|a|t|i|o:n|
A|u|d|i|t|o|r|i|o|	A|u|d|i|t|o|r|i|u:m|
K|á|m|a|d|é|v|a|	K|a|m|a|d|e|v|a|
C|a|r|o|l|i|n|a:i|	C|a|r|o|l|i|n|a|
B|e|n|z|i|d|a|m|i|n|	B|e|n|z|y|d|a|m|i|n:e|
p|r|o|g|r|a|m|	p|r|o|g|r|a:m|m:e|
G|o|r|n|o|z|a|v|o|d|s|z:k|	G|o|r|n|o|z|a|v|o|d|s|k|
T|á|m|í|r|	T|a|m|i|r|
L|u|p|é|n|y|	L|u|p|e|n|i|
D|o|k|t|o|r|a|n|d|u|s:z|	D|o|c|t|o|r|a|n|d|u|s|
I|l|l|e|g|á:l|i:s|	I|l|l|e|g|a|l|
E|l|e|g|á|n|s|	E|l|e|g|a|n|t|
C|é|l|i|a|	C|e|l|i|a|
R|o|ž|m|i|t|a|l|	R|o|ž|m|i|t|á|l|
K|r|a|k|o|v|á|n|y|	K|r|a|k|o|v|a|n|y|
O|R|F|e|o|m|	O|R|F|e|o|m:e|
W|a|l|k|e|n|r|i|e|d:i|	W|a|l|k|e|n|r|i|e|d|
E|d|e|l|p|e|c|k|	E|d|e|l|p|ö|c|k|
K|r|i|v|o|g|a|s|t|a|n|i|	K|r|i|v|o|g|a|š|t|a|n|i|
O|m|e|p|r|a|z|o|l|	O|m|e|p|r|a|z|o|l:e|
P|e|d|á|l|	P|e|d|a|l|
C|a|r|o|l|i|	K|a|r|o|l|i|
A|k|u|r|a|t|e|r|s|	A|k|u|r|ā|t|e|r|s|
R|a|j|n|a|i|	R|a|j|n|a|y|
B|a|r|b|a|d|o|s:i|	B|a|r|b|a|d|o|s|
F|l|a|v|o|n|o|i:d|o:k|	F|l|a|v|o|n|o|i|d|
B|a|r|a|n|o|v|s|z:k|a|j|a|	B|a|r|a|n|o|v|s|k|a|y|a|
C|a|p|u|a:i|	C|a|p|u|a|
Ü|b|e|r|e|t|s|c:h|e:r|	Ü|b|e|r|e|t|s|c|h|
N|e|b|e|t|t|a|u|i|	N|e|b|e|t|t|a|w|y|
a|l|t|e|n|b|u|r|g:i|	A|l|t|e|n|b|u|r|g|
I|n|d|i|g|ó|	I|n|d|i|g|o|
S|t|a|n|i|s|ł|a|w|	S|t|a|n|i|s|l|a|s|
B|o|d|h|i|m|a|n|d|a|	B|o|d|h|i|m|a|ṇ|ḍ|a|
T|ó|r|a|	T|o|r|a:h|
D|z|i|b|i|l|c|h|a|l|t|ú|n|	D|z|i|b|i|l|c|h|a|l|t|u|n|
K|a|r|n|é|z|i|s:z|	K|a|r|n|e|z|i|s|
B|u|r|g|u|n|d|i:a|	B|u|r|g|u|n|d|y|
b|e|r|i|l|l|i|u|m|	b|e|r|y|l|l|i|u|m|
S|t|a|n|i|s|ł|a|w|	S|t|a|n|i|s|l|a|w|
P|l|a|t|e|	P|l|a|t|è|
R|o|s:a|m|u|n|d|a|	R|o|s|m|o|n|d|a|
N|a|g|y|r|é|v:i|	N|a|g|y|r|é|v|
B|r|i|e|n|z:i|	B|r|i|e|n|z|
K|d|a|t|l|y|n|ó:k|	K|d|a|t|l|y|n|o|
K|u|m|a|m|o|t|ó:i|	K|u|m|a|m|o|t|o|
P|i|e|r|á|k|o|s:z|	P|i|e:r|r|a|k|o|s|
Z|a|n|c|h|e|t:t|a|	Z|a|n|c|h|e|t|a|
