द|	t:h:e|
आ:स|	A:A:S|
ऐ|ध|	A:i|d:h|
ऐ:ट|	A:I:T|
ब|ल|	B:a|l|
ब|ट|	B:u|t:t:e|
ड|ी|	D|e:e|
ड:फ|	D:U:F|
ड|न|	D:u|n|
फ|े|	F:a|y|
ग|ज|	G:a|j|
ग|स|	G|u:s|
ज|प|	j:a|p:a|
म:ई|	m:a:y|
ओ|र|	o|r:e|
औ:द|	o:u:d|
र|े|	R:a|y|
र:ू|	R:u:e|
स|च|	S:a|c:h|
स|ल|	S:a|l|
श|ॉ|	S:h:a|w|
श|े|	S:h:a|y|
उ|द|	U|D|
व|न|	v|a:n|
व|श|	V:a|s:h|
च:ा|	C:h:a|
द|ो|	d|o|
ठ|ग|	t:h:u|g|
ड|म|	D|u:m|
ह|म|	h|u:m|
स|े|	s|e|
न|	n:a|
ज|ी|त|ा|	J|e:e|t|a|
क|ो|ई|	k|o|i|
ट|क|र|ा|न|ा|	T|a:k|r|a|n|a|
त|ू|	t|u|
ह|ी|	H|i|
क|ा|	K|a|
य:ह|	Y:e:h|
घ|र|	G:h:a|r|
ह|ा|	h|a|
ह|ी|	h|e|
ह|ो|	H|o|
क|ी|	K|i|
क|ह|ा|न|ी|	K:a|h|a|n|i|
च|ल|	c:h|a:l|
र|े|	r|e|
न|ौ:ज|व|ा|न|	N:a|u:j:a|w|a|n|
ह|ै|	H|a:i|
ज:़|म|ा|न|ा|	z|a:m|a|n|a|
औ:र|	a:u:r|
द|ा|ग|	D:a|a|g|
द:ौ|र|	D:a:u|r|
औ:र|त|	a:u:r|a:t|
ब|ा|त|	b|a|a:t|
श|ा|न|	S:h:a|a|n|
ए|क|	E|k|
ख|ू|न|	K:h|o:o|n|
स|ु|ख|	S|u|k:h|
ल|ा|ज|	l|a|a:j|
ह|ै:ं|	H|a:i:n|
म|न|	m|a:n|
म|ी|त|	m|e:e|t|
क|े|	K|e|
ब|ा|द|	b|a|a:d|
भ|ल|े|	B:h:a|l|e|
त|ो|	t|o|
च|ल|े|	C:h:a|l|e|
प|र|द|े|स|	P|a:r|d|e|s|
क|ण|	K|a:n|
म|े|ं|	m|e|n|
भ|ग|व|ा|न|	B:h:a|g|w|a|n|
ल:ी|	L:e:i|
य:ू|	Y:u:e|
म|ु|न|	M|u|n|
फ|ो|र|्:ट|	F|o|r|t|
म|े|ं|	M|e|i:n|
द|ी|व|ा|ल|ी|	D|i|w|a|l|i|
क:ब|	K:A:B|
त|क|	t|a:k|
च:ु|प|	C:h:u|p|
र|ह|ू:ँ|ग|ी|	r:a|h|o:o:n|g|i|
श|ो|ल|ा|	S:h|o|l|a|
ग|ो|ल|ा|	G|o|l|a|
श|ो|ल|े|	S:h|o|l|a:y|
ध|ा|र|ा|	D:h|a|r|a|
थ|ा|	t:h|a|
ल|ड़|क|ा|	l|a:d|k|a|
र|ा|ज|ा|	R|a|j|a|
थ|ी|	t:h|i|
ल|ड़|क|ी|	l|a:d|k|i|
ह|र|	h|a:r|
ग|ं|ग|े|	G|a:n|g|e|
ल|व|	l|o:v:e|
ग:ो:व|ा|	G:o|a|
आ:ँ|ग|न|	A:a:n|g|a:n|
अ|ब|	A|B|
ज|ी|न|े|	J|e:e|n|e|
य:े|	Y:e:h|
क|म|ा|ल|	K:a|m|a|l|
ग|य|ा|	G|a:y|a|
त|ा|ज़|ा|	T|a|z|a|
ख|ब|र|	K:h:a|b|a:r|
आ|व|ा|ज:़|	A|w|a:a|z|
त|ा:क:़|त|	T:a|a:q|a:t|
आ:प|	A:A:P|
प|्:य:ा|र|	P|y:a|r|
ख|ा|त|ि|र|	K:h|a|t|i|r|
म|र|्:ज़|ी|	M:a|a:r|z|i|
ब|द|	b|a:d|
ब|द|न|ा|म|	B:a|d|n|a|a:m|
न|ई|	N:a|i|
प|ह|े|ल|ी|	P:a|h|e|l|i|
फ|न|	f|a:n|
ल:ॉ|	L:a:u|
च:ि|र|ा|ग|	C:h:i|r|a|g|
श|ि|म|ल|ा|	S|i|m|l|a|
आ|ँ|ख|े|ं|	A|n|k:h|e|n|
भ:ी|	B:H:I|
इ|ं|स|ा|न|	i|n|s|a|a:n|
ह|ै|ं|	H|a|i|
अ:र:्|ज|ु|न|	A:r|j|u|n|
अ|ँ|ग|ा|र|े|	a|n|g|a|a:r|e:y|
श|ह:ँ|श|ा|ह|	S:h:a|h:a:n|s:h|a|h|
द|ु|न|ि|य|ा|	D|u|n|i|y|a|
स|ि|क|ं:द|र|	S|i|k|a:n:d|e:r|
म|ह|ा|द|े|व|	M:a|h|a|d|e|v|
क|ै|न|े:ड|ा|	C|a|n:a|d|a|
न:ौ|	N:A:U|
ग|्:य:ा|र|ह|	G|y:a|r:a|h|
व:ो|	W:o:h|
म|ं|ज:़|ि|ल|	M:a|n|z|i|l|
न|ह|ी|ं|	n:a|h|i|n|
स:ब|	s:u:b|
उ|स:्:त|ा|द|	U|s:t|a|d|
ख|े|ल|े|ं|ग|े|	K:h|e|l|e|n|g|e|
स|ं|ग:्:र|ा|म|	S:a|n|g:r|a|m|
स:ी|	s:e:a|
म|ा|र|म|ा|र|ा|	M|a|r|m|a|r|a|
ग|ु|ं|ड|ा|र|ा|ज|	G|u|n|d|a|r|a|j|
र|ॉ|ब|ि|न|ह|ु:ड|	R|o|b|i|n|h|o:o:d|
ह|ि|ं|द|ु|स:्:त|ा|न|	H|i|n|d|u|s:t|a|n|
क|ै|न|ट|ॉ|न|म|े|ं|ट|	c|a|n|t|o|n|m|e|n|t|
ब|ा|न|	B|a|a:n|
आ|र|	A|A:R|
प|ा|र|	P|a|a:r|
क:ौ|न|	K:a:u|n|
च:ो|र|	C:h:o|r|
द|ि|ल|	D|i|l|
न|ज़|र|	N:a|z|a:r|
र|ा|त|	R|a|a:t|
स|ा|ल|	S:a|a|l|
ज:ल|	J:A:L|
प|र|ी|	p|a:r|i|
क|र|	K:a|r|
भ|ल|ा|	B:h:a|l|a|
ल|ु|	L|u|
ल|ु:अ|	L|u:a:h|
म|ा|ँ|	M|A|A|
त|ु|म|	t|u|m|
व:ो|	w:h:o|
म|ै:ं|	m|a:i:n|
फ|ू|ल|	P:h|o:o|l|
भ|ू|ल|	B:h|o:o|l|
उ:स|	O:O:S|
ब|ा|प|	B:a|a|p|
छ|ह|	c:h:h|e|
ब|े|ट|े|	b|e|t|e|
म|ा|ल|ी|	M|a|l|i|
ब|ा|र|	B:a|a|r|
क|ह|ो|	K:a|h|o|
म|द|	m|a:d|
भ|र|े|	B:h:a|r|e|
न:ै|न|	N:a:i|n|
स:ौ|	S:A:U|
स|ा|त|	S|a|a:t|
द|ि|न|	d|i|n|
आ:ओ|	A:A:O|
ज|ा|न|	J|a|a:n|
स|ा|स|	S:a|a|S|
आ|ध|ी|	A:a|d:h|i|
म|े|ं|	M|e|i|
र|ा|म|	R|A|M|
ग|ल|ी|	G|a:l|i|
श|्:य:ा|म|	S:h|y:a|m|
ब|ू|	B|U|
अ|ल|ी|	A|l|i|
श|ा|ह|	S:h|a|h|
क़:ल|ं:द|र|	Q:a:l|a:n:d|a:r|
च|ा|र|	c:h|a|r|
क|ा:ँ|ट|े|	K:a|n|t|e|
आ|ई|	a:a:y|i|
य|ा|द|	y:a|a|d|
त|े|र|ी|	T|e|r|i|
प:ह|ल|े|	P:e:h|l|e|
ज:य|	J:a:i|
ज|ग|त|	J:a|g|a:t|
ज|न|न|ी|	J|a:n|a:n|i|
आ|ए|ग|ा|	a:a|y:e|g|a|
फ:ि|र|	P:h:i|r|
आ|ई|	a:a:y|e:e|
ज|ब|	j:a|b|
क|ि|स|ी|	k|i|s|i|
आ|त|ी|	a:a|t|i|
अ|च|ा|न|क|	A|c:h|a|n|a:k|
ब|ि|न|	b|i|n|
म|छ:्|ल|ी|	M:a|c:h:a|l|i|
स:र|	S:i:r|
ज:ॉ|न|	J:o:h|n|
स:ॉ|न|्:स|	S:o:a|n|e:':s|
न|य|ा|	N|a:y|a|
र|ि|श|्:त:ा|	R|i|s:h|t:a|
ल|ा|ज|व|ा|ब|	L|a|j:a|w|a|b|
न|ा:व|	N|A:A:V|
क|ि|न|ा|र|े|	k|i|n|a|r|e|
क|ल|ी|	K:a|l|i|
म|ु|स:्:क|ा|ई|	M|u|s:k|a|i|
म|ु|स:्:क|ु|र|ा|	m|u|s:k|u|r|a|
ए:न|	A:n:n|
र|ै|ं|ड|	R|a|n|d|
ब|े|	b|e|
आ|ब|र|ू|	A:a|b|r|o:o|
ध|न|	D:h:a|n|
द:ौ|ल|त|	D:a:u|l|a:t|
आ|द|म|ी|	a:a|d|m|i|
क:ै|द|ी|	Q:a:i|d|i|
र|ा|ह|ा|	R|a|h|a|
प|ा|ँ:च|	P|a|n:c:h|
श|क:्|ल|	S:h:a|k|a:l|
ज|य|	J|a:y|
व|ि|ज|य|	V|i|j|a:y|
क|ी|	k|e:y|
ट|ॉ|व|र|	t|o|w|e:r|
ल|ा|	L|a|
ब|े|ल|ा|	B|e|l|a|
प|ा|ज:़|	P|a|z|
भ|ा|भ|ी|	B:h|a|b:h|i|
न|व|	n|a:v|
भ|ा|र|त|	B:h|a|r|a:t|
ज|ी|व|न|	J|e:e|v|a:n|
आ:ख|ि|र|	a:k:h|i|r|
उ:म:्|र|	U:m|a:r|
फ|स|ल|	F:a|s|a:l|
न|ं:ब|र|	n|u:m:b|e:r|
क|ह|ा:ँ|	K:a|h:a|n|
ज|ा|	J|A|
र|ह|े|	R:a|h|e|
आ:ई|	A:y:e|
म|ि|ल|न|	M|i|l|a:n|
आ:ँ|ध|ी|	A:a:n|d:h|i|
त|ू|फ|ा|न|	T|o:o|f|a|n|
ज|व|ा|न|	J:a|w|a|n|
क|ि|स|ा|न|	K|i|s|a|n|
म|ि|ल|ो|	M|i|l|o|
स|ज|न|ा|	S:a|j|n|a|
क|्:य:ा|	k|y:a|
ह|ो|ग|ा|	h|o|g|a|
म|े|र|ी|	M|e|r|i|
ब|ा|र|ी|	B:a|a|r|i|
ब|ी|घ|ा|	b|i|g:h|a|
ज़:म|ी|न|	Z:a:m|e:e|n|
क:े|	K|
स|े|र|ा|	S|e|r|a|
क|ल|	K:a|l|
च|ा|द|र|	c:h|a|d|a:r|
म:ै|ल|ी|	M:a:i|l|i|
स|ी|	S|i|
न|ा|	n|a|
ह|ो|न|े|	h|o|n|e|
व|ा|ल|ी|	W|a|l|i|
ए|ण:्:ड|	a|n:d|
ल|ड़|क|े|	l|a:d|k|e|
द|ो|न:ो:ं|	d|o|n:o|
क|ड़|क|े|	K|a:d|k|e|
ड|फ|	D|u:f:f|
क|ू|प|र|	C|o:o|p|e:r|
न|ि|श|ा|न|ी|	N|i|s:h|a|n|i|
ब|े|	B:a|y|
ल:ा:इ|फ|	l:i|f:e|
क|म|्:य:ु|न|ि|ट|ी|	c:o:m|m|u|n|i|t|y|
अ|ल|	a|l|
ह|ि|ल|ा|ल|	H|i|l|a|l|
ब|ो|	b|o:w|
ड:ी|र|ि:क|	D:e:r|r|i:c:k|
छ|ू|	C:h:h|o:o|
म|ं:त|्:र|	M:a|n:t:a|r|
प|ो|स:्:ट|	p|o|s:t|
द|ो|स:्:त|	d|o|s:t|
ग|ु|ल|ा|ब|	G|u|l|a|b|
म|ि|स|ा|ल|	m|i|s|a|a:l|
द:्:व|ा|र|	D:w|a|r|
प|र|े:य:ु|	P|a:r|a:u|
अ|म|्:ब|े|	A|m|b|e|
ज|ॉ|	J|o|
ए|ं|ज|े|ल|	A|n|g|e|l|
प|ो|र:्|ट|	P|o|r|t:e|
प|ो|स:्|ट|	p|o|s|t:e|
इ|म|ा|र|त|	I|m|a|r|a:t|
र:ी|	R:E:I|
ए|ग|्:र:ो|	a|g|r:o|
व|ै:ल|े:स|	W|a:l:l|a:c:e|
ज|ी|	J|i|
च:ा|ह|त|ा|	C:h:a|h|t|a|
ह|म|ा|र|ा|	H:a|m|a|r|a|
स|न|	S:a|n|
प|े|ओ|ल|ो|	P|a|o|l|o|
म:ी|	I:M:I|
ब|च|्:च|े|	B:a|c|h:c:h|e|
द|स|	d|u:s|
ह|ा|थ|	h|a:a|t:h|
ग|ु|न|ा|ह|	g|u|n|a|h|
स|ह|ी|	S:a|h|i|
ह|स|ी|न|ा|	H:a|s|i|n|a|
द|ी|व|ा|न|े|	D|i|w|a|n|e|
द|ि|ल|ो|ं|	D|i|l|o|n|
द|ा|स:्:त|ा|ं|	D|a|s:t|a|n|
न|ा|ग|ि|न|	N|a|g|i|n|
स|प|े|र|ा|	S:a|p|e|r|a|
इ|ं|स|ा|फ|	I|n|s|a|f|
क|ि|स|ी|	K|i|s|e|
ह|ो|त|ा|	H|o|t|a|
आ:ँ|ख|े|ं|	A:a:n|k:h|e|n|
ब|ा|र|ह|	B|a|r:a|h|
न|ो|	n|o|
म|ै|न|्:स|	m|a|n|s|
ल|ै|ं|ड|	l|a|n|d|
अ:ध|ू|र|ी|	a:d:h|u|r|i|
ऑ|न|	o|n|
ट:्:र|े:क|	t:r|a:c:k|
इ|न|ो|व|े:श|न|	i|n:n|o|v|a:t:i|o:n:s|
ड|ी|	d|e|
ज़|े|व|े|न|	Z|e|v|e|n|
प:्:र|ो|व|ि|ं|स:ि:य|न|	P:r|o|v|i|n|c:i|e:n|
ब|ह|ा|द|ु|र|	B:a|h|a|d|u|r|
द|ु|श|्:म|न|	D|u|s:h|m|a:n|
ह|व|ल|द|ा|र|	H:a|w|a:l|d|a|r|
क|ल|ि|य|ा:ँ|	K:a|l|i|y:a|n|
ख|ि|ल|ा|ड़|ी|	K:h|i|l|a|d|i|
म|त|व|ा|ल|े|	M:a|t|w|a|l|e|
प:्:र|े|म|ी|	p:r|e|m|e:e|
श|ि|क|ा|र|ी|	S:h|i|k|a|r|i|
उ|स:्:त|ा|द|	U|s:t|a|a:d|
ड|ग|	D:o:u|g:i:e|
ब:्|र:ा:उ|न|	B|r:o|w:n|
ड:ॉ|	D:o:w|
क|े|म|ि|क|ल|	c:h|e|m|i|c|a:l|
ब|े|च|ा|र|ा|	B|e|c:h|a|r|a|
इ|ल|	E|l|
प|ो|त|ो|स|ी|	P|o|t|o|s|i|
ह|न|ु|म|ा|न|	H|a:n|u|m|a|n|
म|ॉ|र|ि|श:ी|	M:a|u|r|i|c:i:e|
र|ै|स|्:प|ा|	R|a|s|p|a|
ज़|ि|ं:द|ग|ी|	Z|i|n:d:a|g|i|
न|र|	N|A:R|
न|ा|र|ा|य:ण|	N|a|r|a|y:a:n|
न|य|	N:a|y:a|
र|ा|स:्:त|ा|	R|a|s:t|a|
ब|्:र|ा:इ|ट|	b|r|i:g:h|t|
प:्|र:ा:इ|स|	p|r:i|c:e|
ए:ग|	e:g:g|
ब|क|ल|ै|ं|ड|	B|u:c:k|l|a|n|d|
क|ी|प|	k|e:e|p|
अ|ँ|ध|े|र|ा|	a|n|d:h|e|r|a|
र|ि|च|र|्:ड|	R|i|c:h|a:r|d|
ह|े:ड|ल|ी|	H:a|d|l|e:e|
म|त|व:ा|ल|े|	M:a|t:a|w|l|e|
स:न|	s:u:n|
ट:्:र|स|्:ट|	t:r|u:s|t|
प|्:ल|ा|ज:़|ा|	P|l|a|z|a|
ल|ै|ं|ड|र|्:स|	L|a|n|d|e:r|s|
म|स:्:त|ा|न|े|	M:a|s:t|a|n|e|
च:ि|त:्:त|ौ|ड़|	C:h:i|t:t|o|d|
ज|ग|न|्:न|ा|थ|	J:a|g|a:n|n|a|t:h|
म|ह|ा|क|ा|ल|ी|	M:a|h|a|k|a|l|i|
म|र|	m|a:r|
म|ि|ट|े|ं|ग|े|	M|i|t|e|n|g|e|
च|ा:र:्|ल|्:स|	C:h:a|r|l:e|s|
क|ु|ँ|व|ा|र|ी|	k|u|n|w|a|r|i|
क|ु|ँ|व|ा|र|ा|	K|u|n|w|a|r|a|
व:न|	o:n:e|
ल|ि|ब|र|्:ट|ी|	l|i|b|e:r|t|y|
प|्:ल|े:स|	p|l|a:c:e|
इ|ं|त|ज:़|ा|र|	i|n|t|e:z:a|a|r|
क|र|े|ं|ग|े|	k|a:r|e|n|g|e|
अ:म:्|ब|र|्:ट|ो|	U:m|b|e:r|t|o|
र|ा|ध|ा:क़|ृ:ष|्:ण|	R|a|d|h:a:k|r:i:s|h:n:a|
इ|ल|ि|ं|ग|व|र:्|थ|	I|l:l|i|n|g|w:o|r|t:h|
ब|ा|ं|ग|्:ल|ा|द|े|श|	B|a|n|g|l|a|d|e|s:h|
इ|ल|ि|ं|ग|व|ॉ|र:्|थ|	I|l:l|i|n|g|w|o|r|t:h|
म|ह|ा|ल|क:्:ष|्:म:ी|	M:a|h|a|l|a:x|m:i|
ह|ि|ं|द|ु|स:्:त|ा|न|ी|	H|i|n|d|u|s:t|a|n|i|
ट:ू|	t:w:o|
प:्:र|ु|ड|े|न:्:श|ि|य|ल|	P:r|u|d|e|n:t|i|a|l|
म:ा:इ|क:्:र|ो|स|ि|स:्:ट|म|	M:i|c:r|o|s|y|s:t|e:m:s|
ल|ु|'|ल|ु|	L|u|'|l|u|
श|त|-|अ|ल|-|अ|र|ब|	S:h:a|t|-|A|l|-|A|r|a:b|
ब|द|-|न|ा|म|	B:a|d|-|n|a|a:m|
अ|ल|-|म|र|ी|स|	E|l|-|m|a:r|e:e|s|
ए|ल|-|अ|व|्:र|ा|	E|l|-|a|w|r|a|
अ|ल|-|ज़|र|्:क|ा|	e|l|-|Z|a:r|k|a|
व:न|-|स:्:ट|े|प|	o:n:e|-|s:t|e|p|
अ|ल|-|अ|र|े|ब|ि:य:ा|	e|l|-|A|r|a|b|i:a|
अ|ल|-|फ:ै|स|ल|ी|अ|ह|	A|l|-|F:a:i|s|a:l|i|a|h|
स|े|न|्:ट|र|	C|e|n|t|e:r|
आ|भ|ा|	A:a|b:h|a:a|
आ|ड:ा|	A|A:D:A|
आ|ह|ट|	A:a|h:a|t|
आ|ह|ी|	a:a|h|i|
आ|श|ा|	A:a|s:h|a:a|
आ|भ|ा|	A|b:h|a|
आ|द|म|	A|d|a:m|
ए|ड|ी|	A|d|i:e|
ए|ड|ी|	a|d|y|
ए|ग|ी|	A|g:g|i:e|
आ|ह|ड|	A|h:a|d|
ऐ|ग|र|	A:i|g|h:a:r|
ऐ|थ|ल|	A:i|t:h|a:l|
अ|ज|य|	A|j|a:y|
अ|ल|म|	A|l|a:m|
आ|ल|म|	A|l|a:m|
ए|ल|ी|	a|l:l|y|
अ|म|ल|	A|m|a:l|
अ|म|य|	a|m|a:y|
ए|म|ी|	A|m|y|
ए|न|ा|	A|n|a|
औ|ल|ख|	A:o:u|l:a|k:h|
आ|र|ा|	A|R|A|
अ|र|ब|	A|r|a:b|
अ|र|ल|	A|r|a:l|
अ|र|ु|	A|R|U|
अ|स|द|	A|s|a:d|
आ|श|ा|	A|s:h|a:a|
औ:र|व|	a:u:r|a:v|
ऑ:र|म|	A:u:r|u:m|
औ:व|ा|	A:u:w|a|
ब|ह|ू|	B:a|h|u|
ब|न|न|	B|a:n|a:n|
ब|ं|ग|	b|a:n|g|
ब|क|ी|	B:a|q|e:e|
ब|क|ी|	B:a|q|i|
ब|स|ई|	B:a|s|a:i|
ब|स|र|	B:a|s|a:r|
ब|ी|च|	b|e|a:c:h|
ब:ह|न|	B:e:h|a:n|
ब|े:ल|	B|e:l:l|
भ|च|उ|	B:h:a|c:h|a:u|
भ|ग|त|	B:h:a|g|a:t|
भ|ज|न|	B:h:a|j|a:n|
भ|ा|म|	B:h|a|m|
भ|र|त|	B:h:a|r|a:t|
भ|ा:उ|	B:h:a|u|
भ:े|ल|	B:H:E|L|
भ|ो:क|	B:h|o:k:e|
क|ा|र|	C|a:r|r|
च|ा|ड|	C:h:a|a|d|
छ|ग|न|	C:h:a|g:g|a:n|
च|ह|ल|	C:h:a|h|a:l|
च|म|न|	C:h:a|m|a:n|
च|र|स|	c:h|a:r|a:s|
च:ै|स|	C:h:a|s|
च:ै|ज़|	C:h:a|z|
च|ी|ख|	c:h|e:e|k:h|
च|े|र|	c:h|e|r|
च|े:स|	c:h|e:s:s|
छ|ब|ि|	C:h:h|a:b|i|
छ|प|ी|	C:h:h|a:p|i|
च|ि|ल|	c:h|i|l:l|
च|ी|न|	C:h|i|n:a|
च|ि|प|	c:h|i|p|
क|ु:क|	c|o:o:k|
क|ट|र|	c:u|t:t:e|r|
द:ा|द|	D:A:A|D|
द|ग|न|	D:a|g|a:n|
द|ै|ई|	D|a:i|':e:i|
द|ै:ई|	D:a|i:e:i|
द|े:ल|	D|a:l:e|
ड|ं|ग|	d|a:n|g|
द|र|ा|	D|a:r|a|
द|ा|स|	D|a|s|
ड|ै|श|	D|a|s:h:a|
द|व|ी|	D:a|w|i|
ड:ॉ|न|	d:a:w|n|
द|य|ा|	D|a:y|a|
ड|े:ज|	d|a:y:s|
द|ी|न|	D|e:e|n|
ध|ा|म|	D:h|a|m|
ध|म|न|	D:h:a|m|a:n|
ध|र|ा|	D:h:a|r|a|
ध|व|न|	D:h:a|w|a:n|
ध:ु|न|	D:h:o|o:n|
ढ:ो|ट|	d:h:o|t|
ड|ॉ|न|	d|o|n|
द|ॉ|न|	d|o|n|
ड|ो:र|	D|o:r:e|
ड|ॉ|ट|	d|o|t|
ड:ू|ग|	D:o:u|g|
द|ु|आ|	D|u|a|
ई|ग|ल|	E:a|g|l:e|
ई:र|ा|	e:a:r|a|
ई:ड|न|	E:d:a|n|
ए|ड:ी|	E|d:d:y|
ए|ड|ी|	E|d|i:e|
ई|स|ा|	E:e|s|a:a|
ए|ग|न|	E|g|a:n|
ए|थ|न|	E|i:t:h|n:e|
ए|ल|न|	E|l|a:n:a|
इ:म|स|	E:M:A|S|
ए:म|ी|	E:m:m|y|
ए|न|ल|	E|n:e|l|
ए|र|ी|	E|r|i:e|
ई:श|ा|	E:s:h|a|
ए|ट|ा|	E|T|A|
इ|व|ा|	E|w|a|
ए:य|ब|	E:Y:A|B|
ई:द|ी|	E:y:d|i:e|
फ|ह|द|	F:a|h|d|
फ:ै|ज़|	F:a:i|z|
फ|त|ह|	F|a:t|a:h|
फ|त|ह|	F:a|t:t:a|h|
फ:ॉ|व|	F:a:u|v:e|
फ:ॉ|न|	f:a:w|n|
फ|े:ल|	f|e:l:l|
फ|ि|न|	F|i|n:n|
फ|ॉ|क|	F|o|c:h|
फ:ॉ|ड|	F:u:a|d|
ग|ग|न|	G:a|g|a:n|
ग|े:ल|	G|a:i:l|
ग|ल|न|	G|a:l|a:n|
ग|ै:ल|	G|a:l:e|
ग|म|न|	G|a:m|a:n|
ग|ा:य|	g:a|y|
ग|ै|थ|	G:h|a:i|t:h|
ग|ौ:थ|	G:h:a|u:t:h|
ग|ज़|ल|	G:h:a|z|a:l|
ग|ि|ल|	G|i|l:l|
ग|ो:र|	G|o:r:e|
ग|ा|य|	g|u|y|
ह|न|ी|	H|a:n|e:e|
ह|न|ी|	H|a:n|i|
ह|ं|स|	H:a|n|s|
ह|र|ी|	H|a:r|e:e|
ह|स|न|	H:a|s|a:n|
ह|ी|र|	H|e:e|r|
ह|ि|म|	h|i|m|
ह|ो:ड|	H|o:a:d|
ह|ॉ|क|	H|o|c:h:e|
ह|न|ी|	h|o:n|e:y|
ह|ु:क|	h|o:o:k|
ह|ू|र|	h|o:o|r|
ह|ु|द|	H|U|D|
ह|स|ल|	h|u:s|t:l:e|
इ|ह|ा|	I|H|A|
इ|क|ी|	i|k|i|
इ|ल|ा|	I|L|A|
इ|म|द|	I|m|a:d|
इ|न|स|	i|n:a|s|
इ|स|ा|	I|s|a|
