ก:ง|ต|์|,|	C:o:m|t|e|,|
ก|ล|อ|ร|ิ:โ:อ|ซ|ั|ส|	G|l|o|r|i:o|s|u|s|
ก|ล|อ|ส|เ:ซ:ิ|ป|	G|l|o|s|s:o|p|
ก|ล|อ|ส|เ:ต|อ:ร:์|	G|l:o|u:c:e|s|t|e:r|
ก|ล|อ:เ:ร|ี:ย|	G|l:o|r:i|a|
ก|ล|อ|โ:ค|ด|อ|ต|	G|l|a|u:c:o|d|o|t|
ก|ล|อ|โ:ค|เ:ฟ|น|	G|l|a|u:c:o|p:h:a|n:e|
ก|ล|อ|โ:ค|ไ|น|ต|์|	G|l|a|u:c:o|n|i|t|e|
ก|ล|ั|ว|ซ|อ:น:เ|น|	C|l|o|i|s|o|n:n:e|
ก|ล|ั|ส|เ:ต|อ:ร:์|	G|l|a|i:s|t|e:r|
ก|ล|ั:๊|ก|เ:ม|ิ:่:น|	G|l|u|c:k|m|a:n|
ก|ล|า|ส|	G|l|a|s:s|
ก|ล|า|ส|ส:์|,|	G|l|a|s|s|,|
ฟ:ิ|ล|ิ|ป|	P:h:i|l|i|p|
ก|ล|า|ส|เ:ซ|อ:ร:์|	G|l|a|s|s|e:r|
ก|ล|ิ:ก|เ:ม:ิ|น|	G|l|i:c:k|m:a|n|
ก|ล|ิ|ด|เ:ด|น|	G|l|i|d|d|e:n|
ก|ล|ิ:น|	G|l|y:n:n|
ก|ล|ิ:๊|ก|	G|l|i|c:k|
ก|ล|ี|ด|	G|l|e:e|d|
ก|ล|ี|ส|ส|ั|น|	G|l|i|s|s|o|n|
ก|ล|ี|เ:ซ|ช|ั:น|	G|l:e|i|z|a:t|i:o:n|
ก|ล|ี|เ:ซ:อ|ร|ี|น|	G|l|y|c:e|r|i|n|
ก|ล|ี|เ:ซ:อ|ร|ี|น|	G|l|y|c:e|r|i|n:e|
ก|ล|ี|เ:ซ|ิ:่:น|	G|l|e:e|s|o:n|
ก|ล|ี|แ:ม|น|	G|l|e|e:m:a|n|
ก|ล|ู|	G|l|u:e|
ก|ล|ู|ท|า|เ:ม|ต|	G|l|u|t|a|m|a:t:e|
ก:ล:ู|โ:ค|ส|	G:l|u:c:o|s:e|
ก|ล:ู|โ|ค|ไ:ซ|ด|์|	G|u|l|c|o:s:i|d|e|
ก:ล:๊|อ|ก:ซ:ิ|เ:น|ี|ย|	G:l|o|x:i|n|i|a|
ก|ว|ม|	G|u:a|m|
ก|ว|า|ร:์|เ:ด|ี|ย:ร:์|	G|u|a|r|d|i|a|
ก|ว|ิ|น|	G|w|i|n|
ก|ว|ิ|น|น:์|	G|w|i|n|n|
ก|ว|ิ|น|อ|น|	G|u|i|n|a|n|
ก|ว|ิ|โ:ด:้|	G|u|i|d:o|
ก|อ|ง|เ:ก|ร|ิ:ส|	G|i|n|g|r:a|s|
ก|อ|จ|อ|น|	G|a|j|a|n|
ก:อ|ซ|	G:a:u|z:e|
ก|อ|ด|ด|า|ร:์|ด|,|	G|o|d|d|a|r|d|,|
ร|อ|เ:บ:ิ|ร:์|ต|	R|o|b:e|r|t|
เ:อ:ช|.|	H|.|
ก|อ|ด|ฟ|ร|ี:ย:์|	G|o|d|f|r|e:y|
ก|อ|ด|ว|ิ|น|	G|o|d|w|i|n|
ก|อ|ต|ต:์|ฟ|ร|ี|ด|	G|o|t|t|f|r|i:e|d|
ก:อ|ต|ต:์|ล|ี|บ|,|	G:r:o|t|t|l|i:e|b|,|
อ:ะ|ด|อ|ล:์|ฟ|	A|d|o|l|p:h|
ก|อ|ต|ต:์|ว|า|ล:ต:์|	G|o|t|t|w|a|l:d|
ก|อ|ต|แ:ล|น|ด:์|	G|o|t|l|a:n|d|
ก|อ|ท|ิ|ก|	G|o|t:h|i|c|
ก|อ|น|ซ|า|เ:ล:ิ|ส|	G|o|n|z|a|l:e|s|
ก|อ|น|ซ:ี:่|	G|o|n|z:i|
ก|อ|น|ด:์|ว|า|น|า|	G|o|n|d|w|a|n|a|
ก|อ|น|ด:์|ว|า|น|า|แ:ล|น|ด:์|	G|o|n|d|w|a|n|a|l|a:n|d|
ก|อ|ฟ|	G|o|u:g:h|
ก|อ|ฟ|ฟ|ิ|น|,|	G|o|f|f|i|n|,|
เ:จ|อ:ร:์|ร|ี|	G|e:r|r|y|
ก|อ|ม|	G|o|m:m:e|
ก|อ|ม|บ|ร|ิ|ก|	G|o|m|b|r|i|c:h|
ก|อ|ม|เ:พ|ร:์|ต|ส|	G|o|m|p|e|r:t|z|
ก|อ|ม|เ:พ:ิ|ร:์|ส|	G|o|m|p:e|r|s|
ก|อ|ย:น:์|ส|	G|o|i:n|s|
ก|อ|ย|เ:ท:อ|ี|น|	G|o|i|t:e|i|n|
ก|อ|ร|ิ|ล|ล|า|	G|o|r|i|l|l|a|
ก|อ|ร:ิ:่|ง|	G|o|r:i|n:g|
ก:อ|ร:์|	G:o:a|r|
ก|อ|ร|์|	G|o|r|e|
จ:ู:เ|น:ี:ย|ร:์:,|	J|r:.|,|
แ:อ|ล|	A|l|
ก|อ|ร:์|ก|ี|	G|o|r|k|y|
ก|อ|ร:์|ก|ี|,|	G|o|r|k|y|,|
อ:า|ร:์|ช|ี|ล|	A|r|s:h|i|l:e|
ก|อ|ร:์|ค|ิ|น|	G|o|r|k|i|n|
ก|อ|ร:์|ด|	G|o|r|d|
ก|อ|ร:์|ด|อ|น|	G|o|r|d|o|n|
ก|อ|ร:์|ด|อ|น|	G|o|r|d|o|n|
อ:ั:ล|ล:์|พ|อ|ร:์|ต|	A:l|l|p|o|r|t|
ก|อ|ร:์|ด|อ|น|,|	G|o|r|d|o|n|,|
เ:ด|ก:ซ:์|เ:ต|อ:ร:์|	D|e:x|t|e:r|
ก|อ|ร:์|ด|ิ|ส|	G|o|r|d|i|s|
ก|อ|ร:์|ด|ิ|เ:ม|อ:ร:์|,|	G|o|r|d|i|m|e:r|,|
เ:น|ด|ี|น|	N|a:d|i|n:e|
ก|อ|ร:์|ด|ี|,|	G|o|r|d|y|,|
เ:บ|อ:ร:์|ร|ี|	B|e:r|r|y|
ก|อ|ร:์|ต|	G|o|r|t|
ก|อ|ร:์|ต|เ:น|อ:ร:์|	G|o|r|t|n|e:r|
ก|อ|ร|์:บ:ู|ซ|ี|เ:ย:,|	C|o|r|b:u|s|i:e|r:,|
เ:ล:อ|	L:e|
ก|อ|ร:์|ม|ล|ี:ย:์|	G|o|r|m|l|e:y|
ก|อ|ร:์|ร|ี|่|	G|o|r|r|i|e|
ก|อ|ร|์|ส|	G|o|r|e|s|
ก|อ|ร:์|ส|ก|ี|	G|o|r|s|k|y|
ก|อ|ร:์|ส|ต|	G|o|r|s|t|
ก|อ|ร:์|เ:ซ|ิ|ช|	G|o|r|s|u|c:h|
ก|อ|ร:์|เ:ต|อ:ร:์|	G|o|r|t|e:r|
ก|อ|ร:์|เ:ต|ิ:้:น|	G|o|r|t|o:n|
ก|อ|ร:์|เ:ม:ิ|น|	G|o|r|m:a|n|
ก|อ|ร:์|เ:ร|ล|	G|o|r|r|e:l:l|
ก:อ|ร:์:เ|ล|ย:์|	G:o:u|r|l:a|y|
ก|อ|ร:์|เ:อ:ิ|ม|	G|o|r|h:a|m|
ก:อ|ล|	G:a:u|l|
ก:อ|ล|ด:์|	G:a:u|l|d|
ก|อ|ล|ล:่:า|	G|o|l|l:a|
ก|อ|ล:ล:์|	G|a|l:l|
ก|อ|ล|ั|น|ต:ี:้|	G|a|l|a|n|t:e|
ก|อ|ล|เ:ล|อ:ร:์|	G|o|l|l|e:r|
ก|อ|ล|เ:ล:ิ|น|	G|a|l|l:e|n|
ก|อ|ล|เ:ล|ิ:่:น|	G|o|l|l|a:n|
ก|อ|ล:์|ต|	G|a|l|t|
ก|อ|ล:์|ฟ|	G|o|l|f|
ก|อ:ว:์|	G|a:w|
ก|อ|ส|	G|o|s:s|
ก|อ|ส|ซ|ิ:จ|	G|o|s|s|a:g:e|
ก|อ|ส|ซ|ิ|ป|	G|o|s|s|i|p|
ก|อ|ส|ล|ิ|น|	G|o|s|l|i|n|
ก|อ|ส|ส|์|	G|o|s|s|e|
ก|อ|ส|เ:ด|ิ:้:น|	G|o|s|d|e:n|
ก|อ|ส|เ:น|ิ:ล|	G|o|s|n|e:l:l|
ก|อ|เ:ช|ิ:่:น|	G|o|s:h:e|n|
ก|อ|เ:ร|ม|ิ|ก|ิ|น|	G|o|r|e:m|y|k|i|n|
ก|อ:เ:ร|ิ|ล|	G|o|r|l:e|
ก|อ|เ:ร|ิ:่:น|	G|o|r|e:n|
ก|อ|เ:อ:ิ|น|	G|a:u:g|h:a|n|
ก|อ|โ:ช|	G|o|s:h:o|
ก|ะ|ร|ั|ต|	K|a|r|a|t|
ก|ั:ก|เ:ค|ิ:น|	G|u:c:k|e|n|
ก|ั:ง|ต|็:อ|ก|	G|a:n:g|t|o|k|
ก|ั|ด|ม|ั|น:ไ|ด|ต|์|	G|u|d|m|u|n|d|i:t|e|
ก|ั|ด:เ|จ|ิ:้:น|	G|u|d|g:e|o:n|
ก|ั:ต|ม|อ|เ:ค|อ:ร:์|	G|u:t:t|m|a|c:h:e|r|
ก|ั|ต|ร:ู|	G|e|t|r:e:u|
ก|ั|ต|เ:ต|ิ:้:น|เ:ท:ิ|ก|	G|u|t|t|e:n|t:a|g|
ก|ั|ต|เ:ม:ิ|น|น:์|	G|u|t|m:a|n|n|
ก|ั|ต|เ:ม|ิ:่:น|	G|u|t|m|a:n|
ก|ั|ต|แ:ซ:น|น|ี|ก:้:า|	G|a|z|z:a|n|i|g:a|
ก|ั:ท|ร|ี|,|	G|u:t:h|r|i:e|,|
ว:ู|ด:ด:ี|	W:o:o|d:y|
ก|ั|น|ก|า|ร:์|	K|u|n|g|a|r|
ก|ั|น|ด:ี:้|	G|u|n|d:y|
ก|ั|น|ด:์|	G|u|n|d|
ก|ั|น|ด:์|เ:ล:ิ|ก|	G|u|n|d|l:a|c:h|
ก|ั|น|น|า|ร:์|ส|ั|น|	G|u|n|n|a|r|s:s|o|n|
ก|ั|น|น|ิ|ส|ั|น|	G|u|n|n|i|s|o|n|
ก|ั|น|น|ิ:่|ง|	G|u|n|n|i|n:g|
ก|ั|น|น:่:า|ร:์|	G|u|n|n:a|r|
ก|ั|น|ว|ิ|ล|	G|o|n|v|i|l:l:e|
ก|ั|น|ส|ั|น|	G|u|n|s|o|n|
ก|ั|น|ส|เ:ต|ิ:้:น|	G|u|n|s|t|o:n|
ก|ั|น|เ:ด:อ|ร:ี:่|	G|u|n|d|r:y|
ก|ั|น|เ:ด|อ:ร:์|ส|ั|น|	G|u|n|d|e:r|s|o|n|
ก|ั|น|เ:ด|อ:ร:์|เ:ซ:่|น|	G|u|n|d|e:r|s:e|n|
ก|ั|น|เ:ต|อ:ร:์|	G|u|n|t|e:r|
ก|ั|น|เ:น:ิ|ล|ส:์|	G|u|n|n:e|l|s|
ก|ั|น|แ:ท|ร|ม|	G|u|n|t|r:a|m|
ก|ั|ป|ต:ั|น|	C|a|p|t:a:i|n|
ก|ั|ป|ท|ิ|ล:ล:์|	G|u|p|t|i|l:l|
ก|ั|ป|ป|ี:้|	G|u|p|p|y|
ก|ั|ฟ|ฟ|ี:่|	G|u|f|f:e|y|
ก|ั|ม|	G|u|m|
ก:ั|ม|ซ|ิ|น|	K:h:a|m|s|i|n|
ก|ั|ม:ป:์|	G|u|m:p|
ก|ั|ม|เ:บ:ิ|ล|	G|u|m|b:e|l|
ก|ั|ม|เ:ม|อ:ร:์|	G|u|m|m|e:r|
ก|ั|ม|โ:บ|ท:ิ|ล|	G|u|m|b|o:t:i|l|
ก|ั|ม|โ|ป|	C|a|m|p|o|
ก|ั|ล|ก|ั|ต|ต|า|	C|a|l|c|u|t|t|a|
ก|ั|ล|ด:ี:้|	G|a|l|d:i|
ก|ั|ล:ฟ:์|	G|u|l:f|
ก|ั|ล|ล|ิ|ก|เ:ซ|ิ:่:น|	G|u|l|l|i|k|s|e:n|
ก|ั|ล|ล|ิ|เ:ว|อ:ร:์|	G|u|l|l|i|v|e:r|
ก:ั:ล|ล:ิ:่|ง|	G:a|l:i|n:g|
ก|ั|ล|ล:ี:่|	G|u|l|l:y|
ก|ั|ล:ล:์|	G|u|l:l|
ก|ั|ล|ว|า|น|ี|,|	G|a|l|v|a|n|i|,|
ล|ุ|ย|จ|ี|	L|u|i|g|i|
ก|ั|ล|ว|ี:โ|น|,|	C|a|l|v|i|n:o|,|
อ:ี|ต|า|โ|ล|	I|t|a|l|o|
ก:ั:ล|เ|ค|ิ|ล|	G|o|k|u|l|
ก:ั:ล|เ:ล:อ|ต:ี:้|	G:a|l:a|t:y|
ก:ั:ล|เ|ว|ย:์|	G:a|l|w:a|y|
ก:ั:ล|โ:ล:่|	G:a|l:o|
ก|ั|ว|ก|า|เ:ม|ล|า|	G|u|a|g|a|m|e:l|a|
ก|ั|ว|ด|า|ล|ู:ป|	G|u|a|d|a|l|u:p:e|
ก|ั|ว|ร|า|ช|่:า|	G|u|a|r|a|c:h|a|
ก|ั|ว|ว|า|	G|u|a|v|a|
ก|ั|ว|เ:ด:อ|ล|ู|ป|	G|u|a|d:e|l|o:u|p:e|
ก|ั|ว|เ:ต|ม|า|ล|า|	G|u|a|t|e:m|a|l|a|
ก|ั|ส|	G|u|s|
ก|ั|ส|ซ|ิ:ต|	G|u|s|s|e:t:t|
ก|ั|ส|ต|ิ|น|	G|u|s|t|i|n|
ก|ั|ส|ต|ี|น|	G|u|s|t|i|n:e|
ก|ั|ส|ต:ี:้|	G|u|s|t:y|
ก|ั|ส|ต|์|	G|u|s|t|e|
ก|ั|ส|เ:ต|อ:ร:์|	K|u|s|t|e:r|
ก|ั|ส|เ:ท:ิ|ฟ|ส|ั|น|	G|u|s|t:a|f|s|o|n|
ก:ั:๊|ก|ก|ิ|ส|เ:บ:ิ|ร:์|ก|	G:u|g|g|i|s|b:e|r|g|
ก:ั:๊|ด|ด:อ:ย|	G:o|d|o:y|
ก:ั:๊|บ|	G:u|b:b|
ก:ั:๊|บ|บ|ิ|น|ส:์|	G:u|b|b|i|n|s|
ก:ั:๊|บ|เ:ซ|อ:ร:์|	G:u|b|s|e:r|
ก:ั:๊|ป|	G:u|p|
ก:า|ก|ี|	K:h:a|k|i|
ก|า|ด|า|	G|a|d|a|
ก|า|ด:ู|เ:ซ|็|ก|	G|a|j:d:u|s|e|k|
ก|า|ต|ม|า|น|ด|ุ|	K|a|t|m|a|n|d|u|
ก|า|ต|า|ล|ั|น|	C|a|t|a|l|a|n|
ก|า|น|า|	G|h:a|n|a|
ก|า|บ|อ|ง|	G|a|b|o|n|
ก|า|บ|ั|น|	G|a|b|a|n|
ก|า|ม|า|	G|a|m|a|
ก|า|ม|ู|,|	C|a|m|u:s|,|
อ:ั:ล|แ:บ|ร:์|	A:l|b:e:r|t|
ก|า|ย|	G|u|y|
ก:า|ร|ั|น|ต|ี|	G:u:a|r|a|n|t|e:e|
ก|า|ร|ั|ว|	G|a|r|u|a|
ม:ี:เ|ก|ล|ั:น|เ:จ:โ|ล|	M:i|c:h|e|l:a:n|g:e|l:o|
เ:ม|ร:ี|ซ|ี|	M|e:r:i|s|i|
ด|า|	D|a|
ก|า|ร|ิ|ม|	K|a|r|i|m|
ก|า|ร:ี|ก|	G|a|r:r:i|g:u:e|
ก:า|ร|ี|น|ี:่|	G:u:a|r|i|n|i|
ก|า|ร:ี:่|	G|a|r:i|
ก|า|ร:์|	K|a|r|
ก|า|ร:์|ก|า|โ:น:้|	G|a|r|g|a|n:o|
ก|า|ร:์|ค|ิ|ก|	G|a|r|c:h|i|k|
ก|า|ร:์|ซ|่|า|	G|a|r|s|i|a|
ก|า|ร:์|ด|	C|a|r|d|
ก|า|ร:์|ด|ิ:้:น|	G|a|r|d|i:n|
ก:า|ร:์|ด|ี|อ:า|โ:น:่|	G:u:a|r|d|i|a|n:o|
ก|า|ร:์|ด|เ:น|อ:ร:์|	G|a|r|d|n|e:r|
ก|า|ร:์|ต|	G|a|r|t|
ก|า|ร:์|ต|ู:น|	C|a|r|t|o:o:n|
ก|า|ร:์|ต|เ:น|อ:ร:์|	G|a|r|t|n|e:r|
