ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
ע:ו:ב|ד:י:ה|	O|v:a:d:i:a|
פ|א|ל|י|ס|ט|ר|	P|a|l:l|i|s|t|e:r|
ק:א|י:ט:ל|	K|e:i:t:e:l|
ט|י|ק|ו|פ|י|א|	T|i|k|o|p|i|a|
א:י:פ|י|ל|	I:f|i|l|
ג|ר|י|ר|	G|r|i|e:r|
פ|ר:י|ד|מ:א:ן|	F|r:i:e|d|m:a:n:n|
נ|ו|ר|פ|ו|ל|ק|	N|o|r|f|o|l|k|
ד|ב|ו|ר|ה|	D|v|o|r|a|
ד|ו|צ:':ב|	D|o|t:c:h:e:v|
ל|ו|ב|ו|מ|י|ר|	Ľ|u|b|o|m|i|r|
ל|א|פ|ו|י|נ|ט|י|	L|a|f|u|e|n|t|e|
ש|ט|א|ו|ד|י|נ|ג|ר|	S|t|a|u|d|i|n|g|e:r|
ס|י|מ|י|א|ן|	S|i|m|e|o|n|
מ|ק:ס|י|ק|ו|	M:e|x|i|c|o|
נ|ג:'|א|ח|	N:a|j|a|h|
ה:ו:ג|י:נ:ס|	H:u:y:g:e|n:s|
ד|א:ג:ר|	D|a:g:h:e:r|
ט|י|ט|ו|	T|i|t|u|
ב|ו|ר|ג:י:ס|	B|u|r|g:e:s:s|
ב|א|ר|ט|ל|ט|	B|a|r|t|l:e|t:t|
א:ר:ד|ב|י|ל|	A:r:d:a|b|i|l|
א|נ|א|ט|ו|ל|י|	A|n|a|t|o|l|y|
ט|י|ר|א|ס|ו|מ|א|	T|e|r|a|s|o|m|a|
א|ד|ו|ל|ף|	A|d|o|l|f|
מ|א|ג|ד|ה|	M|a|g|d|a|
ד|ו|נ|א|ט|י|ל|ו|	D|o|n|a|t|e|l:l|o|
מ|א|ז|א|ר|י|ק|	M|a|s|a|r|y|k|
ס|א|ק|ו|ר|א|י|	S|a|k|u|r|a|i|
ס:ע:ר|י|	S:a:a:r|i|
פ|ו|ל|ק|	F:a|u|l|k|
מ|ו|ר|א|ל|י|ס|	M|o|r|a|l|e|s|
צ:':מ|ר|א|ן|	C:h:a:m|r|a|n|
ב|ר|נ|א|ד:ו:ט|	B|e:r|n|a|d:o:t:t:e|
ש|א:כ:ט|	S:c:h|a:c:h:t|
ס:ו|י:י:ל|	S|w:a:i:l:e|
ס|ו|א|נ|ק|	S|w|a|n|k|
ר:ו:נ|ן|	R:o:n:e|n|
ס:נ:ט|י|א|ג|ו|	S:a:n:t|i|a|g|o|
מ|א|ט:א:ו|	M|a|t:t:e:o|
ק:א:ס|י|ן|	C:a:s:s|i|n|
ד:ו:ם|	D:o:o:m|
ק|א|נ|י|ז|א|ר|י|ס|	C|a|n|i|z|a|r|e|s|
ז|י|ט|ל|י|ץ|	Z|e|t|l|i|t:z|
ס|ט:ו:נ|ט|ו|ן|	S|t:a:u:n|t|o|n|
י|י:ב|ו|ן|	Y|v|o|n:n:e|
א|ו|ס|ט|ר|א|ל|ו:פ:י|ת:ק:ס|	A|u|s|t|r|a|l|o:p:i:t|h:e:c:u:s|
ק|ו|ב|ו|ש|י|	K|o|b|u|s:h|i|
ה|י|ט|מ|א|ן|	H|i|t|m|a|n|
ר|ו|ש|א|ן|	R|o|s:h|a|n|
ר:י:ק|א|ר|ד|ו|	R:i:c:c|a|r|d|o|
ו|א|ל|ק|ו|ט|	W|a|l|c|o|t:t|
א|ס|ק|ו|ל|י|	A|s|c|o|l|i|
ע|י|א|ן|	A|y|a|n|
ה|י|פ|ו|ל|י|ט|ו|	H|i|p|o|l|i|t|o|
ה:י:נ|ק|ס|	H:e:y:n:c|k:e|s|
ג|א|י|ט|א|ן|	G|a|e|t|a|n|
ר|ו|מ|א|ר|י|ן|	R|o|m|a|r|i|n|
ג|י|א|ן|	G|y|a|n|
פ|א|ט|י|נ|ס|ו|ן|	P|a|t:t|i|n|s|o|n|
ק|ו|י|ט|	K|u|y|t|
ס:מ:י|ט:נ:א|	S:m|e:t:a:n:a|
ג|א|ב|ר|י|א|ל|ה|	G|a|b|r|i|e|l|a|
פ|י|ו|ד|ו|ר|	F|e|o|d|o|r|
ס|י|ר|ב:ר|	S|e|r|v:e:r|
ק|ו|ר|ל|	C|u|r|l|
ע:':ג|מ|י|	A:j|a:m|i|
נ|ו|ר|ת:א:ם|	N|o|r|t:h:a:m|
ה|י|ר|ו|ט|א|	H|i|r|o|t|a|
מ|ו|ב|א|ר|ק|	M|u|b|a|r:e|k|
מ:ס|א|ל|י|	M:e:s:s|a|l|i|
ס|פ|י|ר|ו|נ|י|	S|p|e|r|o|n|e|
מ|א|ד|י|ס|ן|	M|a|d|i|s|o:n|
ו|י|י|ק|א|ר|ט|	W|e|i|k|a|r|t|
ג|א|ז|י|א|נ|ט|פ|	G|a|z|i|a|n|t:e|p|
פ|ו|ל|ו:ק|	P|o|l:l|o:c:k|
ק|א|ר|ו:ל:א|י|נ|א|	C|a|r|o:l|i|n|a|
ב|ו:ז:ק|	B|u:z:e:k|
ב|י|ל|א|	B|e|l|a|
ס|ו|ד|ו|ק|ו|	S|u|d|o|k|u|
ו|י|ס|ק|ו|נ|ס|ן|	W|i|s|c|o|n|s|i:n|
ט|י|נ|ו|ר|י|ו|	T|e|n|o|r|i|o|
ט|נ|ז|א|נ|י|א|	T:a|n|z|a|n|i|a|
מ|א|צ|'|ו|	M|a|c|h|o|
מ|א|ר|ק|ו|מ|א:נ:י|	M|a|r|c|o|m|a:n:n:i|
ס|פ|י|ג:ל:ר|	S|p|i|e:g:l:e:r|
ו:א|י:ז|מ|א|ן|	W|i:s:e|m|a|n|
ב|י|ר|נ|ר|	B|e|r|n|e:r|
מ|י|ל|ו|ט|י|נ|ו|ב|י:ט:ש|	M|i|l|u|t|i|n|o|v|i:c|
ס:נ:י|	C:e:n:i|
ק|ו|ב|א|ל|י|ו|ב|	K|o|v|a|l|y|o|v|
נ|י|ה|ו|ד|א|	N|e|h|o|d|a|
נ:י:ל|א|ס|י|	N:y:i:l|a|s|i|
ה|ו|צ|'|ו|	H|o|c|h|u|
מ|ל:ח:ם|	M|e:l:h:e:m|
ר:ו:ל|	R:u:h:l|
ו:א:ר|ט|	V:a:a:r|t|
ה|ו|מ|א|י:ו:ן|	H|o|m|a|y:o:u:n|
ג:'|ר|א|ר|ד|	G|e:r|a|r|d|
ב|ק|ס|י|	B|k|s|y|
ה|א|ס|י|ק|	H|a|s|e|k|
ז:י:י|ב:י:א|ר|	X|a:v:i:e|r|
ס|ט|י|ו|א|ר|ט|	S|t|e|w|a|r|t|
ב|ו|ס|ו|ן|	B|u|s|o|n|
ד|ב|י|	D:e|b|y|
א|ר|ל|י|ן|	A|r|l|e|n|
ש:ר:ג|א|	S:h:r:a:g|a|
ר|י|ג|ו|ב|ר|ט|	R|i|g|o|b|e:r|t|
א|נ|ד|ו|	A|n|d|o|
ג:':א|נ|ק|ו|	J:u|n|k|o|
ק|י|מ|י|	K|i|m|i|
א|ל|ב|א:י:א|ט|י|	A|l|b|a:y:y:a|t|i|
מ|י|מ|י|	M|i|m|i|
מ|א|ת:א:י|	M|a|a:t:h:a:i|
ד|ס|א|י|	D:e|s|a|i|
מ|י|ר|י|א|ם|	M|y|r|i|a|m|
ה|ר|א|ק|ל|י|ו|ס|	H|e:r|a|c|l|i|u|s|
ג:'|י:י:מ|ס|ו|ן|	J|a:m|e:s|o|n|
ד|י|א|ט|א|	D|i|a|t:t|a|
נ|ו|ל|ב|י|ר|ט|ו|	N|o|l|b|e|r|t|o|
ר|ו:ק|מ|ו|נ|ד|	R|o:c:k|m|o|n|d|
ס|א:נ:ו|	S|a:n:o:u|
ב|ל|ק|א|ס|ם|	B|e:l|k|a|c:e|m|
נ|א|ש|	N|a|s:h|
ב|י|ל|א|ל|	B|i|l|a|l|
פ|ר|א|נ|ק|י|	F|r|a|n|k|y|
ש:ו:ע|י|ב|	S:h:o:a|i|b|
ד|י:א:ב|	D|h:i:a:b|
ו:ו:ד|ו|א|ר|ד|	W:o:o:d|w|a|r|d|
מ|י|ס|ז|ו|ל|י|	M|e|s|z|o|l|y|
ט|ר|א|נ|ס|נ|י|ס|ט|ר|י|א|	T|r|a|n|s|n|i|s|t|r|i|a|
פ|ו|ר|ט|א|ס|	P|o|r|t|a|s|
נ:ח:ש|ו:ן|	N:a:c:h:s|h:o:n|
ט|ר|ו|י|	T|r|o|y|
ט:א:י|ג|ר|	T:i|g|e:r|
מ|ו|ט|י|ו|	M|u|t|i|u|
מ|ו|נ|ס:ף|	M|o|n|s:e:f|
ג:':מ|י|ס|ו|ן|	J:a:m:i|e|s|o|n|
ר|ו|ט|	R|o|t:t|
ל:א:ס|א|נ|א|	L:a:s:s|a|n|a|
ג|א|ס|ק|ל|	G|a|s|k:e|l:l|
נ|ב|י|ל|	N:a|b|e|e:l|
ג|ו|ר|פ:י:ג|י|	G|u|r|p:e:g:u|i|
מ|י|נ|י|ג|א:ז:ו|	M|e|n|e|g|a:z:z:o|
ס|א|נ|ט|י|נ|י|	S|a|n|t|i|n|i|
ש:ע:ב|א|ן|	S:h:a:a:b|a|n|
ע:א|ר|ף|	A|r:e|f|
ק|ו|ר|ל|י|ו|נ|י|	C|o|r|l|e|o|n|e|
ש|א|נ|ד|ו|נ|ג|	S:h|a|n|d|o|n|g|
ת:י:ו|ד|ו|ר|	T:h:e:o|d|o|r:e|
ק:ו:פ|ו|ל|א|	C:o:p:p|o|l|a|
ס|א|ק|ר|	S|a|q|r|
פ|י|ו|נ|א|	F|i|o|n|a|
מ|א|ר|א|ת:ו:ן|	M|a|r|a|t:h:o:n|
ק|י|ט|י|ר|י|נ|ג|	K|e|t:t|e|r|i|n|g|
ס|ו|	S|o|
ש|ע:ת|	S:h|a:a:t:h|
מ|ו|ט|ו|ק|ו|	M|o|t|o|k|o|
ג:'|ו|	J|o|
ג:א:ב|י|ד|ו|ן|	G:a:b:b|i|d|o|n|
ס|י|ל|ב:ר|ס|ט|ו|ן|	S|i|l|v:e:r|s|t|o|n:e|
א:י:פ|ט|א|ר|	I:f|t|a|r|
נ|ו|ר|ה|א|ל|י|ז|ה|	N|u|r|h|a|l|i|z|a|
ב:ו:נ|י|ס:ל|	B:o:n:n|i|s:s:e:l|
ד:ו|ל:ס:י|	D|u:l:c:e|
ח|ר:ק:ת|	H:a|r:a:k:a:t|
צ:':א|ק|	C:h:u:c|k|
מ:ר:א|ק:ש:י|	M:a:r:r:a|k:c:h:i|
ט|י|צ|'|י|	T|i|c|h|y|
פ:ק:ר|א:ד:ו|נ|י|	P:a:k:r|a:d:o:u|n|i|
א:י|ר:ו:פ|ל|ו|ט|	A|e:r:o:f|l|o|t|
צ:':כ|ו|ב|	C:h:e:k:h|o|v|
י|ו|נ:ת:ן|	Y|o|n:a:t:a:n|
א:ו:ל|מ:ר|ט|	O:l|m:e:r|t|
נ:ו|ז|א:ר:ה|	N:o:u|z|a:r:e:t|
ב|ל|י:י:ב|י|	B|l|a:b|y|
ה|י|ד|י|ק|א|ט|ס|ו|	H|i|d|e|k|a|t|s|u|
ה:י:ל|י|	H:e:a:l:e|y|
ט:ו:ג|':א:ן|	T:o:u:j|a:n|
כ:פ:ר|	K:f:a:r|
ק|א|ב|ר|י|ל|ו|	C|a|b|r|i|l:l|o|
ק|ו|ר|פ|ו|	C|o|r|f|u|
מ:ט:ר|ו|פ|ו|ל|י|ט|א|נ|א|	M:e:t:r|o|p|o|l|i|t|a|n|a|
ע|פ|א|ר|	A|f|a|r|
מ|ו|נ|ט|מ|א|ר|ט|ר|	M|o|n|t|m|a|r|t|r:e|
ר:ז:ק|	R:a:z:a:k|
ק|ו|ט|ו|ק|ו|	K|o|t|o|k|o|
נ:ו:ר|	N:o:o:r|
ל|ו|ק|א|ס|	L|u|c|a|s|
ב|ו|ל|י|א|ן|	B|u|l|j|a|n|
מ|ר|נ|י|ס:י|	M|e:r|n|i|s:s:i|
ל|ו|ר|ז|	L|u|r|z|
ה:י:ש|א|ם|	H:i:c:h|a|m|
מ|א|ס|א|צ:':ו|	M|a|s|a|c:c:i:o|
ס:ו:ז|א|	S:o:u:z|a|
מ|א|ר|ט|י|ל|י|	M|a|r|t|e|l:l|i|
ה|ר|א|ר|י|	H:a|r|a|r|i|
ק|ו|מ:ל:י|נ|ו|ב|י:ט:ש|	K|o|m:l:j:e|n|o|v|i:c|
י|ו|י|	Y|u|i|
מ|י|ט|ן|	M|e|t|i:n|
ג|'|ו|ר|ג|'|א|	G|e|o|r|g|i|a|
מ|י|ל|א|נ|י|ז|י|א|	M|e|l|a|n|e|s|i|a|
ו|א|ל|י|נ|ט|י|א|	V|a|l|e|n|t|i|a|
ט|ו|נ|י|ס|י|ה|	T|u|n|i|s|i|a|
פ|א|פ|ו:ל|י|א|ס|	P|a|p|o:u:l|i|a|s|
ס|י|מ|ו|נ|ו|ב|	S|i|m|o|n|o|v|
ב|ו|נ|ר|א|ק|ו|	B|u|n|r|a|k|u|
צ:'|י:ס|ל|א|ב|	C:z:e|s|l|a|w|
ע|ד|ן|	A|d:e|n|
ה:ו:ל|	H:a:l:l|
ב|י|י|ל|א|	B|i|e|l:l|a|
ע:ד:ן|	E:d:e:n|
א|פ|ו|פ:י:ס|	A|p|o|p:h:i:s|
ש|י|ר|ז|י|נ|ג|ר|	S:c:h|e|r|z|i|n|g|e:r|
ק|א|ר|י:א:ר|	C|a|r|r:i:e:r|
ס|ט|י|פ|ט|ר|	S|t|i|f|t|e:r|
ט|ו|ל|ד|ו|	T|o|l|d|o|
ק|א|נ|ט|	K|a|n|t|
ש:י:מ|י:נ:א|	X:i:m:e|n:a|
מ|ו|ר|א|ו|ס|ק|י|	M|u|r|a|w|s|k|i|
מ|ו|ט:ע:ב|	M|o|t:e:a:b|
פ|י|נ|ו|ק:י:ו|	P|i|n|o|c:c:h:i:o|
י:ת:ו|ם|	Y:a:t:o|m|
ו|י|נ|ט|ר|א|	V|y|n|t|r|a|
פ:א|י:פ:ס|	P|i:p:e:s|
ט|ו|ר|ט|ו|ס|א|	T|o|r|t|o|s|a|
מ|י|ס|ק|י|נ|א|	M|y|s|k|i|n|a|
מ:י:ז|ו|ר|י|	M:i:s:s:o|u|r|i|
ב|י|ק:י:ט|	B|e|c:k:e:t:t|
ש:ה:ו|	S:h:e:h:u|
ק|א|ה|ן|	K|a|h|n|
ג:'|ו|נ|ד|י:א:ד|	J|u|n|d|i:a:a:d|
ב|י|ג:'|ו|ט|א|ט|	B|i|j|o|t|a|t|
ס|ו|ק|ו|ר|	S|u|k|u|r|
מ|א|ג:א:ת|	M|a|g:a:t:h|
נ:ו:ת|ר|	N:o:e:t:h|e:r|
מ|א|י|ו|מ|י|	M|a|y|u|m|i|
ה:כ:ו|ב:ש|	H:a:k:o|v:e:s:h|
ס|י|ד|א|ר:ו:ס|	S|e|d|a|r:o:u:s|
מ|ר|	M|e:r|
מ|א|ר|י|ל|א|נ|ד|	M|a|r|y|l|a|n|d|
ק|י|ר|י|ב|א|ט|י|	K|i|r|i|b|a|t|i|
ד|ר|	D|e:r|
ה:י:י|ז:ב:י|ר|ט|	H:a|y:s:b:e|r|t|
ד|י|ב|י|ר|י:ט:ש|	D|e|v|e|r|i:c|
ג|ר|	G|e:r|
פ|ו|ל|ק|י|	F|u|l|c|i|
פ:פ:ס|י|	P:e:p:s|i|
מ|ו|ח:מ:ד|	M|u|h:a:m:e:d|
ח|י|מ:נ:ז|	J|i|m:e:n:e:z|
נ|ו|ר|י|י|ג|א|	N|o|r|i|e|g|a|
ק:ר:ו|	C:r:o:w:e|
מ|א|ד|ר|י|	M|a|d|r|e|
א|ל|י|ן|	E|l|i|n|
ג:'|ו|י|א|	J|o|y|a|
א|ל|מ|ו|ד|ו|ב|א|ר|	A|l|m|o|d|o|v|a|r|
ב|א|ט|י|ס|ט|י|	B|a|t:t|i|s|t|i|
ש|ו|ש|	S:h|o|s:h|
י:ש:ע|י:ה:ו|	Y:e:s:h:a|y:a:h:u|
פ|ו|נ|ק|ה|	F|u|n|k|e|
ב:י:ר|י|	B:e:r:r|y|
ד|א|ב|י|ס|ו|ן|	D|a|v|i|s|o|n|
ד|א|נ|ק|י|ר|ק|	D|u|n|k|i|r|k|
ו|י|נ:ס|נ|ט|	V|i|n:c:e|n|t|
ב:ו:י|ט|	V:o:i:g:h|t|
ק:ר:א|מ|י|	K:a:r:a|m|i|
ה:ו:פ|מ|א|ן|	H:o:f:f|m|a|n|
ב|י|ר|ג:ו|נ:י:ו|	B|e|r|g:o:u|g:n:o:u:x|
ה|י|ר|נ|א|ן|	H|e|r|n|a|n|
ל|ר|ב|י|	L|e:r|b|y|
מ|ו|ט|ר|א|ם|	M|o|t:t|r|a|m|
פ|י|א:נ:ס|	F|i|e:n:n:e:s|
נ|ו|ר|י|ל|ס|ק|	N|o|r|i|l|s|k|
ק|א|ז|א|ז|	K|a|z|a|z|
ד|ר|א|ג|ו|נ|י|י|ר|	D|r|a|g|o|n|a|i|r|
ב|א|ר|ט|ו|ל|ו|מ|י|ו|	B|a|r|t|o|l|o|m|e|o|
מ|ד|ל|י|ד|ל|י|	M|d|l|e|d|l|e|
ק|א|ז|א|ן|	K|a|z|a|n|
ב:ר|ה|ו|ם|	B:a:r|h|o|m|
פ|ר|י|ד|י|ר:י:ק|	F|r|e|d|e|r:i:c:k|
ק|ו|מ:ז|	C|o|m:b:s|
ב:ס:ל|א|ן|	B:e:s:l|a|n|
ר|ו|ג:':י|ר|	R|o|g:i|e:r|
פ|ר|א|נ|ש|י|ס|ק|ו|	F|r|a|n|c|e|s|c|o|
פ|ו|נ|ס:ל:ה|	P|o|n|c:e:l:e:t|
ר|א|ש|ו|מ|ו|ן|	R|a|s:h|o|m|o|n|
פ|ר|א|נ:ס|ס|ק|א|	F|r|a|n:c:e|s|c|a|
ז|א|ב|י|ן|	Z|a|v|e|n|
צ:':ל|נ|ט|א|נ|ו|	C:e:l:e|n|t|a|n|o|
ש|י|נ|ג:'|י|	S:h|i|n|j|i|
ד|ו|ר|י:ט:ש|	Đ|u|r|i:c|
ג|ו|ר|ש|ק|ו|ב|	G|o|r|s:h|k|o|v|
ש:א:ז|	C:h:a:z:z|
א|מ|י|ן|	A|m|i|n|
ק|ו|ס:ר:י|	C|o|s:s:e:r:y|
א|נ|א|	A|n|a|
ר:א:ו|י:י:ר|	R:a:v:i:e|r|
מ|ו|י|ז|א|ן|	M|o|i|z|a|n|
מ|י|ד|ל|ר|	M|i|d|l|e:r|
ג:'|א|ג|ד|י|ו|	J|a|g|d|e|o|
ל|י|ס:נ:ר|	L|e|s:n:a:r|
פ|ו|נ|ס|י|ק|א|	F|o|n|s|e|c|a|
פ:א:ק|י|ט|י|	F:a:c:c:h|e|t:t|i|
ב|ו:ל:צ|מ:א:ן|	B|o:l:t:z|m:a:n:n|
ג:':ע|פ:ר:ג|ו|ל|י|	J:a|f:a:r:g:h|o|l|i|
ז|י|ב|	Z|i|b|
ב:ו:ט|ו|	B:h:u:t:t|o|
א:י|ל:נ:ה|	I|l:a:n:a|
ש:ו:ט|א|ר|ו|	S:h:o:w:t|a|r|o|
ס:פ:י|ד|	S:p:e:e|d|
א|ד|ו|א|ר|ד|	E|d|w|a|r|d|
ג|ר|ז|י|ג|ו|ר|ז|	G|r|z|e|g|o|r|z|
ג|ר|י|ג|ו|י|ר|	G|r|e|g|o|i|r:e|
ק|ו|מ:ט|	C|o|m:t:e|
י|ו|ה:א:נ|ס|	J|o|h:a:n:n:e|s|
פ:י:ק|ו|ל|י|	P:i:c:c|o|l|i|
נ:ו:ב|ט|ו|ש|י|	N:o:b:u|t|o|s:h|i|
ו|י|ו|ר|י|ל|	V|i|o|r|e|l|
ר|א|ב|	R:a|a|b|
ד|ר|א|ז|י|ן|	D|r|a|z|e|n|
ג|א|ל|י|ט|ה|	G|a|l|i|t|e|
ד|י|ב|	D|i|b|
ב:נ|א|י|א|ה|ו|	B:e:n|a|y|a|h|u|
ג|ו|י|נ|ו|ן|	G|u|e|n|o|n|
פ|א|ל|מ|י|נ|ט|ר|י|	P|a|l|m|i|n|t|e:r|i|
ע|ד|א|נ|א|	A|d|a|n|a|
ב|א|ר|נ|י|ט|א|	B|a|r|n|e|t:t|a|
ק|ו|נ|ט|י|	C|o|n|t|e|
מ|י|ק|ל|ו|ס|	M|i|k|l|o|s|
ק:א:פ|ק|	C:a:p:e|k|
ק|א|פ:ה|	C|a|p:e:t|
ד|ו|ק:ס|א|	D|o|x|a|
נ|י|ק|ו|ל|ו:ד|י|ס|	N|i|k|o|l|o:u:d|i|s|
ק|א|מ|י|ק|א|ו|א|	K|a|m|i|k|a|w|a|
ק|א|ט|א|ל|א|נ|י|	C|a|t|a|l|a|n|i|
ד|א|נ|ו|ן|	D|a|n|o|n|
מ:ן|	M:a:n:n|
נ|ז|א|ר|	N:a|z|a|r|
ו|א|ס|י:ל:י|	W|a|s|s:i:l:y|
ג:א:ן|	G:a:n:n|
פ:י:ז|א:ר:ו|	P:i:z:a:r|r:o|
ר|ו|ב|ר|ט|ס|ו|ן|	R|o|b|e:r|t|s|o|n|
ט|א|ר|ט|א|ר|ו|ס|	T|a|r|t|a|r|u|s|
ב|א|י|ר|	B|a|e|r|
ר|י|ק|א|ר|ד|ו|	R|i|c|a|r|d|o|
ל|י|ב|נ:ת|	L|i|v|n:a:t|
ב|ו|נ:י|ק|	B|o|n:i:e|k|
ס|פ|י|ר|	S|p|e|e:r|
מ|צ:פ:ה|	M|i:t:z:p:e|
ה:נ:ר|י|ק|	H:e:n:r|y|k|
ר|א|י|נ|י|א|	R|a|i|n|e|a|
ק|א|ט|א|ל|ו|נ|י|א|	C|a|t|a|l|o|n|i|a|
